"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","10/237","99/9382",0.101010101010101,3.99863615053488,4.8284093311377,0.000190210883488115,0.00329698864712732,0.00329698864712732,"7169/8910/3672/22801/1837/3676/1674/6444/8082/781",10
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","10/237","100/9382",0.1,3.95864978902954,4.78828140155592,0.000206742846894803,0.00338852111674755,0.00338852111674755,"915/3122/3672/3111/1438/952/3119/3676/925/914",10
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","12/237","140/9382",0.0857142857142857,3.39312839059674,4.59255029162269,0.000214109850783499,0.00338852111674755,0.00338852111674755,"5054/7046/10000/2791/4638/59/3708/4208/59345/54331/185/10681",12
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","17/237","254/9382",0.0669291338582677,2.64949001627961,4.29027983343196,0.000236014439496424,0.00342328697521014,0.00342328697521014,"5136/2260/5350/56034/6865/4638/5733/952/5579/493/3708/185/2149/7424/3357/1909/4772",17
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","7/237","50/9382",0.14,5.54210970464135,5.18396597793872,0.0002376382546708,0.00342328697521014,0.00342328697521014,"6347/5175/3383/6383/7060/7057/7412",7
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","12/237","142/9382",0.0845070422535211,3.34533784988411,4.53336288891787,0.000244520498229296,0.00342328697521014,0.00342328697521014,"6347/10000/5175/3383/6383/4208/1003/858/857/7056/7412/4313",12
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","10/237","109/9382",0.0917431192660551,3.6317887972748,4.44898599971059,0.000417729364364295,0.00563161068994828,0.00563161068994828,"3560/7046/915/3122/3111/3718/6095/3119/3572/4772",10
"Organismal Systems","Immune system","hsa04611","Platelet activation","10/237","126/9382",0.0793650793650794,3.14178554684884,3.89633661065146,0.00129979050675888,0.0168972765878655,0.0168972765878655,"5592/10000/1278/4638/3708/3937/7450/2149/2534/1281",10
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","8/237","89/9382",0.0898876404494382,3.55833688901531,3.90374691345292,0.00178807917043125,0.0224434764840337,0.0224434764840337,"5592/56034/5579/7846/2697/3708/3357/84617",8
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","25/237","533/9382",0.0469043151969981,1.85677757459171,3.27862301919779,0.00201882924589589,0.0244951281835368,0.0244951281835368,"3560/3910/7046/862/10000/2260/2791/8321/3718/1438/5733/5579/3572/59345/54331/185/2737/1282/2149/3913/7424/4286/10681/4313/1909",25
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","8/237","93/9382",0.0860215053763441,3.40529014110068,3.75259201485583,0.00236565974319707,0.0269093795788666,0.0269093795788666,"10580/57493/7046/2260/10398/5797/1003/2534",8
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","8/237","93/9382",0.0860215053763441,3.40529014110068,3.75259201485583,0.00236565974319707,0.0269093795788666,0.0269093795788666,"3560/915/3122/3111/3718/3119/4094/4772",8
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","9/237","115/9382",0.0782608695652174,3.09807374793616,3.64424003128858,0.00247633931037169,0.0273147729992514,0.0273147729992514,"10000/2791/1136/5579/3708/59345/54331/2534/10681",9
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","7/237","78/9382",0.0897435897435897,3.55263442605215,3.64424828949378,0.00345904573357531,0.0370321366771004,0.0370321366771004,"3122/3111/3119/5579/3676/718/1536",7
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","8/237","103/9382",0.0776699029126214,3.07467944778993,3.40820662118904,0.00445525511805803,0.0463346532278035,0.0463346532278035,"5054/6347/7046/915/714/10000/6352/718",8
