"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","10/265","95/9382",0.105263157894737,3.72671300893744,4.55391623121237,0.000332944454275918,0.00432827790558693,0.00432827790558693,"6347/1493/3122/3111/3383/6352/3119/3113/1513/3109",10
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","10/265","99/9382",0.101010101010101,3.57613874595007,4.39303030492701,0.00046501349562628,0.00567994104070284,0.00567994104070284,"7169/8910/3672/22801/1837/3676/1674/6444/8082/781",10
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","7/265","50/9382",0.14,4.95652830188679,4.78226283395689,0.000468127008849135,0.00567994104070284,0.00567994104070284,"6347/5175/3383/6383/7060/7057/7412",7
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","8/265","66/9382",0.121212121212121,4.29136649514008,4.57461973566594,0.000506606796640758,0.00594854432184632,0.00594854432184632,"3122/3111/4772/6095/3119/3113/3109/4094",8
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","12/265","142/9382",0.0845070422535211,2.99186819027372,4.07746564176448,0.000671001702878003,0.00763264437023729,0.00763264437023729,"6347/10000/5175/858/3383/6383/4208/1003/857/7056/7412/4313",12
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","17/265","254/9382",0.0669291338582677,2.36954390135195,3.77247637302409,0.0008535434618241,0.00941484303345371,0.00941484303345371,"5136/5350/1909/56034/6865/4638/5733/952/4772/493/5579/3708/185/2260/2149/7424/3357",17
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","9/265","93/9382",0.0967741935483871,3.42617163724894,4.00866756175635,0.00121054968071225,0.0129600024640958,0.0129600024640958,"999/10580/57493/7046/10398/5797/1003/2260/2534",9
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","12/265","155/9382",0.0774193548387097,2.74093730979915,3.72597768034171,0.00144720492642182,0.0150509312347869,0.0150509312347869,"3122/3111/3119/3113/7060/7057/718/7846/3109/715/1536/84617",12
"Human Diseases","Immune disease","hsa05310","Asthma","5/265","32/9382",0.15625,5.53183962264151,4.37789401513198,0.00186567253256741,0.0188640222737371,0.0188640222737371,"3122/3111/3119/3113/3109",5
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","8/265","82/9382",0.0975609756097561,3.45402669121031,3.80510163616,0.00213321127910672,0.0209861866376986,0.0209861866376986,"1508/3122/3111/3119/3113/972/925/3109",8
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","27/265","533/9382",0.050656660412758,1.79343693582074,3.21551432180375,0.00225198330315967,0.0215716295355295,0.0215716295355295,"999/3560/3910/7046/862/10000/2791/8321/3718/1909/1438/8313/5733/3572/5579/59345/54331/185/2737/1282/2260/2149/3913/7424/4286/10681/4313",27
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","6/265","50/9382",0.12,4.24845283018868,3.9264107450628,0.00268759340902991,0.0250842051509459,0.0250842051509459,"3122/3111/3119/3113/3676/3109",6
"Organismal Systems","Immune system","hsa04611","Platelet activation","10/265","126/9382",0.0793650793650794,2.80982330038934,3.48683424251501,0.00295788277674679,0.0269167332683958,0.0269167332683958,"5592/10000/1278/4638/7450/3708/3937/2149/2534/1281",10
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","8/265","89/9382",0.0898876404494382,3.18236167055332,3.52667376981132,0.00356983091139913,0.0316931329694947,0.0316931329694947,"5592/56034/5579/2697/3708/7846/3357/84617",8
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","6/265","54/9382",0.111111111111111,3.93375262054507,3.68593463462751,0.00397717335949616,0.0344688357823,0.0344688357823,"1493/3122/3111/3119/3113/3109",6
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","9/265","112/9382",0.0803571428571429,2.8449460916442,3.34868543069188,0.00435112806798505,0.0367504440503351,0.0367504440503351,"3910/10000/3122/3111/3587/3119/3113/3109/3913",9
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","5/265","39/9382",0.128205128205128,4.53894533139816,3.77558724693497,0.00454332412710187,0.0367504440503351,0.0367504440503351,"4524/160428/4548/7298/1719",5
"Human Diseases","Immune disease","hsa05330","Allograft rejection","5/265","39/9382",0.128205128205128,4.53894533139816,3.77558724693497,0.00454332412710187,0.0367504440503351,0.0367504440503351,"3122/3111/3119/3113/3109",5
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","9/265","115/9382",0.0782608695652174,2.77073010664479,3.25726608667279,0.00517711635079578,0.0409667467758622,0.0409667467758622,"10000/2791/1136/5579/3708/59345/54331/2534/10681",9
