"Tier","Ontology","Term","p.adjust","Count"
"Tier4_MultiDEG","MF","transcription factor binding",0.002613672481847,85
"Tier4_MultiDEG","MF","TAP binding",0.002613672481847,6
"Tier4_MultiDEG","MF","protein domain specific binding",0.00263948352432759,90
"Tier4_MultiDEG","MF","DNA-binding transcription factor binding",0.00735114247407373,70
"Tier4_MultiDEG","MF","transcription coregulator activity",0.0248646999086156,74
"HighPriority","MF","extracellular matrix structural constituent",1.38124287866064e-17,35
"HighPriority","MF","collagen binding",7.6471198672388e-08,15
"HighPriority","MF","actin binding",2.8945805565153e-07,37
"HighPriority","MF","growth factor binding",9.55667839374938e-07,19
"HighPriority","MF","cytokine binding",2.04025956480236e-06,19
"Tier1_2","MF","extracellular matrix structural constituent",1.17090678363924e-18,35
"Tier1_2","MF","collagen binding",2.65277305861141e-08,15
"Tier1_2","MF","actin binding",1.35093192125535e-07,36
"Tier1_2","MF","growth factor binding",2.73613900385389e-07,19
"Tier1_2","MF","cytokine binding",5.92612881987728e-07,19
