"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","28/1060","154/9382",0.181818181818182,1.60926243567753,2.7206621499736,0.00718646936642566,0.0353501793889981,0.0353501793889981,"784/5997/2775/4638/3708/5566/5743/2002/952/5579/5605/10398/4775/4772/5330/5321/5563/108/5578/4659/4660/2977/107/815/4208/111/1956/781",28
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","19/1060","93/9382",0.204301075268817,1.80825725299249,2.79556920772336,0.00718657493073037,0.0353501793889981,0.0353501793889981,"493/481/3708/5592/5566/3346/148/952/5579/5330/6844/108/5578/3778/2977/490/477/107/111",19
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","18/1060","87/9382",0.206896551724138,1.83122966818478,2.77983878345026,0.00765437819215688,0.037076752395292,0.037076752395292,"208/5293/51426/6655/7046/10000/10018/5879/6934/6198/4089/8503/5605/5599/7043/7039/8313/1956",18
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","48/1060","300/9382",0.16,1.41615094339623,2.6144744796425,0.00774129995066535,0.037076752395292,0.037076752395292,"784/208/6196/6655/7046/10000/2260/2323/5879/6722/5566/27330/56034/2064/9344/408/998/2002/22808/5579/2321/5605/4775/4772/2005/5321/5058/5599/9448/1432/5062/2316/51701/8911/5578/4149/7043/7039/8717/7424/4790/285/4208/8913/2065/5494/1956/781",48
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","36/1060","212/9382",0.169811320754717,1.50299038803845,2.643666047493,0.00788227994638194,0.0372616870192601,0.0372616870192601,"3690/9170/3688/208/5293/9855/2775/10000/7074/2260/5879/56034/9223/51466/998/3937/22808/5579/8503/2321/5605/84552/5330/1432/2889/108/7057/5578/5587/999/107/7424/285/2149/111/1956",36
"Genetic Information Processing","Information processing in viruses","hsa03273","Virion - Lassa virus and SFTS virus","6/1060","17/9382",0.352941176470588,3.12386237513873,3.12795564495703,0.00845128514495824,0.0394393306764718,0.0394393306764718,"8828/3916/7037/5099/4629/3920",6
"Genetic Information Processing","Folding, sorting and degradation","hsa04130","SNARE interactions in vesicular transport","9/1060","33/9382",0.272727272727273,2.4138936535163,2.90372029507511,0.00906607799662582,0.0415912374174859,0.0415912374174859,"10490/2054/55850/9570/55014/9527/6844/10228/8417",9
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","31/1060","178/9382",0.174157303370787,1.54145643417426,2.60284831628943,0.00914093130054635,0.0415912374174859,0.0415912374174859,"4040/22943/1452/4163/5879/5566/6934/79816/4089/166336/5579/4775/4772/6907/27123/5330/144165/5599/51701/5578/4919/27101/23002/57805/5176/815/8313/55366/7976/1488/8321",31
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","26/1060","144/9382",0.180555555555556,1.59808700209644,2.58119179669982,0.0102355722428712,0.0457156428171756,0.0457156428171756,"208/5293/6498/3400/10000/2260/91/10336/3718/84333/6926/4089/8503/5605/3398/1432/4211/93/6929/2103/3572/7994/8313/4090/7976/8321",26
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","15/1060","70/9382",0.214285714285714,1.8966307277628,2.68722975324129,0.0102985788763967,0.0457156428171756,0.0457156428171756,"208/5293/6655/10000/5879/2549/998/8503/5605/5058/405/2889/5062/7043/7039",15
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","20/1060","103/9382",0.194174757281553,1.71862978567503,2.61719983170663,0.0104780887360988,0.0459520999992765,0.0459520999992765,"3784/340267/1295/481/6564/6546/1292/1296/1307/1305/54407/1288/1291/1282/477/2006/1361/1281/1278/1303",20
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","18/1060","90/9382",0.2,1.77018867924528,2.62015769238279,0.010903235437843,0.0472473535639865,0.0472473535639865,"208/5293/915/10000/6772/27436/6198/4793/8503/5605/4775/4772/5777/114609/1432/5728/4790/1956",18
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","15/1060","71/9382",0.211267605633803,1.86991761892107,2.62586734788312,0.0117342310430501,0.0496658151124446,0.0496658151124446,"208/5293/30837/6655/1154/10000/6772/6777/9021/8503/5605/5599/1432/4790/6514",15
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","15/1060","71/9382",0.211267605633803,1.86991761892107,2.62586734788312,0.0117342310430501,0.0496658151124446,0.0496658151124446,"5803/5879/998/5058/5599/1432/9550/83700/6352/1839/8992/4790/102/1956/23545",15
