"gene_symbol","RankMetric_GSE104645","RankMetric_GSE28702","RankMetric_GSE39582","RankMetric_GSE69657","RankMetric_GSE72970","N_datasets","MetaRankMetric"
"LOC101928830 /// LTA4H",NA,4.39356342084857,0.231355029494902,2.81704356820586,1.84318448947275,4,2.32128662700552
"CTD-2292M16.8",NA,5.02844147884497,1.81713534072375,0.161083290495369,0.518282661307904,4,1.881235692843
"TRIP11",0.133661595496771,4.74285854286192,1.60342441872165,0.435257036100297,1.38086814992735,5,1.6592139486216
"MED13",-0.188341423224186,2.32860250449811,1.72156085137526,2.74460705000236,1.65663642744172,5,1.65261308201865
"XPR1",-1.12050524300791,0.43243144833648,5.09129806977719,2.86546510252988,0.952699866644104,5,1.64427784885595
"RIMBP2",0.0622824802072101,-0.434242764533483,4.38017400651896,1.84280426866228,2.07385607950446,5,1.58497481407188
"LOC101929087 /// SUMO2 /// SUMO3",NA,1.81344381229119,2.77546745533628,0.369155680099655,1.3409838977907,4,1.57476271137946
"KPNB1",0.333453207739525,3.18076603287281,1.67529707285825,0.743853394349594,1.69815244542693,5,1.52630443064942
"FZD3",0.738541838370655,1.71012928229821,1.50267627630412,2.03735199574421,1.55455415953216,5,1.50865071044987
"MSI2",-0.766535556367496,2.76092408102031,0.974133707209154,1.64325347076331,2.84693888035064,5,1.49174291659518
"PAPOLA",0.432073855393225,2.0798133607873,1.91264608983763,1.09232217354041,1.92647922724281,5,1.48866694136027
"BAG5",0.823435572587613,1.39244445485073,3.05988575526067,0.486631108752728,1.57097082052895,5,1.46667354239614
"CEP290",0.21393302616034,3.99113152947489,0.511617793768258,1.78874633502861,0.803376982314472,5,1.46176113334931
"DDX5",-0.153035583265579,3.92714896748767,1.80473831218872,0.939356417398124,0.764793890900072,5,1.4566004009418
"NPEPPS",-0.433585442719365,6.20275478884261,-0.59930031083823,0.931396472513187,1.17069605340594,5,1.45439231224083
"SYNJ2BP /// SYNJ2BP-COX16",NA,1.88750842746678,1.43516480263793,0.773314661983719,1.7123212125423,4,1.45207727615768
"TUBGCP5",0.455305262719322,3.39048312866608,1.99552849222179,-0.34670938442432,1.68344525987539,5,1.43561055181165
"LOC101930150 /// NF1",NA,2.7346064010643,0.671160649208075,1.18716513345638,1.09504740993038,4,1.42199489841479
"GGNBP2",0.696609605969027,3.47107082731771,1.20028827307047,0.751146305030742,0.985814773860562,5,1.4209859570497
"KIAA1919",NA,1.53611357836708,1.03310797149113,2.02022729926597,1.07864666463853,4,1.41702387844068
"RAB3IP",-0.314125739446128,1.2148124665357,1.19038694248937,2.52951296657823,2.39486404463327,5,1.40309013615809
"HELZ",-0.0499028810761935,4.00002940170918,0.920578770789951,0.582619841833832,1.55674445640899,5,1.40201391793315
"LOC102724275",NA,3.391668805809,1.77363991808773,-0.111890622670908,0.536877182953872,4,1.39757382104492
"TRMT10A",-0.113358685109562,2.21066127074264,0.539011277954882,1.77782200888327,2.5497461351149,5,1.39277640151723
"ALG10 /// ALG10B",NA,3.03260317869134,0.851655400552329,0.925058396323453,0.754298464808623,4,1.39090386009394
"APBB2",0.379941682921939,-0.912424137930296,5.83313676654945,0.901422171563116,0.731671051648955,5,1.38674950695063
"DBT",0.815927988803601,2.45404122665525,3.07864592440321,-0.494979405881139,1.04534573707354,5,1.37979629421089
"TTC5",-0.22612700614569,4.27982591180169,2.2367429048164,-0.23715045914821,0.820504165960434,5,1.37475910345692
"FLT1",0.3836249578268,1.03014270494188,3.16474348141778,0.403751977016811,1.86115258292767,5,1.36868314082619
"SUZ12",0.205345370418022,3.32675784206859,0.282639299042126,1.19278794701976,1.78310700993401,5,1.3581274936965
"SMURF2",-1.31779576186277,4.0445667031413,1.41581488377125,0.445582299987256,2.12650777986682,5,1.34293518098077
"LARP1B",-0.432529381499044,3.33479350887193,1.02862959058551,1.32410355402441,1.42325569015335,5,1.33565059242723
"INHBB",0.388887792690203,0.643834066714677,4.98478065425952,0.147702925084905,0.508089650596583,5,1.33465901786918
"FLJ31306",NA,2.98023222260252,0.756858109092522,0.512506443623071,1.07209064936452,4,1.33042185617066
"MIR1304 /// SNORA1 /// SNORA18 /// SNORA32 /// SNORA40 /// SNORA8 /// SNORD5 /// TAF1D",NA,2.00497191491217,1.73572603905803,1.01987313902498,0.502500007407996,4,1.31576777510079
"DOPEY1",-0.389807448411537,2.5940363547611,1.94465701781723,1.47882778593766,0.930022765507396,5,1.31154729512237
"YTHDC1",-0.0809306459708874,2.8233956942591,1.74526582576548,0.417813250421854,1.63929785920597,5,1.3089683967363
"IFT81",0.509556354544288,2.46230863222294,0.24882181246127,1.90091162846712,1.40336999764884,5,1.30499368506889
"ZNF268",-0.0190224863129463,2.44352751694457,1.4560927210328,1.25336024260745,1.36783225455395,5,1.30035804976516
"RHOT1",0.276499105124788,3.10493526879201,1.2457844014814,0.398464289359192,1.46909013227166,5,1.29895463940581
"MATR3 /// SNHG4",NA,3.05195381627594,1.39778456143799,1.61279729745373,-0.867607357469585,4,1.29873207942452
"APPBP2",-0.967795716078617,4.06645605791717,0.527564102592144,0.809795910909214,2.05665869586111,5,1.29853581024021
"IREB2",0.777336011717793,2.84619800125292,1.12915053146271,0.451027783972362,1.26297571662338,5,1.29333760900583
"RUFY2",-0.678549843614013,2.97787787608384,1.07908927196611,1.94180056721577,1.13515329837778,5,1.2910742340059
"RP11-226L15.5",NA,2.45361628325366,1.11374277969786,0.791098933969642,0.799049125300337,4,1.28937678055537
"ZNF204P",NA,3.66047942474852,0.14185154280797,0.876348044493474,0.453231926950672,4,1.28297773475016
"C4orf29",NA,2.26601788453103,0.966676899617211,0.774329249580516,1.12310360170031,4,1.28253190885727
"LUC7L3",0.261854363627081,3.88653822179429,0.741174638770265,0.87994997531067,0.636312741571524,5,1.28116598821477
"MPHOSPH9",0.394351788058716,1.74686327784271,0.160396659063856,1.71462540886151,2.38891177414966,5,1.28102978159529
"C8orf44 /// C8orf44-SGK3 /// SGK3",NA,4.30279747534331,0.338222214218062,-0.0311140933776119,0.507976371810173,4,1.27947049199848
"UBE3A",-0.225525124374479,1.97346829063255,3.24324875064084,0.356144697591439,1.02614218494664,5,1.2746957598874
"ARL17A /// ARL17B",NA,3.43665298588348,1.42066091677953,-0.700090668582781,0.933319823183915,4,1.27263576431604
"GOSR1",0.504862660519288,3.07711716586795,-0.65767621714926,1.8904201714178,1.50641823673678,5,1.26422840347851
"BC052775 /// FNTB",NA,1.72265143347769,1.44230704289552,0.84941754674183,1.01498894482736,4,1.2573412419856
"LOC100272217",NA,1.81649411827031,1.20650064425969,0.958924952839817,0.988461541723071,4,1.24259531427322
"KIAA1033",-0.719421212450015,3.32087951499342,1.33932469198797,1.17633497281967,1.08638877564216,5,1.24070134859864
"GPATCH2L",-0.713857097973526,2.89035536114691,1.84055426594426,-0.721127222312453,2.88399472577422,5,1.23598400651588
"NAP1L1",0.28477085375213,2.24409787122524,1.78746364485158,0.636745843386434,1.21457568947456,5,1.23353078053799
"WDFY3",0.662317278270509,1.85602165788736,1.94337603171992,0.822971315691421,0.868816748325772,5,1.230700606379
