"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"C3875321","Inflammatory dermatosis",349,-0.348763879260611,-1.6263346957384,6.99728657396596e-06,0.00223602179852512,0.00203316868755432,5161,"tags=38%, list=29%, signal=28%","22861/8808/4843/2475/5443/6775/3952/3654/619207/27040/9370/3569/240/135228/1906/26073/10850/960/57506/149233/7412/834/23581/406938/1440/7186/23765/2316/6868/5880/6648/2353/5743/55072/930/50616/64689/9341/1565/5594/3596/4615/2324/84959/4296/6382/64919/4353/2688/8517/3958/6776/7132/64221/246778/6347/84876/1238/6361/84639/6649/6778/3002/5730/27178/57217/6356/2260/64135/9051/6373/2034/3456/221391/4313/6737/1493/55065/53342/7297/6863/3578/7421/170482/353/25897/1843/7057/3689/7010/8893/958/11009/4780/2100/3603/6367/7052/1437/2625/5970/682/7965/5293/3601/7293/26018/6352/972/1068/50615/79092/3949/8720/5777/8837/43/2263/160/5595/3726/4283/9235/2833/3627/50943/1956/3383/55697/3727/9402/3965/9021/6772"
"C0025990","Micrognathism",545,0.251261946723665,1.46453157983646,8.15209925718448e-06,0.00251201115682099,0.00228412014149609,3499,"tags=29%, list=20%, signal=24%","9321/80184/23512/1654/2186/538/196528/317662/91147/79868/83990/22995/64324/161742/79848/4750/5193/5980/6857/2773/10735/5718/51132/2187/6655/57697/546/4040/9702/51057/22930/7466/27152/6885/25836/1909/8573/4204/55869/84294/673/4703/9126/23426/55780/55636/2074/1349/1305/23141/5083/8504/652/9343/3070/5781/9851/5194/5932/6497/5828/1763/55023/545/23322/51114/57724/8726/57122/23592/23327/284098/5277/5191/8091/23036/55784/23057/2248/6662/5116/23556/84942/57492/4893/57545/10060/6872/2033/5728/79796/23394/3192/11128/4952/79659/64220/10075/5723/26227/701/57560/6654/29072/9949/5295/80232/25778/4927/3981/3480/10733/5190/7046/81887/2065/126792/5000/4297/7048/64093/55120/51259/29980/2132/1062/81031/6223/65109/2697/6016/672/1789/4038/221037/83879/6334/285175/55215/63895/1298/29957/2178/9786/79912/5530/990/23118/22856/26276/3845/7518/4763/4853/9320/6905"
"C0041327","Tuberculosis, Pulmonary",310,-0.36574805948535,-1.69100260215121,9.31276526658999e-06,0.00277070823172891,0.00251934807738277,5442,"tags=40%, list=31%, signal=28%","5023/2837/820/7389/92105/7040/6364/3593/24/939/4843/50863/6775/54509/3952/5024/3654/4440/387357/9370/3569/240/54106/26073/3113/55503/9815/5741/960/149233/2099/406938/4493/9846/975/79068/10578/9127/282618/50616/5594/3596/4615/1056/919/177/4045/4353/4118/1522/3001/6387/7132/246778/2768/30835/6347/9457/8651/5451/846/3002/6542/27178/6580/5026/5580/284/10673/3806/10998/1493/796/53342/10870/1234/57154/2669/5133/6614/7421/10148/6541/1045/25897/64116/4790/7010/440915/5158/5725/8741/11009/6569/51043/4155/2209/5970/7965/11332/952/5648/3594/6352/3808/1154/5696/3106/4283/3659/3107/3627/50943/72/1956/6890/3383/6891/9402/2220/3431/83666/54472/27190"
"C0151449","Primary SjC6gren's syndrome",267,-0.364933730657448,-1.66122646372462,1.25954941177155e-05,0.00362246410825499,0.00329383219857312,4547,"tags=36%, list=26%, signal=27%","10850/3382/257313/8029/2776/834/406938/7405/6868/5880/83417/5743/6362/10318/940/1236/930/3574/50616/3620/4914/4792/3596/4615/2324/9252/6382/4353/3001/6776/6387/7132/23205/8651/5451/84639/1081/27178/10964/6580/64135/397/10908/6373/5045/3456/10673/6737/1493/10320/1234/3589/1520/1822/5133/7421/6559/10148/3492/358/8626/4790/1237/354/5742/1191/2969/60/5293/811/643/6709/1200/6352/9436/9641/50615/5777/3106/4283/2833/3107/3627/1072/259197/1956/3383/4524/266629/4055/6891/5698/80709/9021/6772/10068"
"C0497156","Lymphadenopathy",250,-0.369960220146439,-1.6714246097435,1.51177381481431e-05,0.0039111929911153,0.00355636744049757,5073,"tags=40%, list=29%, signal=29%","1113/1776/6775/3654/84433/49/27040/9636/7490/3569/5587/51752/6366/10095/2120/10850/1029/5741/311/1536/149233/337867/2099/406938/10155/841/3718/5063/975/596/940/1236/930/6049/4295/51371/4926/9172/3394/5692/4615/58484/6382/712/4791/2208/3958/7132/54/79633/3702/1535/2271/27295/9051/715/5580/1493/8625/1234/974/90268/101928376/7535/4598/3492/4790/2624/8741/4780/28755/5293/5979/811/952/643/9817/3594/3560/50615/9940/5696/3106/1048/51741/50943/55620/4068/5914/1956/3383/5371/1186/4684/5698/6597/6609/6772/6929"
"C1290884","Inflammatory disorder",360,-0.344530296671107,-1.61599871484765,1.54126752083821e-05,0.0039111929911153,0.00355636744049757,4593,"tags=34%, list=26%, signal=26%","26073/10850/9048/8692/1536/149233/9607/7412/834/7538/2099/406938/7405/1440/9536/23452/374/5743/2350/6007/50616/117289/2922/942/2314/7253/5594/3596/4615/78986/58484/177/4353/6833/6387/215/7132/246778/6347/8874/51364/8428/27178/2313/2034/5026/5478/3456/284/1025/3082/1493/53342/23533/23164/1234/3589/1822/2669/3578/5626/7421/2596/25897/2838/4790/7057/5624/255738/25939/3164/1588/958/354/4780/7001/60/4155/143384/10392/2209/6367/2006/7052/1437/2625/682/7965/5293/9423/57101/9817/4638/9064/9446/8784/8720/5777/5696/3106/9672/43/4261/4283/9235/3107/3627/50943/85320/122618/5699/1956/5141/3383/4524/9261/4034/4055/6794/9402/5698/4987"
"C0423110","Downward slant of palpebral fissure",363,0.279595012232011,1.56920503942805,1.47176976759793e-05,0.0039111929911153,0.00355636744049757,2916,"tags=26%, list=16%, signal=22%","80184/23512/7337/1654/2186/538/196528/26235/79868/8450/22995/79738/64324/161742/7042/123016/11043/7592/51626/5718/51132/84100/6655/7552/546/84679/5048/1183/4329/9702/51057/6885/4204/657/55212/23545/673/4841/585/116150/55636/1213/3476/2261/8504/3190/9343/5781/5932/6497/1756/55023/6660/545/8726/25942/7707/6651/2248/5116/57492/8239/4893/6872/2033/5728/23394/22954/11128/116442/2239/10075/2245/2182/701/6654/29072/166379/9949/6812/444/10733/1741/4036/22866/4297/6595/6328/64093/1062/81031/6223/65109/2697/6016"
"C0432072","Dysmorphic features",414,0.261864778915631,1.48700549031603,1.45349061687277e-05,0.0039111929911153,0.00355636744049757,2916,"tags=27%, list=16%, signal=23%","7337/1654/2186/196528/26235/91147/8450/284058/3516/11154/64324/161742/57187/6857/10735/10274/546/23347/5048/85440/400618/5160/22930/8573/4204/79718/7703/4976/55869/673/1106/4703/57520/2332/55636/2074/80155/4774/1213/1282/2261/55005/3190/2887/9343/5781/7436/6497/3251/6660/8493/545/3643/7403/284098/25942/163786/694/84295/5813/23057/6651/6662/5116/23556/1656/57492/8239/10060/6872/2033/5332/5728/23394/124976/55699/3192/4810/8452/83737/23126/1028/6529/2245/6509/1108/6683/23405/6513/6654/29072/57526/11011/80232/51322/3981/3480/1741/5190/4297/57176/6595/8036/7048/51259/50506/7319/65109/85301/2697/6016"
"C0265275","Jeune thoracic dystrophy",22,0.690670721371313,2.31220095501929,1.90178888408343e-05,0.00460693963571201,0.00418899557193978,3970,"tags=73%, list=22%, signal=56%","28981/79811/79848/54778/51626/57728/56916/153241/9851/79659/57560/10989/4148/9786/28982/57539"
"C0431904","Ulnar polydactyly of fingers",85,0.42763394943709,1.92920725452041,2.06591158859583e-05,0.00460693963571201,0.00418899557193978,2746,"tags=32%, list=16%, signal=27%","80184/91147/79738/79848/123016/4750/51626/84100/546/51360/57728/51057/55212/64327/585/153241/23322/7700/57545/22954/79659/2239/57560/166379/7046/64093/51259"
"C1609538","Latent Tuberculosis",157,-0.415486578987604,-1.80114853461577,2.07077818219634e-05,0.00460693963571201,0.00418899557193978,5353,"tags=40%, list=30%, signal=28%","820/92105/54732/4843/6355/4323/3952/10223/387357/9370/9636/54106/9825/960/406934/1536/149233/9846/10578/50616/3620/5594/3596/4615/64221/246778/30835/6347/3122/8651/11076/3002/6356/6373/5478/10673/53342/1234/57154/2669/5133/7421/3133/1045/3902/8626/3111/8741/11009/2209/1437/1154/5696/9235/3627/50943/4684/6622/5698/2220/3431/9021/54472"
"C1854113","Prominent nasal bridge",172,0.340616625659345,1.71693200782544,1.98120460783627e-05,0.00460693963571201,0.00418899557193978,2035,"tags=26%, list=11%, signal=23%","80184/317662/91147/284058/22995/7994/79738/79848/123016/51132/84100/10274/93627/51057/9731/8573/55212/55869/9126/4841/585/2074/6611/3476/2261/153241/9851/55023/23322/51114/23592/284098/25942/84910/8091/200894/5116/57545/79600/22954/4810/25914/10484/2239"
"C1847835","VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding)",266,-0.365035387943347,-1.66037357349248,2.08241360445953e-05,0.00460693963571201,0.00418899557193978,2809,"tags=27%, list=16%, signal=23%","6285/6649/3002/57498/7376/6373/3456/1493/1234/2067/1822/5133/7421/6490/3133/1045/25897/7515/125972/4852/2735/3371/4988/3111/122769/958/6663/11009/354/4780/51477/7001/2006/1437/2625/7965/5293/811/643/4000/3134/873/57178/6352/3560/9260/10663/326/79092/5696/3106/43/2263/4261/2833/3107/3627/23410/50943/4068/5226/5699/5609/6890/3383/4524/3135/9402/5698/283871/27022/27190"
"C0023492","Leukemia, T-Cell",401,-0.333504158489299,-1.57547545772946,2.19119495235259e-05,0.00472640751222453,0.00429762525786417,5063,"tags=39%, list=29%, signal=28%","57447/4843/9361/2475/8643/22974/4171/6754/894/3562/1030/27004/3569/4854/3695/1053/26073/2120/9825/1029/5741/960/26160/7412/8503/406938/199731/50859/6271/2217/841/1043/1312/3718/857/6988/2353/90678/596/26277/598/3050/3574/1958/1233/64689/7015/942/5744/3394/9139/5594/3596/4899/79400/171558/919/467/3159/64919/10573/4791/8427/3720/6776/915/7132/59286/30835/991/6347/9961/8651/3702/51540/6285/11076/51517/3683/1017/415116/6888/9709/680/3456/4313/3082/28639/5879/5786/6900/5894/1822/267/5133/3578/6490/3492/1791/25897/4185/4790/3004/7057/3689/4852/26053/3111/1588/4035/60/6367/28755/5970/7965/5293/3601/27036/952/6709/7293/57178/56996/4940/3560/10663/1788/5777/5300/3106/3280/5595/115727/9235/50943/4068/182/5609/977/8498/3383/55697/1032/4842/4684/2355/1874/3727/7014/6622/9402/6597/3903/3965/6772/6929"
"C4551560","Truncal obesity",37,0.574477398476022,2.20383739844513,2.64320054560753e-05,0.0055623254408541,0.00505770825838587,2587,"tags=49%, list=15%, signal=42%","2186/5573/123016/9101/5718/25836/55869/9126/2332/55599/84295/5116/2033/23394/23126/3480/81887/4297"
"C2103602","Autoimmune Primary Adrenal Insufficiency",38,-0.596693409534349,-2.02396158848356,2.79319679872955e-05,0.0057380242808187,0.00521746760424344,2562,"tags=42%, list=14%, signal=36%","64135/1493/1234/5133/7421/354/7052/2625/84636/326/4772/4277/3106/4261/3627/50943"
