"metric","value"
"Mean",0.692356990678802
"Median",0.691442507824277
"SD",0.0302330538139543
"95% CI Lower",0.632376564110973
"95% CI Upper",0.75121501015334
"Apparent",0.675533100527528
"Optimism",0.0168238901512743
