"Gene","HR","HR_lower","HR_upper","p_value"
"LARGE-AS1",0.334,0.026,4.278,0.399588
"LOC101929586",0.34,0.084,1.372,0.129504
"NCKAP5L",2.614,0.893,7.653,0.079627
"CNDP2",0.691,0.263,1.819,0.45431
"DNAH10",0.818,0.238,2.809,0.74962
"LOC101929260",0.59,0.172,2.028,0.402614
"CASC15",1.322,0.452,3.865,0.610624
"TCEANC2",0.998,0.291,3.42,0.997823
"TEX41",1.88,0.53,6.664,0.328475
"EBF2",2.051,0.866,4.859,0.102565
"LINC00659",0.893,0.341,2.341,0.818444
"LOC101927623",0.91,0.417,1.987,0.81243
"PIEZO2",1.097,0.369,3.265,0.867803
"THEM5",1.394,0.438,4.431,0.573657
"LOC101928622",3.52,0.538,23.053,0.189309
"LOC340090",0.367,0.102,1.314,0.123453
"ANKFY1",1.707,0.565,5.157,0.34325
"LOC339539",0.672,0.252,1.795,0.428375
"LOC255177",0.378,0.095,1.497,0.165804
"TMEM108-AS1",0.591,0.218,1.598,0.299695
"LINC01343",1.187,0.323,4.365,0.796535
"LYST",2.767,1.315,5.82,0.007307
"SMPDL3A",1.084,0.743,1.583,0.675325
"WDR60",1.372,0.434,4.332,0.589982
"LOC101929473",1.399,0.323,6.064,0.65359
"LOC101927641",0.425,0.126,1.432,0.167435
"THSD4-AS1",2.387,0.612,9.312,0.210226
"FCER1A",0.902,0.45,1.806,0.770267
"LOC339978",0.667,0.257,1.731,0.405364
"LOC101927354",0.517,0.135,1.982,0.335905
"LOC101927660",0.627,0.2,1.968,0.423641
"LOC101930657",1.72,0.536,5.52,0.362027
"LINC01271",1.166,0.435,3.121,0.760258
"LOC101928144",0.382,0.169,0.867,0.02143
"LOC440704",0.63,0.135,2.952,0.557857
"CARD19",0.799,0.288,2.216,0.666836
"TRAF3IP2-AS1",0.421,0.049,3.617,0.430371
"LOC400541",1.104,0.27,4.512,0.890916
"CYP17A1",0.524,0.164,1.668,0.273818
"LOC254028",0.83,0.31,2.226,0.711532
"LOC284263",1.642,0.394,6.842,0.495479
"CLNK",1.382,0.24,7.961,0.717606
"LOC101928460",0.242,0.075,0.785,0.018063
"PRTG",1.108,0.355,3.454,0.860296
"LINC00437",0.821,0.155,4.351,0.817017
"LOC101929505",0.75,0.221,2.545,0.644748
"DLG5-AS1",1.591,0.436,5.8,0.481798
"LINC01121",1.189,0.427,3.306,0.740321
"LOC101927043",1.031,0.231,4.603,0.967697
"LOC440028",0.656,0.211,2.042,0.466714
"LOC340074",1.436,0.499,4.129,0.502112
"NME9",0.821,0.263,2.564,0.733741
"LOC101927040",0.746,0.25,2.23,0.600246
"LOC146513",1.128,0.344,3.702,0.842659
"LOC100130078",0.5,0.197,1.271,0.145293
"KRT40",1.253,0.979,1.603,0.073321
"LOC285191",1.261,0.666,2.391,0.476603
"LOC101927869",1.009,0.238,4.273,0.990807
"SAMD12",0.988,0.701,1.393,0.945051
"HOXA-AS2",0.893,0.275,2.898,0.850219
"LOC101929279",0.825,0.297,2.29,0.712334
"LOC401176",0.4,0.134,1.194,0.100591
"CCDC88A",1.273,0.706,2.294,0.422821
"ZSCAN1",0.482,0.194,1.202,0.117475
"LOC101929413",0.738,0.159,3.434,0.698992
"LOC101927447",0.371,0.127,1.083,0.069748
"LOC400548",0.328,0.113,0.95,0.039942
"LOC105370629",1.114,0.182,6.817,0.907015
"KRTAP5-AS1",0.706,0.22,2.267,0.558729
"RORA-AS1",1.823,0.44,7.55,0.407627
"LINC01097",0.433,0.112,1.679,0.226247
"LOC151484",0.48,0.178,1.295,0.147219
"LOC101929319",1.792,0.481,6.679,0.384823
"FGF10-AS1",0.831,0.289,2.391,0.731585
"LOC105372520",1.092,0.351,3.4,0.878972
"IGF2BP2-AS1",1.48,0.212,10.329,0.692346
"FOXN4",0.437,0.127,1.509,0.190518
"FAM155A-IT1",2.22,0.586,8.404,0.240377
"LOC339988",1.071,0.522,2.198,0.850735
"LOC101928847",1.135,0.29,4.444,0.85536
"CTD-2297D10.2",0.961,0.394,2.342,0.929788
"LINC00964",0.308,0.061,1.57,0.156586
"LOC101928553",0.287,0.066,1.259,0.097965
"LOC284632",0.805,0.214,3.026,0.748472
"LINC00299",1.347,0.477,3.802,0.574285
"LOC102724449",1.019,0.377,2.748,0.971057
"LOC101928476",0.782,0.318,1.924,0.592975
"LOC101927286",1.544,0.583,4.089,0.382507
"PRR20E",1.104,0.473,2.577,0.818648
"LOC286114",0.852,0.26,2.793,0.791707
"LINC01533",0.832,0.347,1.998,0.681219
"TMEM232",1.707,0.253,11.52,0.582975
"LINC00092",1.005,0.349,2.893,0.992229
"USP3-AS1",0.914,0.44,1.896,0.808802
"DNAJB8-AS1",0.787,0.236,2.622,0.69688
"UBXN4",0.998,0.535,1.864,0.996233
"LINC01362",0.429,0.121,1.527,0.191529
"LOC101928101",0.324,0.084,1.254,0.102755
"LINGO1-AS1",0.819,0.271,2.479,0.72371
"LOC644090",0.748,0.192,2.914,0.67525
"ST6GALNAC5",1.01,0.65,1.572,0.963214
"LOC339260",1.239,0.477,3.221,0.659686
"LOC101927044",1.65,0.575,4.738,0.351766
"LOC101929288",0.468,0.148,1.478,0.195577
"NMRK1",1.54,0.823,2.879,0.176713
"C3orf56",1.2,0.355,4.05,0.769197
"WWTR1-AS1",0.652,0.19,2.241,0.49717
"LOC101928277",0.779,0.224,2.712,0.694581
"DAND5",1.349,0.49,3.719,0.562203
"NUDT12",0.794,0.548,1.15,0.222217
"LOC339807",1.168,0.458,2.981,0.744863
"ERV3-1",1.045,0.365,2.995,0.934255
"FAM166A",0.187,0.06,0.582,0.003769
"LOC100128840",0.726,0.269,1.961,0.527605
"LOC101928886",0.436,0.119,1.591,0.208763
"LINC01342",0.613,0.241,1.554,0.302145
"ZNF229",1.156,0.223,5.984,0.862546
"NCALD",1.5,0.785,2.867,0.219433
"MYCBPAP",0.909,0.251,3.299,0.884744
"LOC101927157",0.706,0.421,1.184,0.186521
"LOC101927467",0.661,0.262,1.669,0.38082
"LOC100130285",0.608,0.235,1.568,0.303142
"LOC101927379",1.431,0.589,3.475,0.428958
"LINC00210",2.752,0.845,8.963,0.092862
"LRRC37A5P",1.762,0.322,9.63,0.513264
"TLR8-AS1",0.683,0.234,1.993,0.485007
"CTD-2194D22.4",0.697,0.154,3.148,0.638918
"EFCAB6",0.801,0.084,7.677,0.847337
"DSCAM-AS1",0.714,0.286,1.787,0.472066
"LOC101928389",1.508,0.414,5.487,0.533358
"ROR1-AS1",0.284,0.036,2.214,0.22945
"LOC105372404",0.828,0.221,3.099,0.778763
"PLCE1-AS2",1.615,0.425,6.129,0.481261
"DIO2-AS1",0.999,0.341,2.924,0.999027
"LOC339568",1.165,0.366,3.707,0.796491
"METTL15",0.832,0.165,4.2,0.823931
"WDR11-AS1",0.679,0.19,2.422,0.550482
"DDX6",2.326,1.301,4.158,0.004389
"LOC339666",0.66,0.236,1.851,0.429847
"LINC01115",0.755,0.286,1.991,0.56953
"EP400NL",0.621,0.179,2.156,0.453082
"LOC101929297",1.272,0.309,5.229,0.738589
"IST1",0.744,0.361,1.535,0.423488
"LOC101928283",2.285,0.486,10.745,0.295448
"LOC101928417",0.569,0.14,2.323,0.43245
"LOC101928271",0.702,0.118,4.171,0.697042
"LINC01231",0.575,0.236,1.403,0.223909
"PACRG-AS2",0.556,0.086,3.594,0.537495
"LOC101929406",1.125,0.434,2.918,0.807907
"LOC101929517",0.406,0.089,1.862,0.246122
"AOX2P",0.466,0.183,1.189,0.109986
"MIR4435-2HG",7.202,1.731,29.964,0.006644
"LOC102723704",1.075,0.324,3.574,0.905665
"LOC100288238",0.238,0.043,1.304,0.098157
"LOC101929002",0.95,0.374,2.415,0.91444
"GLB1L3",0.334,0.047,2.386,0.274296
"CHCHD5",0.811,0.335,1.961,0.641534
"LOC101927657",0.354,0.094,1.339,0.126115
"LOC101927502",0.732,0.221,2.423,0.609778
"LINC01197",0.233,0.055,0.978,0.046514
"LOC101927723",0.684,0.124,3.777,0.663409
"FAM86B3P",0.973,0.307,3.087,0.962657
"FAM170A",0.429,0.174,1.059,0.066305
"LOC339468",1.319,0.289,6.027,0.721202
"LINC00862",0.443,0.102,1.923,0.276836
"SH3PXD2B",2.143,1.154,3.977,0.015763
"LINC00905",0.754,0.262,2.168,0.600161
"LOC101927513",0.806,0.325,1.996,0.640735
"LINC00102",1.023,0.11,9.514,0.983927
"FAM45A",0.763,0.33,1.763,0.526896
"LOC441086",1.5,0.568,3.96,0.412961
"EP300-AS1",0.765,0.558,1.049,0.095966
"LOC101929133",1.841,0.651,5.205,0.249925
"LOC101928449",1.181,0.3,4.643,0.812067
"LOC340357",0.744,0.364,1.519,0.41641
"LOC101927648",0.433,0.154,1.213,0.111083
"SRRM2-AS1",0.939,0.345,2.553,0.901487
"LOC101927460",0.768,0.238,2.478,0.658372
"FAHD2CP",0.472,0.176,1.268,0.136294
"LOC101929949",0.593,0.215,1.635,0.31225
"MACROD2-AS1",1.314,0.414,4.167,0.643272
"LOC101928160",0.37,0.131,1.041,0.059648
"LOC105378130",0.659,0.227,1.907,0.441499
"LINC00358",2.272,0.776,6.65,0.134149
"LOC101927210",0.934,0.391,2.233,0.878778
"WDFY3-AS2",3.188,0.866,11.743,0.081299
"KCNQ1-AS1",0.741,0.284,1.937,0.540893
"LOC101927095",1.354,0.436,4.208,0.600471
"DNMBP",0.59,0.345,1.009,0.053874
"LINC00929",0.918,0.363,2.319,0.855959
"LOC101928201",0.943,0.216,4.121,0.938189
"HBB",1.018,0.836,1.239,0.858154
"LINC01448",1.717,0.638,4.624,0.284627
"LOC441025",0.733,0.214,2.518,0.62227
"LOC101928937",0.578,0.173,1.934,0.373445
"LOC101929902",1.526,0.416,5.594,0.523896
"LINC00564",3.73,0.666,20.883,0.134164
"ZNF292",1.191,0.698,2.032,0.520774
"LOC105374042",0.615,0.076,4.975,0.648741
"ITGAX",0.702,0.302,1.629,0.410058
"LOC101929441",0.395,0.134,1.164,0.092222
"LOC101929241",1.691,0.513,5.573,0.387934
"LOC100287877",2.254,0.851,5.968,0.10178
"LOC284930",2.07,0.636,6.738,0.227166
"ITGB8",1.103,0.67,1.815,0.700641
"LOC646522",1.235,0.439,3.476,0.689571
"RPS15",0.336,0.081,1.394,0.133082
"LOC101928135",1.514,0.533,4.3,0.435829
"TBX5",0.557,0.158,1.961,0.361961
"LOC101927071",0.961,0.415,2.224,0.925837
"CCDC160",0.702,0.129,3.804,0.681222
"LOC101927406",0.93,0.328,2.639,0.892014
"LOC101929680",0.816,0.262,2.54,0.725552
"GPD1",0.874,0.378,2.025,0.754069
"LOC338694",1.265,0.397,4.036,0.69085
"LINC00620",0.885,0.34,2.3,0.801341
"LOC101927865",0.96,0.336,2.746,0.939815
"OSBP",0.874,0.349,2.185,0.773154
"LOC729083",0.913,0.196,4.25,0.907947
"LOC340581",0.764,0.242,2.413,0.64654
"LINC01049",1.225,0.464,3.23,0.682101
"LOC101927313",2.365,0.807,6.927,0.116532
"LOC105372761",0.988,0.362,2.698,0.980508
"LINC01395",0.936,0.255,3.438,0.920427
"LOC100289061",0.455,0.194,1.067,0.070116
"LINC01282",0.726,0.249,2.12,0.557893
"LOC255654",0.41,0.165,1.015,0.053907
"LOC100289058",1.154,0.479,2.782,0.749791
"LOC101929460",0.66,0.202,2.159,0.491892
"LOC101929872",0.545,0.204,1.456,0.226219
"LINC00486",0.614,0.082,4.575,0.634053
"LOC101928894",0.818,0.316,2.113,0.677802
"AATBC",0.849,0.493,1.463,0.556012
"LOC101926948",0.874,0.352,2.169,0.770868
"CCDC33",1.307,0.415,4.123,0.647382
"DNAH12",0.354,0.07,1.79,0.209301
"IGFN1",0.797,0.312,2.038,0.636369
"ARNTL2-AS1",0.237,0.036,1.552,0.133272
"LOC101927843",0.51,0.201,1.296,0.156923
"UBR4",1.099,0.298,4.048,0.887106
"RNF17",0.807,0.113,5.781,0.831039
"LOC101927363",1.488,0.427,5.184,0.532648
"LOC388456",0.317,0.112,0.896,0.030308
"HP09025",0.922,0.291,2.924,0.890227
"LOC100131270",0.924,0.297,2.872,0.890715
"LOC101927650",1,0.314,3.191,0.999412
"LINC01428",1.085,0.301,3.908,0.901272
"LINC01169",1.343,0.558,3.231,0.509931
"LOC101927616",0.713,0.118,4.307,0.712543
"MGAT5B",0.855,0.359,2.039,0.724048
"LOC105373418",1.909,0.744,4.895,0.178565
"LOC100507065",0.457,0.118,1.768,0.256731
"LOC101927790",0.733,0.217,2.478,0.617622
"FOXP1-AS1",1.089,0.319,3.722,0.891977
"F11",0.546,0.075,3.958,0.549091
"LOC101927508",0.857,0.189,3.894,0.841539
"LOC101928978",0.668,0.23,1.945,0.459776
"NRG1-IT1",0.574,0.185,1.777,0.335388
"LOC101927059",0.928,0.223,3.858,0.918243
"GNA14-AS1",0.798,0.362,1.759,0.575413
"LINC01243",0.333,0.079,1.401,0.133511
"LOC102800447",2.547,0.565,11.482,0.223504
"LOC102723448",1.832,0.49,6.845,0.368297
"LOC105372069",1.459,0.349,6.097,0.60475
"ZNF627",0.817,0.372,1.797,0.615495
"NADK2-AS1",0.86,0.29,2.549,0.785334
"LOC414300",1.783,0.383,8.303,0.461193
"TMBIM4",2.058,0.901,4.696,0.086629
"SLC38A10",0.622,0.247,1.568,0.314182
"MIR15A",1.112,0.643,1.924,0.704935
"LOC105372953",0.567,0.191,1.685,0.30738
"LOC101927018",0.566,0.147,2.185,0.408841
"CLYBL-AS2",0.676,0.16,2.867,0.59574
"LINC01432",0.778,0.247,2.458,0.669427
"LOC101927526",0.921,0.425,1.992,0.833455
"LOC101927362",1.579,0.659,3.781,0.305448
"ERBB3",0.824,0.427,1.589,0.563355
"LINC00587",0.71,0.216,2.337,0.573377
"HNF4A-AS1",0.897,0.297,2.708,0.846548
"TBC1D8B",0.993,0.66,1.495,0.975011
"LOC101929269",0.711,0.287,1.762,0.461372
"LOC101927247",0.792,0.367,1.708,0.552531
"LOC101929019",1.675,0.48,5.85,0.418654
"LINC00572",0.478,0.142,1.604,0.231789
"LOC101927331",1.296,0.507,3.31,0.588162
"LOC101929584",0.973,0.343,2.757,0.958801
"LOC101927534",0.498,0.189,1.309,0.157303
"LOC105370580",0.199,0.037,1.086,0.062263
"NEGR1-IT1",1.136,0.472,2.732,0.776531
"MAGIX",0.467,0.178,1.228,0.122597
"MLLT10",0.874,0.33,2.317,0.786937
"LOC100129603",0.809,0.324,2.023,0.65075
"LINC01545",0.582,0.246,1.38,0.21937
"IRGM",1.736,0.358,8.411,0.493181
"LOC101927783",0.445,0.161,1.23,0.118625
"ZNF628",3.306,1.31,8.345,0.011382
"RNF216",0.862,0.397,1.874,0.708778
"D21S2090E",0.724,0.248,2.114,0.55522
"MAPT-AS1",0.583,0.084,4.051,0.585445
"LINC00173",1.109,0.508,2.42,0.795479
"LOC101928813",0.181,0.05,0.662,0.009746
"LOC101929167",0.444,0.107,1.854,0.265854
"LINC01220",0.588,0.171,2.022,0.399347
"LOC101929174",1.861,0.511,6.771,0.346124
"LINC00307",0.718,0.145,3.551,0.68476
"TH2LCRR",0.626,0.115,3.416,0.588225
"LOC101927553",2.327,0.781,6.93,0.129346
"LOC105374768",1.185,0.444,3.16,0.734257
"ATP4B",1.056,0.334,3.343,0.925986
"XGY2",1.572,0.544,4.54,0.403231
"LOC101928031",0.179,0.047,0.68,0.011602
"CTSLP8",1.02,0.665,1.565,0.927146
"DEFB107B",0.559,0.123,2.533,0.45056
"SOX6",2.063,0.845,5.039,0.112012
"PARVA",1.657,0.93,2.953,0.086514
"MYLK",1.225,0.843,1.78,0.286508
"EPG5",2.567,0.844,7.805,0.096643
"KIAA1671",0.733,0.289,1.859,0.513122
"LINC00869",0.777,0.304,1.982,0.596924
"LOC101927766",0.646,0.19,2.195,0.48404
"TMEM132B",0.825,0.109,6.239,0.852383
"LOC285638",0.931,0.322,2.691,0.895645
"RNF217-AS1",0.981,0.192,5.011,0.981208
"SLC25A45",1.036,0.486,2.21,0.927357
"ZDHHC2",1.126,0.796,1.593,0.502663
"DKFZp451B082",0.833,0.3,2.316,0.726654
"NOS1AP",1.715,0.715,4.111,0.226679
"SYTL4",0.681,0.378,1.226,0.200234
"MOB3B",0.841,0.556,1.272,0.412895
"DDX10",0.829,0.379,1.811,0.637587
"ITPK1-AS1",1.244,0.542,2.857,0.606315
"RAPGEF4-AS1",0.358,0.099,1.303,0.119118
"HMCN2",0.542,0.182,1.612,0.270906
"GADL1",0.989,0.271,3.614,0.98676
"LOC101927610",0.361,0.068,1.908,0.230401
"ANO8",1.709,0.82,3.563,0.152747
"FMN1",0.575,0.205,1.614,0.293294
"AHNAK",1.414,0.666,3.001,0.367266
"CCDC40",0.889,0.299,2.643,0.832201
"INPP5B",0.645,0.216,1.926,0.43151
"LINC00559",0.693,0.227,2.121,0.520996
"CTBP1-AS",0.87,0.378,2.002,0.742647
"LOC152274",1.397,0.291,6.717,0.676322
"RPL34-AS1",1.107,0.279,4.398,0.88529
"LOC401324",1.983,0.626,6.285,0.244608
"CDH4",0.603,0.186,1.959,0.400037
"LOC340184",2.474,0.836,7.322,0.101803
"LOC101928269",5.424,1.565,18.799,0.007679
"SRGAP3",0.79,0.209,2.99,0.728394
"LOC286359",0.735,0.176,3.063,0.672592
"KCNT1",0.519,0.159,1.693,0.276602
"LOC157273",2.137,0.615,7.417,0.231859
"BTRC",0.882,0.197,3.945,0.869331
"TMEM72-AS1",0.94,0.37,2.387,0.896225
"ITGA9-AS1",1.069,0.455,2.51,0.877786
"LOC729652",1.52,0.266,8.676,0.637463
"TVP23A",1.488,0.486,4.555,0.486742
"SNX20",1.337,0.799,2.236,0.268851
"LOC619427",0.693,0.245,1.959,0.489022
"TNNT2",0.355,0.091,1.388,0.13652
"PLXND1",1.369,0.79,2.373,0.263388
"HERC6",0.748,0.425,1.317,0.314078
"ZSCAN23",0.437,0.062,3.105,0.40806
"FCRL2",0.528,0.115,2.412,0.409844
"CDON",1.385,0.649,2.954,0.399329
"LINC01104",0.369,0.123,1.102,0.074127
"LOC284950",0.19,0.034,1.058,0.058018
"LOC285422",1.081,0.498,2.348,0.842994
"LOC285300",1.053,0.531,2.09,0.882086
"HSD17B4",0.568,0.25,1.29,0.176736
"LOC105369748",1.324,0.515,3.401,0.560379
"SFXN5",0.47,0.108,2.043,0.314219
"LOC100127955",0.687,0.274,1.726,0.424547
"GPR141",0.925,0.324,2.638,0.884368
"LINC00842",1.009,0.304,3.352,0.988338
"LINC01555",0.791,0.368,1.702,0.548823
"DISC1",0.583,0.128,2.65,0.48526
"ZMIZ1-AS1",0.754,0.279,2.038,0.578018
"LRRC37A8P",0.539,0.129,2.258,0.397589
"LOC149684",1.477,0.318,6.85,0.618387
"ZBTB8B",0.361,0.094,1.391,0.138733
"LOC101929073",1.755,0.341,9.044,0.501313
"LOC100507283",0.538,0.126,2.293,0.4019
"CAGE1",0.477,0.08,2.852,0.416901
"AMN",0.791,0.535,1.17,0.240167
"LOC100130278",0.552,0.193,1.581,0.268522
"IFT122",0.338,0.093,1.235,0.100802
"LOC100506870",1.416,0.453,4.43,0.549547
"LINC01226",0.964,0.407,2.281,0.933205
"C2orf50",0.519,0.183,1.475,0.218466
"GAB4",1.06,0.387,2.904,0.909309
"LINC00858",1.305,0.696,2.446,0.406482
"LOC100131763",0.817,0.274,2.434,0.716859
"LOC158434",0.492,0.094,2.573,0.400415
"INPP4B",1.343,0.817,2.206,0.244579
"TBC1D7",0.485,0.195,1.207,0.119729
"PIGG",0.881,0.256,3.033,0.840593
"SH2D4B",0.394,0.123,1.263,0.117132
"LOC283045",0.823,0.277,2.446,0.726602
"LOC400965",0.452,0.135,1.51,0.196982
"LOC283194",0.468,0.193,1.135,0.093108
"LOC284395",2.313,0.887,6.031,0.086348
"WDR72",1.275,1.002,1.622,0.04786
"C1orf220",1.401,0.257,7.644,0.697225
"LOC338963",1.214,0.477,3.088,0.68416
"INTS4P1",1.195,0.355,4.021,0.773744
"CRABP1",0.38,0.143,1.011,0.052704
"LCTL",1.161,0.249,5.404,0.849537
"FAM83B",0.865,0.618,1.21,0.396218
"LOC100129620",2.216,0.32,15.332,0.420194
"SOBP",1.555,0.551,4.392,0.404173
"GARNL3",0.435,0.108,1.749,0.241099
"LOC101929717",1.551,0.51,4.716,0.439497
"LOC401463",0.828,0.254,2.699,0.75409
"PLD5",0.128,0.016,0.996,0.0496
"YWHAEP7",1.226,0.316,4.751,0.768271
"FLJ33360",1.251,0.419,3.735,0.688358
"MRPS27",0.547,0.222,1.347,0.189834
"TPT1-AS1",1.153,0.665,1.999,0.61296
"LOC101929268",0.649,0.188,2.245,0.495108
"CEP41",1.206,0.447,3.257,0.711597
"ANKRD31",1.645,0.5,5.41,0.412869
"COL27A1",1.422,0.937,2.158,0.097659
"CAST",0.689,0.4,1.186,0.178301
"LINC01512",0.566,0.224,1.432,0.229139
"COL18A1-AS1",0.611,0.157,2.374,0.476513
"LOC100130456",0.692,0.327,1.462,0.334073
"ZNF804B",0.479,0.107,2.146,0.336381
"LOC101928422",1.102,0.271,4.473,0.892289
"USP49",1.557,0.231,10.481,0.648808
"RELL2",1.047,0.642,1.708,0.85446
"TMEM235",0.559,0.175,1.786,0.326743
"KNCN",2.199,0.949,5.095,0.066099
"LOC339593",1.873,0.534,6.563,0.326745
"LOC100131347",0.876,0.306,2.508,0.805865
"TREML4",0.667,0.11,4.068,0.661111
"YTHDF3",0.931,0.666,1.301,0.673966
"LINC00934",0.701,0.252,1.947,0.495228
"TMEM151B",0.855,0.385,1.898,0.700076
"HOTTIP",0.81,0.47,1.397,0.449132
"MYH16",0.904,0.289,2.827,0.861666
"LOC101926975",0.891,0.342,2.323,0.813632
"CAD",0.877,0.44,1.747,0.708784
"NEK1",2.188,0.738,6.486,0.157771
"LOC284865",0.579,0.241,1.393,0.222652
"ABR",1.276,0.638,2.552,0.491339
"LINC00514",0.704,0.318,1.556,0.385421
"LOC285857",1.684,0.591,4.795,0.328966
"BSN-AS2",0.79,0.319,1.958,0.611142
"FBXW12",0.755,0.33,1.731,0.507141
"A2M-AS1",1.755,1.059,2.91,0.029228
"LOC105374895",0.157,0.036,0.683,0.013587
"LOC102723927",0.367,0.121,1.112,0.076415
"LINC01619",2.814,0.977,8.104,0.055303
"LOC102724718",1.785,0.577,5.521,0.314254
"FLJ35816",2.663,0.559,12.681,0.218677
"LOC728283",0.582,0.228,1.484,0.257008
"VAC14-AS1",0.79,0.293,2.13,0.642087
"DTHD1",1.013,0.272,3.767,0.984553
"LOC100630923",2.361,0.763,7.307,0.135937
"LOC93444",0.532,0.171,1.654,0.275295
"LOC101928519",1.559,0.375,6.485,0.541192
"LINC00841",0.825,0.227,2.999,0.770325
"KIAA2012",1.324,0.507,3.456,0.56653
"MS4A15",0.575,0.179,1.845,0.351968
"LINC00607",0.649,0.297,1.419,0.278795
"LOC100131756",0.792,0.234,2.684,0.70761
"LOC147004",0.467,0.162,1.348,0.158976
"LINC00700",0.671,0.205,2.199,0.509867
"LOC101929762",0.717,0.176,2.915,0.641886
"LOC729173",0.927,0.426,2.018,0.847596
"FLJ33534",0.745,0.299,1.853,0.526419
"LOC729866",0.18,0.045,0.718,0.015067
"LOC100130856",0.436,0.194,0.983,0.045238
"TRPM2-AS",1.573,0.795,3.108,0.19294
"LINC00693",1.319,0.241,7.214,0.749175
"EMID1",2.103,0.851,5.196,0.107229
"LOC285766",0.523,0.111,2.466,0.412504
"ACTA2-AS1",0.952,0.376,2.413,0.917563
"LINC00330",0.558,0.217,1.435,0.226275
"C9orf47",1.511,0.351,6.497,0.579314
"LOC100133920",1.39,0.311,6.215,0.666734
"LINC00491",1.539,0.405,5.838,0.526571
"HFM1",1.998,0.265,15.091,0.502187
"LINC00410",0.952,0.424,2.141,0.905809
"LOC401585",1.183,0.403,3.471,0.759925
"LOC100127940",0.547,0.131,2.28,0.40776
"IQCF5-AS1",1.36,0.468,3.956,0.571975
"MPP7",0.589,0.391,0.887,0.011319
"LOC219690",1.891,0.583,6.133,0.288418
"C8orf49",0.681,0.16,2.899,0.602734
"POLR3A",0.408,0.166,1.003,0.050857
"LOC101928405",0.803,0.555,1.163,0.245857
"LOC642696",2.613,0.932,7.328,0.067942
"LOC100505555",0.652,0.187,2.273,0.502512
"PSAPL1",0.878,0.412,1.873,0.736604
"LOC101929538",0.91,0.228,3.632,0.893944
"LOC101927257",1.552,0.545,4.421,0.410144
"ATP9B",0.597,0.155,2.298,0.452915
"CECR3",0.731,0.196,2.731,0.641452
"MIR4454",0.975,0.645,1.475,0.90462
"CXXC1P1",0.897,0.26,3.096,0.863384
"SHANK2",1.103,0.567,2.148,0.772706
"CEBPZOS",0.652,0.418,1.015,0.058218
"LOC219688",0.825,0.301,2.262,0.708767
"TXNDC8",1.463,0.444,4.817,0.531278
"DOPEY1",1.216,0.533,2.775,0.64137
"LOC400748",1.674,0.803,3.493,0.169426
"LOC146795",0.293,0.098,0.882,0.029013
"GVQW1",0.756,0.252,2.269,0.618169
"LINC01356",0.913,0.435,1.917,0.809159
"PNLDC1",0.572,0.215,1.52,0.262466
"DLGAP2-AS1",0.927,0.332,2.586,0.884676
"LOC729732",1.005,0.646,1.564,0.983316
"KRT72",0.469,0.131,1.67,0.242366
"MRGPRG-AS1",0.617,0.228,1.672,0.342482
"LOC100130264",1.135,0.544,2.367,0.735154
"USP2-AS1",1.558,0.55,4.409,0.403658
"DDC-AS1",1.172,0.429,3.206,0.756833
"LINC01281",1,0.336,2.982,0.999359
"KLF13",1.285,0.495,3.339,0.606601
"SOX9-AS1",1.466,0.721,2.981,0.291034
"LOC100130815",0.975,0.299,3.179,0.966179
"ESCO2",0.533,0.198,1.435,0.212918
"ZBED3-AS1",0.172,0.022,1.329,0.091609
"ATP5O",0.702,0.272,1.813,0.464926
"LINC00887",0.767,0.178,3.314,0.722778
"LINC01165",1.023,0.405,2.586,0.961446
"SPANXA2-OT1",1.209,0.354,4.136,0.761994
"P4HB",1.085,0.643,1.832,0.760255
"ASIC5",0.774,0.186,3.21,0.72371
"FSTL4",0.596,0.108,3.291,0.55266
"SNRK",1.253,0.564,2.787,0.579704
"PRMT5",0.849,0.563,1.282,0.437042
"GSN",1.479,0.598,3.659,0.39744
"LOC643711",0.562,0.057,5.527,0.621133
"LOC647323",1.84,0.679,4.984,0.230393
"LOC642620",0.561,0.206,1.525,0.257121
"LOC728073",1.493,0.668,3.337,0.328315
"LINC01442",0.308,0.093,1.017,0.053226
"IFITM10",0.891,0.364,2.184,0.801634
"LOC100506557",0.532,0.183,1.544,0.245539
"TMC1",1.491,0.481,4.62,0.489278
"LINC01103",1.599,0.373,6.847,0.527125
"LINC00221",0.77,0.246,2.418,0.654993
"NUTM1",1.611,0.64,4.054,0.310979
"EDN1",0.819,0.617,1.087,0.167689
"LOC100291323",1.112,0.608,2.033,0.72999
"MGA",1.913,0.993,3.686,0.052409
"RUNX1T1",1.663,1.038,2.665,0.03458
"SMIM13",0.771,0.422,1.407,0.396957
"NAT16",0.328,0.119,0.905,0.031258
"LOC100131864",0.797,0.262,2.422,0.68846
"ZNF852",0.507,0.168,1.531,0.228386
"RAMP2-AS1",0.61,0.228,1.632,0.324918
"ASB15",0.511,0.143,1.822,0.300538
"TBL3",0.526,0.215,1.285,0.158801
"BTN2A2",1.101,0.43,2.817,0.841409
"LL0XNC01-116E7.2",0.597,0.155,2.296,0.452879
"LINC01144",1.062,0.436,2.589,0.894272
"GLS2",0.408,0.201,0.83,0.013342
"LOC286238",0.961,0.313,2.951,0.945062
"LOC101927588",1.12,0.293,4.285,0.86849
"LOC101928666",1.144,0.486,2.695,0.757931
"CASP12",0.819,0.212,3.16,0.771509
"SLC9B2",1.015,0.677,1.522,0.943121
