"sample_id","Sensitivity_Score","RiskGroup"
"GSM972348",0.693872629016089,"Low"
"GSM972349",-0.277227945540287,"High"
"GSM972352",0.269768104118612,"High"
"GSM972353",0.69831214204045,"Low"
"GSM972355",-0.0816195674715907,"High"
"GSM972358",0.373073115489861,"Low"
"GSM972359",-0.762601459952058,"High"
"GSM972360",0.309286687821805,"High"
"GSM972361",0.445082888551179,"High"
"GSM972362",0.0205516203226439,"Low"
"GSM972363",1.29602139864361,"Low"
"GSM972364",0.539377975384088,"Low"
"GSM972365",0.426792650634201,"High"
"GSM972366",0.150006180372267,"Low"
"GSM972367",-0.774827796836636,"High"
"GSM972368",0.612865497469704,"Low"
"GSM972369",0.703728939748883,"High"
"GSM972370",0.00199763925844887,"High"
"GSM972371",-0.20805411146164,"High"
"GSM972372",-0.246263683142939,"Low"
"GSM972373",-0.110244942733646,"Low"
"GSM972374",-0.16307126135479,"High"
"GSM972375",-0.737649334530774,"Low"
"GSM972376",0.356118661016334,"High"
"GSM972377",0.17380143402002,"High"
"GSM972378",-1.061448304511,"Low"
"GSM972379",-0.600376170224629,"Low"
"GSM972380",-0.0603685353023942,"Low"
"GSM972381",-0.269744717120208,"High"
"GSM972395",0.148244775188786,"Low"
"GSM972400",0.230648449509986,"High"
"GSM972407",-0.212373098094234,"High"
"GSM972408",0.811756013651104,"High"
"GSM972411",-0.709734159863741,"Low"
"GSM972412",-0.35330778746632,"High"
"GSM972413",-0.351651239441871,"High"
"GSM972415",0.670267096313892,"High"
"GSM972416",-0.630031038468684,"High"
"GSM972417",-0.773739791583594,"High"
"GSM972423",-0.268037180606923,"High"
"GSM972424",0.0867574827126666,"High"
"GSM972425",0.29009006925747,"Low"
"GSM972426",-0.20679602162916,"Low"
"GSM972428",-0.189631277751173,"High"
"GSM972429",-0.454375370422955,"Low"
"GSM972430",0.71345163417016,"Low"
"GSM972431",0.853475038950359,"Low"
"GSM972432",-0.314239969335559,"High"
"GSM972435",0.156548158141898,"High"
"GSM972440",0.00194881702444155,"High"
"GSM972444",-0.37807620985446,"High"
"GSM972449",-0.363950117852918,"Low"
"GSM972452",0.699207791016531,"Low"
"GSM972453",1.21929647127789,"Low"
"GSM972457",-0.0697920256881627,"High"
"GSM972460",-0.0285137942596699,"High"
"GSM972466",1.24670197015222,"Low"
"GSM972467",-0.699897161499238,"High"
"GSM972470",0.714547570509758,"High"
"GSM972472",-0.540778637071311,"Low"
"GSM972474",-0.105291677279732,"High"
"GSM972476",-0.374469649230255,"High"
"GSM972481",0.165025850048707,"High"
"GSM972484",-0.436652215107414,"Low"
"GSM972495",1.08087454467644,"High"
"GSM972499",1.77930927326414,"Low"
"GSM972503",0.304715384597106,"High"
"GSM972511",0.27758494087757,"Low"
"GSM972512",-0.664318168433113,"Low"
"GSM972520",-0.147470998845265,"Low"
"GSM972522",0.630286243102622,"High"
