"sample_id","Sensitivity_Score","RiskGroup"
"GSM972349",1.50025984883342,"High"
"GSM972352",0.877070291630495,"High"
"GSM972353",0.0678101843868162,"Low"
"GSM972355",0.450936335067058,"High"
"GSM972358",-0.330854326133192,"Low"
"GSM972359",0.522216870690905,"High"
"GSM972360",-0.349488894193403,"High"
"GSM972361",0.439222199907646,"High"
"GSM972362",-0.898621159576043,"Low"
"GSM972363",-0.10832159080148,"Low"
"GSM972364",-1.05280025355422,"Low"
"GSM972365",0.964919723906673,"High"
"GSM972366",0.59257885154641,"Low"
"GSM972367",1.09805536750803,"High"
"GSM972368",-0.4808523823026,"Low"
"GSM972369",1.0744339000889,"High"
"GSM972370",-0.386292829466714,"High"
"GSM972371",-0.515135273419156,"High"
"GSM972372",-0.747781210831301,"Low"
"GSM972373",0.383242564562703,"Low"
"GSM972374",0.628334346062295,"High"
"GSM972375",-0.103224882058634,"Low"
"GSM972376",0.265017505299484,"High"
"GSM972377",0.6207565320762,"High"
"GSM972378",-0.106922617859357,"Low"
"GSM972379",-0.279250090060288,"Low"
"GSM972380",-0.259773126559312,"Low"
"GSM972381",0.661449573434746,"High"
"GSM972395",-0.774522959605183,"Low"
"GSM972400",0.709121730318767,"High"
"GSM972407",-1.17537014355372,"High"
"GSM972408",0.112272760217164,"High"
"GSM972411",-2.42110994091904,"Low"
"GSM972412",1.03638763081703,"High"
"GSM972413",1.27801034313464,"High"
"GSM972415",-0.551540168361805,"High"
"GSM972416",0.696894320704689,"High"
"GSM972417",-0.688710885809463,"High"
"GSM972423",0.682161894206209,"High"
"GSM972424",-0.0966593200536561,"High"
"GSM972425",0.574912066385137,"Low"
"GSM972426",0.788203619489934,"Low"
"GSM972428",1.09315399411847,"High"
"GSM972429",0.431780649544232,"Low"
"GSM972430",-0.50036032755661,"Low"
"GSM972431",-0.546524585558214,"Low"
"GSM972432",-0.383575992647629,"High"
"GSM972435",-0.140395808163412,"High"
"GSM972440",0.651414200943309,"High"
"GSM972444",1.74062134825439,"High"
"GSM972449",-0.936277875476664,"Low"
"GSM972452",-0.0710100457831837,"Low"
"GSM972453",-0.409731817622977,"Low"
"GSM972457",-0.0702612294443075,"High"
"GSM972460",0.298411838022329,"High"
"GSM972466",-1.59200916563652,"Low"
"GSM972467",0.801745487753898,"High"
"GSM972470",0.315867581129449,"High"
"GSM972472",-1.46138785975063,"Low"
"GSM972474",0.515970094712636,"High"
"GSM972476",0.794944940278935,"High"
"GSM972481",0.125276233920016,"High"
"GSM972484",-0.264369032780477,"Low"
"GSM972495",0.743524114044321,"High"
"GSM972499",0.0837660086043603,"Low"
"GSM972503",0.800938110255903,"High"
"GSM972511",-2.17520072412868,"Low"
"GSM972512",-0.0832019588127331,"Low"
"GSM972520",-0.659812429368962,"Low"
"GSM972522",1.04590137088162,"High"
