"Variable","Original_Coef","Bootstrap_Median","Bootstrap_Q025","Bootstrap_Q975","Bootstrap_SD","Prop_Positive","Prop_Negative","Prop_Zero","Directional_Stability","Original_HR","HR_Median","HR_Q025","HR_Q975"
"HALLMARK_TGF_BETA_SIGNALING",15.8284438124091,15.3913424519787,-1.06631847649984,32.2778945922953,8.58529795082783,0.968,0.032,0,96.8,7485241.29464027,4834761.95516313,0.344273638694278,104258508782673
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",10.6815634852921,11.1170199446307,4.29888767098292,20.2331392440686,3.93037529157161,0.999,0.001,0,99.9,43545.5800304582,67307.0284385394,73.6178608570975,612548844.95486
"KEGG_ECM_RECEPTOR_INTERACTION",7.07856842942322,7.34526850859198,1.87956323676802,13.7984277556097,3.16830886482963,0.996,0.004,0,99.6,1186.26907445914,1548.85078919024,6.550643157216,983062.281393166
"KEGG_TGF_BETA_SIGNALING_PATHWAY",-20.1182947708024,-21.2028231492815,-35.7261990648149,-5.0932331700049,8.17351041983659,0.008,0.992,0,99.2,1.83119922446459e-09,6.19057380222113e-10,3.05006353969681e-16,0.00613814211340691
"KEGG_PATHWAYS_IN_CANCER",-26.5534921353152,-27.4210944406501,-61.6791572557098,3.64994422091716,16.1454553758914,0.045,0.955,0,95.5,2.93741217342086e-12,1.23358760417288e-12,1.63336165342436e-27,38.4725200272994
"HALLMARK_MYC_TARGETS_V2",-6.99935498075877,-7.56940548378985,-13.7255946790086,-1.867317946085,3.07247445998951,0.006,0.994,0,99.4,0.000912470336702982,0.000515999127286252,1.09408224449309e-06,0.15453758461921
"KEGG_COLORECTAL_CANCER",20.6837947729634,21.387835269557,5.8591060387896,39.0347338090484,8.4671051907508,0.997,0.003,0,99.7,961297769.71678,1943653467.34642,350.410750341376,89653963880490048
"Tumor location (distal vs. proximal)",0.762373525667125,NA,NA,NA,NA,NA,NA,1,NA,2.14335750187996,NA,NA,NA
