"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","KEGG_ECM_RECEPTOR_INTERACTION","KEGG_TGF_BETA_SIGNALING_PATHWAY","KEGG_PATHWAYS_IN_CANCER","HALLMARK_MYC_TARGETS_V2","KEGG_COLORECTAL_CANCER","location_distal"
0.611681295483754,0.460436168545459,0.370169081480821,-1.07898348589395,-0.0291159588318877,-0.473802053549507,0.452051212693875,0.714736444720643
0.463605762553291,0.263270560128405,0.333072792428433,-0.566858238976179,-0.031913300326073,-0.443610463698151,0.218459128118793,0.51177927497355
1.28199506796991,0.512010830680699,0.465636273188031,-1.18138627283689,-0.777540299450283,-0.305413982502934,0.515202544017091,0.649969446645873
-0.0568228373185158,0.247839116368264,0.640160766603172,-0.175253913195341,-0.652236843935279,-0.625689438818586,0.370341328091546,0.855928648142799
0.16909690595262,0.475319411422093,0.468014554954832,-0.841052936407811,0.0753041821847208,-0.608228453567246,0.411590235850237,0.846676859675926
0.68049451635573,0.341036733148172,0.725326314726735,-0.451558096489506,-0.893233880364554,-0.32048037707858,0.455063749074965,0.535346021326127
0.997475564660401,0.383269542967648,0.775114648853441,-1.360370361771,-0.60584712934781,-0.580978691548812,0.686606470086502,1.52764855116473
1.54281827784318,0.375782080449587,1.01344818558658,-1.26974585119123,-1.36753313243764,-0.2753787303964,0.77710111437738,0.732133912850486
0.459592382221256,0.277290520310036,0.194453278510672,-0.336184489628491,-0.249411616652452,-0.194735695173573,0.0893507641303684,0.864742063320505
0.142210443793121,0.406201584717156,0.500614238899266,-0.523652781236542,-0.140040595026232,-0.381673478585157,0.273009251962568,0.393168862725184
0.347514248951174,0.433941881657446,0.63244234961796,-0.541970845491408,-0.256110631095251,-0.290520573423758,0.345162189361113,0.975165319313422
0.479160382203246,0.401154388456168,0.702747432643208,-0.735476406066319,-0.264006132918593,-0.454012565437806,0.386536458828803,0.731246146148693
1.13048474690448,0.372924309574728,0.451197247479224,-0.426118308283964,-0.926712615649482,-0.233714397321981,0.309416581462352,0.473883532210629
0.605493438132031,0.568686786524374,0.440028829713286,-0.836507351509456,-0.41493086660118,-0.457229681630792,0.374140178996228,0.795301061536805
0.63043974364177,0.424227884383696,0.568865252558043,-0.677021191315947,-0.428668915766015,-0.341193846951611,0.306165863972228,0.868335825049976
-0.257293092050061,0.433778941788453,0.887029280359313,-0.433984238451749,-0.443130261026131,-0.784813237475973,0.542628320440162,0.479480213448873
0.786814963377646,0.368696945915982,0.554959942652512,-0.533620639354474,-0.483326411549421,-0.0719027843443089,0.11562705621391,0.112625464567191
0.358044023521104,0.261087558074173,0.332632549792448,-0.610621589842618,-0.00683769540196536,-0.379138897870719,0.305374404426987,0.790196912296794
0.537657145571552,0.367373302590911,0.788403637329625,-0.709028169186418,-0.771608338400302,-0.480359728206363,0.545036708850521,0.475736726535218
1.49749938443343,0.395820664627837,0.366575373194346,-0.904957790576892,-0.768368240046411,-0.234494775789053,0.356759273979603,0.599831205999395
0.63745798649473,0.233378163393921,0.731102125196432,-0.493416755309156,-0.954360099846706,-0.275480818912396,0.560500058200485,0.170895101915536
0.597898755391743,0.448806141296898,0.435560550094907,-0.814501056757262,-0.335327488076067,-0.597968569420477,0.576930403660483,1.05200942374359
0.212407613322191,0.409584472570079,0.364876936979402,-0.736885264770734,-0.109385986825923,-0.764584983068809,0.584964173433919,0.998869144002577
0.613326886435719,0.384915042447822,0.487851730437933,-0.777149675465665,-0.30343626401426,-0.500759887088401,0.544508662777834,1.14460441913798
0.752664333604951,0.582827738939513,0.941817529134413,-0.973910950727205,-0.701391632544076,-0.280820090582269,0.468947250971196,0.731841202641148
0.47770913219064,0.182831928655251,0.400007340078082,-0.637609820260643,-0.54690474803674,-0.292141846897789,0.437893744750345,0.601135403150836
0.387088028001445,0.646503927449585,0.485901556214647,-0.602395647587054,-0.443802694330674,-0.629783973344215,0.420216370807362,1.07758090591311
0.320935010467873,0.333689532317242,0.885539309193834,-0.666122864078827,-0.845702567867448,-0.698334497325827,0.703185573237982,0.675214873595277
0.520513695024023,0.217361271643749,0.588666307307455,-0.627773574375205,-0.633114312092441,-0.37418695160552,0.540243113735917,1.13208908441248
0.841635194771583,0.383448848041396,0.597380840533762,-0.656205730216747,-0.655922982100885,-0.376105656400736,0.378534089734318,0.520684840997666
1.00657427156188,0.40833125824537,0.463514775476793,-0.461021921650311,-0.669711537460888,-0.0660187312439757,0.239854115877638,1.05349593663652
1.21148451829061,0.473067257794213,0.304469707631975,-1.08167150746151,-0.376282896489587,-0.219788484370829,0.542740650892545,1.11092159809784
0.52243004673411,0.430571051548427,0.605456719949449,-0.983804121997635,-0.479296782561639,-0.426809590030924,0.486528153192182,0.461554152234603
0.682244789183903,0.371353010892809,0.640532998351342,-0.849734477323452,-0.581901620327547,-0.482625868329113,0.556801330429997,0.855118749557833
0.312010564839081,0.603921208658943,0.43650381283613,-0.403391533660447,-0.296504642703328,-0.30492036937459,0.297161620106999,0.128194276069082
0.540527375507975,0.171523240932106,0.251828494249813,-0.950024846136443,-0.0211322269860105,-0.597636552501318,0.491239114019487,0.633275868433756
0.411595701377905,0.558759658377313,0.388617279995316,-0.513782133529946,-0.513219306334632,-0.484651082223401,0.41268913002355,0.879448982057871
1.05313871336506,0.566916078889167,0.612915422221841,-0.841433854247531,-0.902572404199571,-0.464476877750209,0.431679240249094,0.225923031389554
0.719364584070379,0.120725199326668,0.669187905333629,-0.771908471004058,-0.609046689910162,-0.378856611984005,0.488197513348805,0.861747745522919
0.489684139683999,0.549986747533175,0.341465335681993,-0.689930929971999,-0.57689423532641,-0.38759048810137,0.708314292042439,0.91859890710739
0.275599004501567,0.470002204542352,1.01538247941452,-0.673358908705516,-0.933478051635901,-0.703246183220018,0.645532170734582,0.805313860427997
0.263010984958926,0.46309076289561,0.25376698669575,-0.170384512592872,-0.364285981427656,-0.191842930133411,0.248424667923991,0.112534042131479
0.494102064562734,0.50514605825409,0.921351526864419,-1.10706626669436,-0.73467682822038,-0.632323951711115,0.889589984637089,0.740359100991169
0.934175289268812,0.136619792250617,0.539797123791173,-0.504789234226963,-0.72052150452441,-0.0249958593021956,0.282719727216274,0.312647031470443
0.0685759147178119,0.594554249268787,0.657898423203944,-0.77130771213079,-0.286372219798778,-0.543700860551294,0.309671975827097,0.216437672565312
0.438890295649078,0.492928362783714,0.442416434406469,-0.408491957418894,-0.243745760630481,-0.299740232372501,0.240607919382309,1.04800135216724
1.28317371633335,0.529391498400309,1.18011532378892,-1.03488739548959,-1.47459215237043,-0.3201581146394,0.558488375704958,0.365961990637359
1.10167679548773,0.306530270655413,0.537686300076165,-1.11943648795335,-0.677378090152067,-0.440275561644685,0.497877568153589,0.843809024383295
1.69560770624418,0.355163762299708,0.849940758649057,-1.17800574718665,-1.23751660055534,-0.0313485175466967,0.290719340677024,0.45920314151778
0.721346020506678,0.529663315845346,0.524845698981782,-0.98899569991614,-0.586422397402347,-0.459013856480349,0.53459419613485,0.925000152071697
0.911788994763918,0.474280829456944,0.597519013713492,-0.775975167978129,-0.794444467459278,-0.373737383569095,0.403511960260107,0.848101965329121
0.617475869279865,0.446223027742676,0.435968353856218,-0.862405255471039,-0.198253025738259,-0.46167370439767,0.347400329513882,1.23426436973587
0.286366326162151,0.323985221651405,0.0380838877015012,-0.276904170920785,-0.257861977441059,-0.301973847950809,0.250768850531523,1.20846655493771
-0.102525351243441,0.72503755673421,0.496189593484817,-0.28875424285927,-0.347342913348844,-0.604851843823981,0.317328086906465,0.326387088558089
0.88044979205086,0.333733393800214,0.544889700205516,-0.793302812969726,-0.53456460524655,-0.23945305545151,0.327463182614126,0.925760111207668
0.848979923439279,0.182611390717399,0.854064945466399,-0.613973077847512,-0.988094737963556,-0.264700748520545,0.381453922074641,0.605756789723848
0.309093876646838,0.540709456461917,0.887925657968284,-1.06264512114804,-0.60231669293788,-0.853157180735543,0.795619301769466,0.94708639728554
0.743603066059438,0.43829248485348,0.55541588467099,-0.607971485399325,-0.647135008681306,-0.343376700944232,0.204256081850929,1.08487466941838
0.638898733681658,0.219421396911734,0.609298733212832,-0.701758454029021,-0.710396715449532,-0.630431118213639,0.341469542340692,0.140470087457192
1.02712545354918,0.565270941365327,0.49946152715219,-0.756524633749715,-0.65618191680313,-0.251113115603456,0.453841620004965,0.719790166798657
-0.162977732248331,0.816369284737489,0.566776594041369,-0.078196952183859,-0.586912686339391,-0.64948238512624,0.47137533088824,0.626638591541156
1.49809229314102,0.249205013807972,0.746497727625012,-1.06594325379351,-1.08461463749632,-0.169450262933838,0.493892585596722,0.647971259290612
0.630120841190164,0.386519035590785,0.528885506237436,-0.433443540168392,-0.390860424592893,-0.127984560479258,0.222330396192885,0.813571698921497
0.467983735402637,0.39025345334871,0.550359443019953,-0.852553811286047,-0.449324054702838,-0.462889970716885,0.496840783296424,0.534408000096122
0.574360784790048,0.380876632422169,0.361656827296533,-0.772587165761726,-0.349327231679981,-0.372673749712149,0.495466803131721,1.01868281648621
0.160321532889692,0.368145407828628,0.781006830213188,-0.559785386401416,-0.128695853212249,-0.454559953716887,0.0843898327783132,0.901716119592758
0.7254989077017,0.536359154285614,0.630356694570923,-0.943410431890107,-0.72084187627734,-0.556868177319971,0.783984515754592,0.932610961326821
0.0437936330101842,0.28955587107795,0.618710070179289,-0.170795193765786,-0.487006257607702,-0.366461992216963,0.401319730910941,0.840332413878494
0.425340466057824,0.464721493418582,0.5097856509927,-0.515262558618416,-0.855144533352309,-0.508943730219168,0.421048598704112,0.728983036222338
0.38857698521493,0.300877477107574,0.233737943303745,-0.5626504793223,-0.0675771579735273,-0.42448423267455,0.437357006668031,0.486037294607337
1.03706841274791,0.398103382654831,0.360777134860992,-0.897883665170995,-0.66153422675542,-0.183169585209126,0.497627449209423,1.05355122985788
0.0626314227367513,0.593291041585062,0.511477834070956,-0.970588983273185,0.0255686854486497,-0.923020764421831,0.531711740918079,1.26978921016227
0.243462187438529,0.72552545720993,0.340304851060625,-0.531820431391258,-0.251322595198156,-0.66607592462695,0.351763366444833,0.654391662738627
1.21823994334419,0.476596842044207,0.455693836119528,-1.24740474723577,-0.595468841596031,-0.198441359588648,0.383712845292728,0.959918957865636
0.514880798655536,0.204487728598933,0.70199210502637,-0.972827384966492,-0.571976091439275,-0.37597839404786,0.499043675314343,0.619428634648315
0.643595758314512,0.361543241507905,0.275770968045771,-0.386992175825127,-0.387446162164387,-0.318996415147782,0.0470382360337907,0.609931796038962
0.570561368523608,0.345180499874038,0.0790761628144448,-0.268683273847193,-0.393755716689622,-0.376563497820578,0.292870271048383,0.318660929763365
0.377309686316713,0.277941907839701,0.896165399776559,-0.760362120167145,-0.655524658616938,-0.377063038836711,0.532922824348282,0.677973661922082
1.10117725263396,0.373240135917975,0.516604308625327,-0.973612885397841,-0.899866958934739,-0.425769607216263,0.437771591308568,0.825171912303228
0.844116842126206,0.352157142211011,0.361942680520063,-0.60254345245895,-0.498330866366776,-0.169777191836139,0.252048688778687,1.09352259818723
0.680400295277834,0.325934156412753,0.486790394068591,-0.725765715603296,-0.369340534947941,-0.400571646625734,0.220412069723638,0.788586088093022
0.341892956060927,0.569957771607398,0.939494373652605,-0.783441034242386,-0.700899446543738,-0.571962755993289,0.538594793422197,0.411399158817897
0.927073371483983,0.249231935389593,0.653650421429021,-1.0158473133576,-0.670110430475089,-0.224628411964785,0.48928877334063,0.906382032856621
0.400986455308917,0.411259955268941,0.297817373983606,-0.137577919613288,-0.691483332409336,-0.358558074453225,0.402406823338126,0.512256227048868
0.682112294451287,0.262151542709868,0.790931421743237,-0.874567307233431,-0.730739965628273,-0.434081036627983,0.397897921490731,0.940003931684339
0.873811155114664,0.3911629070751,0.717247418079612,-0.884893562964567,-0.787997875637051,-0.392766604123007,0.503909488355585,0.603537558947176
0.384086184779195,0.271239451149795,0.585052298361681,-0.16349294876123,-0.638851292214661,-0.422381685761796,0.281351383446031,0.398593375104572
0.366109852423297,0.49335464297161,0.528560368400273,-0.748921732815776,-0.500711194052805,-0.37241432633376,0.543922233587712,0.97165696204606
1.26628207322301,0.407857950905265,0.119826062634538,-1.0752661535027,-0.127598556267166,-0.104998428728668,0.265185560994158,0.407558432196652
0.420641292342519,0.503832435955772,0.250678318877626,-0.152954027579726,-0.486301412943948,-0.351418361732782,0.45077689518705,0.392011585324596
0.444512430677312,0.234339272648995,0.400288567846671,-0.657215046676724,-0.289845506464402,-0.356175885652598,0.525640751899176,0.269694696932613
0.598963681564227,0.376388297804145,0.447603754202756,-0.550453500628921,-0.48812690580179,-0.450759173306982,0.208396604662289,0.721996334414485
-0.0800817880086776,0.446419884029,0.613653179017431,-0.94223919881939,0.396525214062614,-0.611558892121135,0.4901027143736,0.632373019615452
