"Arm","Repeat","Fold","Lambda","n_sel","C_train","C_test","cal_slope_test"
"Gene_500",4,4,"lambda.min",67,0.942692085499711,0.478346456692913,-0.0398113602209184
"Pathway_44",4,4,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",4,4,"lambda.min",6,0.662045060658579,0.588582677165354,1.17595216433488
"Gene_500",4,5,"lambda.1se",0,0.5,0.5,NA
"Gene_500",4,5,"lambda.min",69,0.92700983227299,0.514619883040936,0.0340909886333793
"Pathway_44",4,5,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",4,5,"lambda.min",5,0.628571428571429,0.58869395711501,2.28490440272839
"Gene_500",5,1,"lambda.1se",0,0.5,0.5,NA
"Gene_500",5,1,"lambda.min",68,0.919678714859438,0.620408163265306,0.346719990688397
"Pathway_44",5,1,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",5,1,"lambda.min",7,0.655765920826162,0.585714285714286,1.33502769667217
"Gene_500",5,2,"lambda.1se",0,0.5,0.5,NA
"Gene_500",5,2,"lambda.min",69,0.924994094023151,0.387978142076503,-0.46707878588883
"Pathway_44",5,2,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",5,2,"lambda.min",3,0.6210725253957,0.619307832422586,1.61391215250373
"Gene_500",5,3,"lambda.1se",0,0.5,0.5,NA
"Gene_500",5,3,"lambda.min",88,0.966053748231966,0.582089552238806,0.163430258014869
"Pathway_44",5,3,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",5,3,"lambda.min",8,0.662187647336162,0.625,1.09986523746477
"Gene_500",5,4,"lambda.1se",0,0.5,0.5,NA
"Gene_500",5,4,"lambda.min",4,0.737433471318746,0.474729241877256,0.113149441428926
"Pathway_44",5,4,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",5,4,"lambda.min",7,0.659254878769959,0.577617328519856,1.13879993142629
"Gene_500",5,5,"lambda.1se",0,0.5,0.5,NA
"Gene_500",5,5,"lambda.min",72,0.956461644782308,0.455465587044534,-0.0347263238135414
"Pathway_44",5,5,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",5,5,"lambda.min",6,0.685901865929509,0.495951417004049,0.56695957258817
