"logFC","AveExpr","t","P.Value","adj.P.Val","B","probe","Direction"
0.413371938272365,6.53785191224465,4.79744420234463,3.5301176453461e-06,0.0525608032496584,3.60132791867907,"212970_at","up"
0.463724203439769,6.8043686080538,4.69236944152625,5.57792669528371e-06,0.0525608032496584,3.2319331975989,"203883_s_at","up"
0.636683888179193,6.35566668164355,4.46727110809978,1.45123988118998e-05,0.064839617329803,2.460907533764,"205258_at","up"
0.698562270585289,6.17756618260485,4.45150725918792,1.54982223296522e-05,0.064839617329803,2.40797337824512,"212328_at","up"
-0.404746055637044,7.48003409666482,-4.42640187171136,1.72024878833182e-05,0.064839617329803,2.32396255829218,"218747_s_at","down"
0.557872915768817,5.29029887708116,4.17349498836398,4.80598673683131e-05,0.132113763257619,1.49800994953226,"212325_at","up"
0.520579664954583,6.96833388841114,4.16825535645128,4.90712269342743e-05,0.132113763257619,1.481296516009,"212985_at","up"
0.35546309346123,7.96869431668538,4.03687026444097,8.22091995412028e-05,0.193664321819189,1.06761170959952,"1556060_a_at","up"
-0.369604541023593,7.58930375024137,-4.00151330301071,9.42614638303873e-05,0.197383505260831,0.958079212512893,"218746_at","down"
0.50053250194168,5.63070152750275,3.89755080860471,0.000140222113658855,0.216029441644086,0.640488189698605,"243184_at","up"
0.449662086434551,5.29748079802398,3.88420117312754,0.000147476750561926,0.216029441644086,0.600194831136564,"230503_at","up"
0.524700403998931,5.76846563787191,3.86787210093969,0.000156835700428576,0.216029441644086,0.551060697109087,"212327_at","up"
0.309227252411335,9.45749734051074,3.86082975309565,0.000161043692595405,0.216029441644086,0.529922047977866,"202011_at","up"
0.321149596252491,4.87775537395527,3.82246035896083,0.000185918584473231,0.216029441644086,0.415300370633211,"209733_at","up"
-0.411680925721212,7.96102195446356,-3.81427624512376,0.000191676476637787,0.216029441644086,0.3909723501862,"202531_at","down"
-0.290597440573512,7.01387673006235,-3.80006124397341,0.000202081311525618,0.216029441644086,0.348818041114787,"202787_s_at","down"
-0.511638835476441,8.97151215640411,-3.78316624433539,0.000215144157209735,0.216029441644086,0.298883438010224,"204279_at","down"
0.453905048705487,6.42409259576086,3.77460387547966,0.00022206601281684,0.216029441644086,0.27364611223032,"213939_s_at","up"
