"gene_symbol","stouffer_z","stouffer_p","stouffer_fdr"
"PCGF5",-4.55064982884169,5.34804886009676e-06,0.0518275887466733
"APOL6",-4.51651036566952,6.28670411774301e-06,0.0518275887466733
"SAP30L",-4.00916264982819,6.09344364130755e-05,0.334895662526263
"FLT1",3.84643762427991,0.000119847623245518,0.409266750872821
"UBE3A",3.78786785518737,0.000151945622425961,0.409266750872821
"PAPOLA",3.74948905089774,0.000177195232695455,0.409266750872821
"SCAPER",3.67302136328027,0.000239699435306696,0.409266750872821
"PPP2R5C",3.62558001494513,0.000288313605027622,0.409266750872821
"TJP1",3.62449925910022,0.000289521850138121,0.409266750872821
"MSI2",3.60592063897871,0.000311048193951685,0.409266750872821
"HS2ST1",3.58612865232632,0.000335623427550838,0.409266750872821
"BTN3A1",-3.56508689451098,0.000363735659402461,0.409266750872821
"NME7",3.56447264650494,0.000364588468285355,0.409266750872821
"IREB2",3.55854775415918,0.000372910996499483,0.409266750872821
"PLEKHA1",3.55254773585931,0.000381519788656941,0.409266750872821
"YIPF6",3.51057402269799,0.000447140296163677,0.409266750872821
"NUCKS1",3.50728854591102,0.00045269797984505,0.409266750872821
"ICAM3",-3.49677967694763,0.000470910583502814,0.409266750872821
"TRIP11",3.49287088828065,0.000477857491786232,0.409266750872821
"COG8",-3.48266889427464,0.000496441958846217,0.409266750872821
"APOOL",3.45188648152369,0.0005566818792895,0.437074801225013
"MIB1",3.42613237598109,0.000612241919355837,0.451917693778272
"TNFRSF21",3.39744233557826,0.000680189216833325,0.451917693778272
"NDRG3",-3.39125138568896,0.000695742534247504,0.451917693778272
"MED13",3.3907448081966,0.000697029711984199,0.451917693778272
"OGFR",-3.38467298051004,0.000712631006685776,0.451917693778272
"SYNJ2BP-COX16",3.37104258563684,0.000748842809993135,0.457293342635807
"DICER1",3.35773030070402,0.000785852484056372,0.462754848468623
"PARP9",-3.34300398323121,0.000828767102359799,0.470962861658842
"PCNX2",3.3337230555394,0.000856919326162376,0.470962861658842
"SERPINA3",3.30843134782587,0.000938201840206814,0.495540345620397
"DIEXF",3.30148423469852,0.000961747395672775,0.495540345620397
"VEZT",3.26294408502252,0.00110261272133329,0.51059348423689
"WDFY3",3.25976797185928,0.0011150339199409,0.51059348423689
"MOSPD2",3.25877453304886,0.00111894556088482,0.51059348423689
"IPO7",3.24881253310471,0.0011588782490379,0.51059348423689
"PSMB9",-3.24010441791679,0.00119485935613356,0.51059348423689
"PSMB10",-3.22993479631849,0.00123818452730855,0.51059348423689
"TMEM30A",3.22979678005123,0.00123878236481336,0.51059348423689
"CCL5",-3.22153561728425,0.00127505613174399,0.51059348423689
"NAA25",3.20973917733525,0.00132855464871406,0.51059348423689
"LGALS9",-3.20768513069867,0.00133807908306324,0.51059348423689
"PDK2",-3.20311513639335,0.00135949616763122,0.51059348423689
"FAM179B",3.18694770780756,0.00143782767801271,0.51059348423689
"INHBB",3.18433897997424,0.00145085003235542,0.51059348423689
"ADAT3",-3.16953866180067,0.00152681144315704,0.51059348423689
"PYCARD",-3.16865575971203,0.00153145664434921,0.51059348423689
"CDC7",3.16760989351229,0.00153697608749618,0.51059348423689
"HNRNPD",3.16213323345283,0.0015661788883628,0.51059348423689
"CBX5",3.16047530928437,0.00157511954402888,0.51059348423689
"ACSS2",-3.15969446258988,0.00157934665793798,0.51059348423689
"KIAA1257",-3.14184343586513,0.00167887784118166,0.52253820723898
"SRP72",3.1417039767477,0.00167967764335674,0.52253820723898
"ZNRF1",-3.13321937913593,0.00172900160678864,0.525023945538343
"KLK11",3.12944752077533,0.00175135353011941,0.525023945538343
"KTN1",3.10628770199957,0.00189452291346361,0.53931036859991
