"gene_symbol","stouffer_z","stouffer_p","stouffer_fdr"
"LDLRAD4",-4.79454388579109,1.63045369789797e-06,0.0202735917358341
"PRDM2",-4.7351873692853,2.18852817700009e-06,0.0202735917358341
"PCGF5",-4.69774134818506,2.63054258931285e-06,0.0202735917358341
"BAG5",4.51132934895352,6.44226014193373e-06,0.0372378741854124
"APOL6",-4.42395206419164,9.69115321460309e-06,0.0410047952987332
"STON2",4.35705813341651,1.3182226478989e-05,0.0410047952987332
"WDFY3",4.34357053249111,1.40185441129676e-05,0.0410047952987332
"SLC25A28",-4.32967798760804,1.49327536196665e-05,0.0410047952987332
"KIAA1257",-4.31498486386173,1.59613839232126e-05,0.0410047952987332
"TMEM67",4.21057271925896,2.54724113223411e-05,0.0546581847024081
"PCNX2",4.19034349683959,2.7853247476905e-05,0.0546581847024081
"FOXN3",-4.18618614584046,2.8368073025773e-05,0.0546581847024081
"PAPOLA",4.13743633061241,3.51207859535798e-05,0.0601927594188384
"LATS2",-4.11317996912259,3.90245913619047e-05,0.0601927594188384
"RBM25",4.11302559656499,3.90507067723099e-05,0.0601927594188384
"SCRN3",4.0408840420102,5.3250085179309e-05,0.074528824954985
"DNPEP",-4.03415886363547,5.47982364186127e-05,0.074528824954985
"FAM131A",-3.90951284744712,9.2482437035763e-05,0.116007420170137
"MAP2K5",3.90217880209153,9.53306943139397e-05,0.116007420170137
"ZNRF1",-3.88666373006551,0.000101631386200245,0.116467821988321
"RTCA",3.85400185932811,0.000116202711769819,0.116467821988321
"WIPI2",-3.85271737501012,0.000116814194869072,0.116467821988321
"FLCN",-3.84131314199694,0.000122377876808976,0.116467821988321
"SRC",-3.82407943433228,0.000131261594444145,0.116467821988321
"IPO7",3.82086044443204,0.000132986891425833,0.116467821988321
"TM4SF1",3.81997276351332,0.000133466411237787,0.116467821988321
"TTTY14",-3.80563333551321,0.000141441791289932,0.116467821988321
"STUM",-3.78836322615828,0.000151643037705422,0.116467821988321
"DOPEY1",3.78237628151162,0.000155338305226203,0.116467821988321
"UBE3A",3.77971874313229,0.000157005609253198,0.116467821988321
"NPTXR",-3.76948985890142,0.000163581554757257,0.116467821988321
"INHBB",3.76577814320319,0.000166031174339334,0.116467821988321
"MTF2",3.76547691371482,0.000166231483310177,0.116467821988321
"TUBGCP5",3.72128057507041,0.000198215056312493,0.121459467231716
"PSEN2",-3.72011851712111,0.000199129311653815,0.121459467231716
"OGFR",-3.71568458612226,0.000202654257261284,0.121459467231716
"MPND",-3.71507371843426,0.000203144462122884,0.121459467231716
"ZNF33B",3.71090713584496,0.000206517859620825,0.121459467231716
"FAM161A",3.70894595707269,0.000208123839663379,0.121459467231716
"CEP70",3.70601056528894,0.000210549519681226,0.121459467231716
"H6PD",-3.7002565590747,0.000215381607910572,0.121459467231716
"NUB1",-3.68812203012282,0.000225915303962298,0.124366374831245
"CEP290",3.66140153830074,0.00025083926264125,0.133402521362492
"PER3",-3.65476079517687,0.000257421874721634,0.133402521362492
"LOC441204",-3.65255989871533,0.000259639006155103,0.133402521362492
"KLF12",-3.64677177629052,0.000265555586996843,0.133476320151174
"DPP9",-3.63135063320949,0.000281941819527746,0.138252836258097
"TRMT44",3.6120240966644,0.000303816326758845,0.138252836258097
"NRXN1",-3.61146457320308,0.000304472681214992,0.138252836258097
"PDXDC1",-3.61045106523991,0.00030566496879685,0.138252836258097
"CELA2A",-3.61002010367502,0.000306173274193444,0.138252836258097
"SNRK",-3.60601444402105,0.000310935836919728,0.138252836258097
"NME7",3.59801114733079,0.000320659878546867,0.139886359469474
"MED13",3.58478877606943,0.000337351117076602,0.141687745330513
"COG8",-3.57919700299862,0.00034465159074662,0.141687745330513
"TMEM183B",-3.5769674265355,0.000347603469531117,0.141687745330513
"BTN3A1",-3.57569285355135,0.000349301564977261,0.141687745330513
"TTC9",3.55595860482015,0.000376603377366102,0.148029954616796
"YIPF6",3.55516513693506,0.000377741763867954,0.148029954616796
"ANO10",-3.53950923112107,0.000400871750276467,0.154475928969037
"XPR1",3.51855316846128,0.00043390685872772,0.155209382743744
"NAP1L1",3.51835426688191,0.000434232245905572,0.155209382743744
"ZNF81",-3.51590782255816,0.000438253110862621,0.155209382743744
"RGMA",-3.51462952213124,0.000440367866323277,0.155209382743744
"CNPPD1",-3.50593794967136,0.000455001279446221,0.155209382743744
"SPAG11A",-3.5047722047979,0.00045699812301008,0.155209382743744
"IDS",3.49463263325951,0.000474714674961387,0.155209382743744
"TANC2",3.4868941389773,0.000488664744014561,0.155209382743744
"TJP1",3.48605595608353,0.000490198456369635,0.155209382743744
"PPP2R5C",3.48598997252958,0.000490319383895083,0.155209382743744
"ZBTB37",3.48589762031094,0.000490488683775876,0.155209382743744
"EIF4B",3.47892792305311,0.00050342396918873,0.155209382743744
"SAP30L",-3.4727399717147,0.000515174223219416,0.155209382743744
"SMIM10L1",3.47255647459282,0.000515526536254189,0.155209382743744
"PDK2",-3.47241970666356,0.000515789275665025,0.155209382743744
"TRIP11",3.47038848132828,0.000519706102552623,0.155209382743744
"SPATA17",3.46923984133419,0.000521933286547313,0.155209382743744
"MYL10",-3.46513856337044,0.000529958351733461,0.155209382743744
"CINP",3.46495483135336,0.000530320541358754,0.155209382743744
"NUCKS1",3.4511570066344,0.000558188746288016,0.159846739489772
"SEPT8",-3.4502862312111,0.000559992469991416,0.159846739489772
"BID",-3.4397019950815,0.000582355030874749,0.162319682400108
