"gene_symbol","dir_GSE104645","dir_GSE28702","dir_GSE72970","dir_GSE69657","dir_GSE39582","n_cohorts","n_concordant","direction_consensus","concordance"
"A1BG","up","up","down","down","down",5,3,"down","3/5"
"A1BG-AS1","up","down","up","down","down",5,3,"down","3/5"
"A1CF","down","up","down","up","up",5,3,"up","3/5"
"A2M","down","up","down","down","up",5,3,"down","3/5"
"A2M-AS1",NA,"down","down","down","up",4,3,"down","3/4"
"A2ML1","down","down","up","down","up",5,3,"down","3/5"
"A2MP1",NA,"up","up","down","up",4,3,"up","3/4"
"A4GALT","up","down","down","down","down",5,4,"down","4/5"
"A4GNT","down","down","up","up","down",5,3,"down","3/5"
"AA06",NA,"down","up","up","down",4,2,"tie","2/4"
"AAAS","down","up","up","up","down",5,3,"up","3/5"
"AACS","down","down","up","up","down",5,3,"down","3/5"
"AACSP1",NA,"up","down","up","up",4,3,"up","3/4"
"AADAC","up","up","down","down","up",5,3,"up","3/5"
"AADACL2","up","up","down","down","down",5,3,"down","3/5"
"AADACP1",NA,"up","down","up","up",4,3,"up","3/4"
"AADAT","down","up","up","up","down",5,3,"up","3/5"
"AAED1","down","down","up","down","up",5,3,"down","3/5"
"AAGAB","up","up","up","up","down",5,4,"up","4/5"
"AAK1","down","down","down","down","up",5,4,"down","4/5"
"AAMDC","down","up","down","up","down",5,3,"down","3/5"
"AAMP","up","down","down","up","down",5,3,"down","3/5"
"AANAT","up","up","down","down","down",5,3,"down","3/5"
"AAR2","down","up","down","down","down",5,4,"down","4/5"
"AARD","up",NA,NA,NA,NA,1,1,"up","1/1"
"AARS","up","down","up","down","down",5,3,"down","3/5"
"AARS2","up","up","up","down","down",5,3,"up","3/5"
"AASDH","up","up","down","up","up",5,4,"up","4/5"
"AASDHPPT","up","up","up","up","up",5,5,"up","5/5"
"AASS","down","up","up","down","up",5,3,"up","3/5"
"AATBC","up","down","up","up","down",5,3,"up","3/5"
"AATF","down","up","up","up","down",5,3,"up","3/5"
"AATK","up","down","up","down","up",5,3,"up","3/5"
"ABAT","down","up","down","up","down",5,3,"down","3/5"
"ABCA1","down","up","down","down","up",5,3,"down","3/5"
"ABCA10","up",NA,NA,NA,NA,1,1,"up","1/1"
"ABCA11P","down","up","up","up","up",5,4,"up","4/5"
"ABCA12","up","down","up","down","down",5,3,"down","3/5"
"ABCA13","up","down","up","up","up",5,4,"up","4/5"
"ABCA17P","down","up","up","up","down",5,3,"up","3/5"
"ABCA2","up","down","down","up","down",5,3,"down","3/5"
"ABCA3","up","up","down","down","down",5,3,"down","3/5"
"ABCA4","up","down","down","up","down",5,3,"down","3/5"
"ABCA5","down","up","down","up","up",5,3,"up","3/5"
"ABCA6","up","up","down","down","up",5,3,"up","3/5"
"ABCA7","up","down","up","down","down",5,3,"down","3/5"
"ABCA8","up","up","down","down","down",5,3,"down","3/5"
"ABCA9","up","up","up","down","down",5,3,"up","3/5"
"ABCB1","down","up","down","up","up",5,3,"up","3/5"
"ABCB10","down","down","up","up","up",5,3,"up","3/5"
"ABCB11","up","up","down","up","down",5,3,"up","3/5"
"ABCB4","up","up","down","down","up",5,3,"up","3/5"
"ABCB5","up","down","down","down","down",5,4,"down","4/5"
"ABCB6","up","up","up","down","down",5,3,"up","3/5"
"ABCB7","up","up","up","up","up",5,5,"up","5/5"
"ABCB8","up","down","up","down","down",5,3,"down","3/5"
"ABCB9","up","down","up","down","up",5,3,"up","3/5"
"ABCC1",NA,"down","up","up","up",4,3,"up","3/4"
"ABCC10","up","down","down","up","up",5,3,"up","3/5"
"ABCC11","up","down","down","down","down",5,4,"down","4/5"
"ABCC12","down","down","down","up","down",5,4,"down","4/5"
"ABCC13","up","down","up","down","down",5,3,"down","3/5"
"ABCC2","down","up","down","up","down",5,3,"down","3/5"
"ABCC3","down","up","down","up","down",5,3,"down","3/5"
"ABCC4","down","down","up","up","down",5,3,"down","3/5"
"ABCC5","up","down","down","up","up",5,3,"up","3/5"
"ABCC6","down",NA,NA,NA,NA,1,1,"down","1/1"
"ABCC6P1",NA,"up","down","up","down",4,2,"tie","2/4"
"ABCC8","down","down","up","up","down",5,3,"down","3/5"
"ABCC9","down","up","up","down","up",5,3,"up","3/5"
"ABCD1","down","down","up","down","up",5,3,"down","3/5"
"ABCD2","up","up","down","up","down",5,3,"up","3/5"
"ABCD3","down","up","up","up","down",5,3,"up","3/5"
"ABCD4","down","up","up","down","up",5,3,"up","3/5"
"ABCE1","down","up","up","up","down",5,3,"up","3/5"
"ABCF1","down","down","up","up","down",5,3,"down","3/5"
"ABCF2","up","down","up","down","down",5,3,"down","3/5"
"ABCF3","down","down","up","down","down",5,4,"down","4/5"
"ABCG1","up","up","down","down","up",5,3,"up","3/5"
"ABCG2","down","up","down","down","up",5,3,"down","3/5"
"ABCG4","up","up","down","down","down",5,3,"down","3/5"
"ABCG5","up","up","up","up","down",5,4,"up","4/5"
"ABCG8","up","up","down","up","down",5,3,"up","3/5"
"ABHD1","down","down","down","up","down",5,4,"down","4/5"
"ABHD10","down","up","down","up","down",5,3,"down","3/5"
"ABHD11","up","down","down","up","down",5,3,"down","3/5"
"ABHD12","up","up","down","down","down",5,3,"down","3/5"
"ABHD12B","down",NA,NA,NA,NA,1,1,"down","1/1"
"ABHD13","down","down","down","up","up",5,3,"down","3/5"
"ABHD14A","up","down","up","down","up",5,3,"up","3/5"
"ABHD14A-ACY1",NA,"down","up","up","down",4,2,"tie","2/4"
"ABHD14B","up","down","down","up","down",5,3,"down","3/5"
"ABHD15","down","up","up","up","down",5,3,"up","3/5"
"ABHD16A","up","up","up","up","down",5,4,"up","4/5"
"ABHD16B","up","down","up","up","down",5,3,"up","3/5"
"ABHD17A","down","down","down","down","down",5,5,"down","5/5"
"ABHD17B","down","up","up","down","down",5,3,"down","3/5"
"ABHD17C","up","down","up","up","down",5,3,"up","3/5"
"ABHD18",NA,"up","down","up","up",4,3,"up","3/4"
"ABHD2","up","down","up","up","up",5,4,"up","4/5"
"ABHD3","down","up","up","up","down",5,3,"up","3/5"
"ABHD4","up","down","up","down","up",5,3,"up","3/5"
"ABHD5","down","up","down","down","up",5,3,"down","3/5"
"ABHD6","down","down","up","up","down",5,3,"down","3/5"
"ABHD8","down","up","down","down","up",5,3,"down","3/5"
"ABI1","down","up","down","up","down",5,3,"down","3/5"
"ABI2","down","up","up","up","up",5,4,"up","4/5"
"ABI3","up","down","down","down","down",5,4,"down","4/5"
"ABI3BP","down","down","down","down","up",5,4,"down","4/5"
"ABL1","down","down","up","down","up",5,3,"down","3/5"
"ABL2","down","down","up","down","up",5,3,"down","3/5"
"ABLIM1","up","down","up","up","up",5,4,"up","4/5"
"ABLIM2","up","down","up","up","up",5,4,"up","4/5"
"ABLIM3","up","up","up","down","up",5,4,"up","4/5"
"ABO","down","down","down","up","down",5,4,"down","4/5"
"ABR","down","down","up","down","down",5,4,"down","4/5"
"ABRA","up","down","down","down","up",5,3,"down","3/5"
"ABRACL","up","down","down","up","down",5,3,"down","3/5"
"ABT1","up","down","up","up","down",5,3,"up","3/5"
"ABTB1","up","up","up","down","down",5,3,"up","3/5"
"ABTB2","down","down","up","up","down",5,3,"down","3/5"
"ACAA1","up","down","down","up","down",5,3,"down","3/5"
"ACAA2","up","up","down","up","down",5,3,"up","3/5"
"ACACA","up","up","up","up","down",5,4,"up","4/5"
"ACACB","up","down","down","down","down",5,4,"down","4/5"
"ACAD10","up","up","down","up","down",5,3,"up","3/5"
"ACAD11","up",NA,NA,NA,NA,1,1,"up","1/1"
"ACAD8","up","up","up","up","down",5,4,"up","4/5"
"ACAD9","up","down","up","up","down",5,3,"up","3/5"
"ACADL","down","up","up","down","up",5,3,"up","3/5"
"ACADM","down","up","down","up","up",5,3,"up","3/5"
"ACADS","down","down","up","up","down",5,3,"down","3/5"
"ACADSB","down","up","down","up","up",5,3,"up","3/5"
"ACADVL","up","down","down","down","up",5,3,"down","3/5"
"ACAN","up","down","up","down","down",5,3,"down","3/5"
"ACAP1","down","up","down","down","down",5,4,"down","4/5"
"ACAP2","down","up","up","down","up",5,3,"up","3/5"
"ACAP3","up","down","up","down","up",5,3,"up","3/5"
"ACAT1","down","down","down","up","up",5,3,"down","3/5"
"ACAT2","up","down","up","up","down",5,3,"up","3/5"
"ACBD3","down","down","up","up","up",5,3,"up","3/5"
"ACBD4","down","up","down","up","down",5,3,"down","3/5"
"ACBD5","up","down","up","up","down",5,3,"up","3/5"
"ACBD6","up","down","down","down","down",5,4,"down","4/5"
"ACBD7","up",NA,NA,NA,NA,1,1,"up","1/1"
"ACCS","up","down","down","up","up",5,3,"up","3/5"
"ACD","up","down","up","down","down",5,3,"down","3/5"
"ACE","down","down","down","down","up",5,4,"down","4/5"
"ACE2","down","up","down","up","down",5,3,"down","3/5"
"ACER1","up","down","up","up","down",5,3,"up","3/5"
"ACER2","up","down","down","down","down",5,4,"down","4/5"
"ACER3","down","up","down","up","up",5,3,"up","3/5"
"ACHE","down","down","up","down","down",5,4,"down","4/5"
"ACIN1","up","down","up","up","up",5,4,"up","4/5"
"ACKR1","down","up","down","down","down",5,4,"down","4/5"
"ACKR2","up","down","down","down","up",5,3,"down","3/5"
"ACKR3","down","up","down","down","up",5,3,"down","3/5"
"ACKR4","down","down","down","down","up",5,4,"down","4/5"
"ACLY","up","up","up","up","down",5,4,"up","4/5"
"ACMSD","up","up","down","down","up",5,3,"up","3/5"
"ACO1","down","down","up","down","down",5,4,"down","4/5"
"ACO2","up","down","down","up","down",5,3,"down","3/5"
"ACOD1",NA,"down","down","down","down",4,4,"down","4/4"
"ACOT1","down","up","down","down","up",5,3,"down","3/5"
"ACOT11","up","down","down","up","down",5,3,"down","3/5"
"ACOT12","down","down","up","down","down",5,4,"down","4/5"
"ACOT13","up","up","up","up","down",5,4,"up","4/5"
"ACOT2","up",NA,NA,NA,NA,1,1,"up","1/1"
"ACOT4","up","up","down","down","down",5,3,"down","3/5"
"ACOT6",NA,"down","up","down","up",4,2,"tie","2/4"
"ACOT7","up","down","up","down","down",5,3,"down","3/5"
"ACOT8","up","down","down","up","down",5,3,"down","3/5"
"ACOT9","down","down","down","up","up",5,3,"down","3/5"
"ACOX1","down","up","up","up","down",5,3,"up","3/5"
"ACOX2","up","up","down","down","down",5,3,"down","3/5"
"ACOX3","down","up","up","up","down",5,3,"up","3/5"
"ACOXL",NA,"down","up","up","down",4,2,"tie","2/4"
"ACP1","up","up","up","up","down",5,4,"up","4/5"
"ACP2","up","up","down","down","down",5,3,"down","3/5"
"ACP5","down","up","down","down","down",5,4,"down","4/5"
"ACP6","up","up","down","up","up",5,4,"up","4/5"
"ACP7","down",NA,NA,NA,NA,1,1,"down","1/1"
"ACPP","down","down","up","up","down",5,3,"down","3/5"
"ACPT","up","up","down","up","down",5,3,"up","3/5"
"ACR","down","down","up","down","down",5,4,"down","4/5"
"ACRBP","down","down","up","down","down",5,4,"down","4/5"
"ACRC","down","up","up","up","down",5,3,"up","3/5"
"ACRV1","up","down","up","down","up",5,3,"up","3/5"
"ACSBG1","down","down","down","down","down",5,5,"down","5/5"
"ACSBG2","up","down","down","down","down",5,4,"down","4/5"
"ACSF2","down","up","down","down","down",5,4,"down","4/5"
"ACSF3","up","down","up","up","up",5,4,"up","4/5"
"ACSL1","up","down","up","down","up",5,3,"up","3/5"
"ACSL3","down","down","down","up","up",5,3,"down","3/5"
"ACSL4","down","up","down","down","up",5,3,"down","3/5"
"ACSL5","up","up","down","up","down",5,3,"up","3/5"
"ACSL6","up","down","down","up","up",5,3,"up","3/5"
"ACSM1","up","down","down","down","down",5,4,"down","4/5"
"ACSM2A","down","up","up","down","down",5,3,"down","3/5"
"ACSM2B","up","up","up","down","up",5,4,"up","4/5"
"ACSM3","up","up","up","up","down",5,4,"up","4/5"
"ACSM5","up","up","down","down","down",5,3,"down","3/5"
"ACSS1","up","down","down","down","down",5,4,"down","4/5"
"ACSS2","down","down","down","up","down",5,4,"down","4/5"
"ACSS3","down","up","up","down","up",5,3,"up","3/5"
"ACTA1","up","up","down","down","down",5,3,"down","3/5"
"ACTA2","down","up","down","down","up",5,3,"down","3/5"
"ACTA2-AS1","up","down","down","down","up",5,3,"down","3/5"
"ACTB","up","down","up","down","up",5,3,"up","3/5"
"ACTBL2","down",NA,NA,NA,NA,1,1,"down","1/1"
"ACTBP9",NA,"down","up","down","down",4,3,"down","3/4"
"ACTC1","up","down","down","down","up",5,3,"down","3/5"
"ACTG1","down","up","up","up","up",5,4,"up","4/5"
"ACTG1P17",NA,"down","up","up","down",4,2,"tie","2/4"
"ACTG1P4","up","up","down","up","up",5,4,"up","4/5"
"ACTG2","down","down","down","down","down",5,5,"down","5/5"
"ACTL10",NA,"down","up","up","down",4,2,"tie","2/4"
"ACTL6A","up","down","up","up","down",5,3,"up","3/5"
"ACTL6B","up","down","down","down","down",5,4,"down","4/5"
"ACTL7A","up","down","up","up","down",5,3,"up","3/5"
"ACTL7B","down","down","down","up","down",5,4,"down","4/5"
"ACTL8","up","down","up","down","down",5,3,"down","3/5"
"ACTL9","up","down","up","up","down",5,3,"up","3/5"
"ACTN1","up","down","up","down","up",5,3,"up","3/5"
"ACTN2","up","up","up","up","down",5,4,"up","4/5"
"ACTN3","up","up","up","down","down",5,3,"up","3/5"
"ACTN4","up","down","up","up","up",5,4,"up","4/5"
"ACTR10","down","up","up","down","up",5,3,"up","3/5"
"ACTR1A","up","down","down","down","down",5,4,"down","4/5"
"ACTR1B","up","down","up","up","down",5,3,"up","3/5"
"ACTR2","down","down","down","up","up",5,3,"down","3/5"
"ACTR3","down","up","up","up","up",5,4,"up","4/5"
"ACTR3B","down","down","up","up","down",5,3,"down","3/5"
"ACTR3BP2","down","down","up","up","down",5,3,"down","3/5"
"ACTR3C","down","up","up","up","down",5,3,"up","3/5"
"ACTR5","down","up","down","up","down",5,3,"down","3/5"
"ACTR6","down","up","up","up","down",5,3,"up","3/5"
"ACTR8","up","down","down","up","down",5,3,"down","3/5"
"ACTRT1","down",NA,NA,NA,NA,1,1,"down","1/1"
"ACTRT2","up","down","up","up","down",5,3,"up","3/5"
"ACTRT3","down","down","down","up","up",5,3,"down","3/5"
"ACVR1","down","down","up","down","up",5,3,"down","3/5"
"ACVR1B","down","down","up","up","down",5,3,"down","3/5"
"ACVR1C","down","down","down","up","down",5,4,"down","4/5"
"ACVR2A","down","up","down","up","up",5,3,"up","3/5"
"ACVR2B","down","up","up","up","up",5,4,"up","4/5"
"ACVR2B-AS1",NA,"down","down","down","down",4,4,"down","4/4"
"ACVRL1","down","down","down","down","down",5,5,"down","5/5"
"ACY1","up","down","down","down","down",5,4,"down","4/5"
"ACY3","up","down","up","up","down",5,3,"up","3/5"
"ACYP1",NA,"up","up","up","down",4,3,"up","3/4"
"ACYP2","down",NA,NA,NA,NA,1,1,"down","1/1"
"ADA","up","up","down","down","down",5,3,"down","3/5"
"ADAD1","up","down","down","down","down",5,4,"down","4/5"
"ADAD2","up","down","up","up","up",5,4,"up","4/5"
"ADAL","up","up","down","down","up",5,3,"up","3/5"
"ADAM10","up","up","up","up","up",5,5,"up","5/5"
"ADAM11","down","down","down","up","down",5,4,"down","4/5"
"ADAM12","down","down","down","down","up",5,4,"down","4/5"
"ADAM15","up","down","down","down","down",5,4,"down","4/5"
"ADAM17","down","up","down","down","up",5,3,"down","3/5"
"ADAM18","up","up","down","down","down",5,3,"down","3/5"
"ADAM19","up","down","down","down","up",5,3,"down","3/5"
"ADAM2","up","down","down","up","up",5,3,"up","3/5"
"ADAM20","down","up","up","down","down",5,3,"down","3/5"
"ADAM20P1","up",NA,NA,NA,NA,1,1,"up","1/1"
"ADAM21","down","down","up","down","down",5,4,"down","4/5"
"ADAM22","up","up","up","down","down",5,3,"up","3/5"
"ADAM23","up","down","up","down","down",5,3,"down","3/5"
"ADAM28","up","up","up","down","down",5,3,"up","3/5"
"ADAM29","up",NA,NA,NA,NA,1,1,"up","1/1"
"ADAM30","up","down","up","up","down",5,3,"up","3/5"
"ADAM32","up","up","up","up","up",5,5,"up","5/5"
"ADAM33","down","down","down","down","down",5,5,"down","5/5"
"ADAM3A",NA,"down","up","down","down",4,3,"down","3/4"
"ADAM3B",NA,"down","down","up","down",4,3,"down","3/4"
"ADAM5","up","up","down","down","down",5,3,"down","3/5"
"ADAM6","up","down","down","up","down",5,3,"down","3/5"
"ADAM7","up","up","down","down","down",5,3,"down","3/5"
"ADAM8","up","up","up","up","down",5,4,"up","4/5"
"ADAM9","up","up","up","up","up",5,5,"up","5/5"
"ADAMDEC1","down","up","up","down","down",5,3,"down","3/5"
"ADAMTS1","down","up","up","down","up",5,3,"up","3/5"
"ADAMTS10","up","up","down","up","down",5,3,"up","3/5"
"ADAMTS12","up","down","down","down","up",5,3,"down","3/5"
"ADAMTS13","up","up","down","down","down",5,3,"down","3/5"
"ADAMTS14","up","down","down","down","down",5,4,"down","4/5"
"ADAMTS15","up","down","down","down","down",5,4,"down","4/5"
"ADAMTS16","up","down","down","down","up",5,3,"down","3/5"
"ADAMTS17","up","down","up","up","down",5,3,"up","3/5"
"ADAMTS18","down","down","up","up","up",5,3,"up","3/5"
"ADAMTS19","up","up","up","up","up",5,5,"up","5/5"
"ADAMTS2","up","up","down","down","down",5,3,"down","3/5"
"ADAMTS20","up","down","up","up","down",5,3,"up","3/5"
"ADAMTS3","up","down","down","down","up",5,3,"down","3/5"
"ADAMTS4","up","up","down","up","down",5,3,"up","3/5"
"ADAMTS5","up","up","up","down","up",5,4,"up","4/5"
"ADAMTS6","up","down","down","up","up",5,3,"up","3/5"
"ADAMTS7","up","down","up","up","down",5,3,"up","3/5"
"ADAMTS8","down","down","up","down","down",5,4,"down","4/5"
"ADAMTS9","up","down","up","down","up",5,3,"up","3/5"
"ADAMTS9-AS1",NA,"up","up","down","up",4,3,"up","3/4"
"ADAMTS9-AS2","up","down","down","down","up",5,3,"down","3/5"
"ADAMTSL1","down","up","up","down","down",5,3,"down","3/5"
"ADAMTSL2","up","up","up","up","up",5,5,"up","5/5"
"ADAMTSL3","down","down","down","down","up",5,4,"down","4/5"
"ADAMTSL4","up","up","down","down","down",5,3,"down","3/5"
"ADAMTSL5","up","up","down","up","down",5,3,"up","3/5"
"ADAP1","up","down","down","up","down",5,3,"down","3/5"
"ADAP2","up","up","down","down","down",5,3,"down","3/5"
"ADAR","down","down","up","down","down",5,4,"down","4/5"
"ADARB1","down","up","up","down","down",5,3,"down","3/5"
"ADARB2","up","down","down","up","down",5,3,"down","3/5"
"ADARB2-AS1","up","down","up","up","up",5,4,"up","4/5"
"ADAT1","down","up","up","down","down",5,3,"down","3/5"
"ADAT2","down","up","up","up","up",5,4,"up","4/5"
"ADAT3","up","down","down","down","down",5,4,"down","4/5"
"ADCK1","up","down","up","up","up",5,4,"up","4/5"
"ADCK2","down","down","down","up","down",5,4,"down","4/5"
"ADCK5","up","down","down","up","down",5,3,"down","3/5"
"ADCY1","up","down","up","down","down",5,3,"down","3/5"
"ADCY10","down","down","down","down","down",5,5,"down","5/5"
"ADCY10P1","down","up","down","up","down",5,3,"down","3/5"
"ADCY2","down","down","down","down","up",5,4,"down","4/5"
"ADCY3","up","down","down","down","down",5,4,"down","4/5"
"ADCY4","down","up","down","down","up",5,3,"down","3/5"
"ADCY5","down","down","down","down","down",5,5,"down","5/5"
"ADCY6","down","up","up","up","up",5,4,"up","4/5"
"ADCY7","up","down","down","up","down",5,3,"down","3/5"
"ADCY8","up","down","down","up","down",5,3,"down","3/5"
"ADCY9","up","up","up","down","down",5,3,"up","3/5"
"ADCYAP1","down","down","down","down","down",5,5,"down","5/5"
"ADCYAP1R1","down","down","up","up","down",5,3,"down","3/5"
"ADD1","down","down","down","down","up",5,4,"down","4/5"
"ADD2","up","down","up","up","up",5,4,"up","4/5"
"ADD3","down","down","down","up","up",5,3,"down","3/5"
"ADD3-AS1","down","down","down","up","down",5,4,"down","4/5"
"ADGB","up","up","down","up","up",5,4,"up","4/5"
"ADGRA1","down","down","up","up","down",5,3,"down","3/5"
"ADGRA2","down","up","down","down","up",5,3,"down","3/5"
"ADGRA3","down","up","up","up","up",5,4,"up","4/5"
"ADGRB1","up","down","up","down","down",5,3,"down","3/5"
"ADGRB2",NA,"up","up","up","up",4,4,"up","4/4"
"ADGRB3","up","down","down","down","up",5,3,"down","3/5"
"ADGRD1","up","up","down","down","up",5,3,"up","3/5"
"ADGRD2",NA,"down","down","up","down",4,3,"down","3/4"
"ADGRE1","down","up","up","up","down",5,3,"up","3/5"
"ADGRE2","up","down","up","down","down",5,3,"down","3/5"
"ADGRE3","up","down","down","down","down",5,4,"down","4/5"
"ADGRE4P","down",NA,NA,NA,NA,1,1,"down","1/1"
"ADGRE5","up","down","up","down","down",5,3,"down","3/5"
"ADGRF1","up","down","up","up","up",5,4,"up","4/5"
"ADGRF2","up","down","up","up","down",5,3,"up","3/5"
"ADGRF3","up","down","down","up","down",5,3,"down","3/5"
"ADGRF4","down","up","down","up","down",5,3,"down","3/5"
"ADGRF5","down","up","up","down","up",5,3,"up","3/5"
"ADGRG1","up","down","up","up","up",5,4,"up","4/5"
"ADGRG2","up","up","up","down","up",5,4,"up","4/5"
"ADGRG3","up","down","up","up","down",5,3,"up","3/5"
"ADGRG4","down","up","up","up","down",5,3,"up","3/5"
"ADGRG5","up","down","up","up","down",5,3,"up","3/5"
"ADGRG6","up","up","up","up","down",5,4,"up","4/5"
"ADGRG7","up","down","down","up","down",5,3,"down","3/5"
"ADGRL1","up","down","up","down","up",5,3,"up","3/5"
"ADGRL2","up","down","up","down","up",5,3,"up","3/5"
"ADGRL3","down","up","up","down","up",5,3,"up","3/5"
"ADGRL4","down","down","down","down","up",5,4,"down","4/5"
"ADGRV1","up","down","up","down","down",5,3,"down","3/5"
"ADH1A","down","up","down","down","down",5,4,"down","4/5"
"ADH1B","down","up","down","down","down",5,4,"down","4/5"
"ADH1C","down","up","down","down","down",5,4,"down","4/5"
"ADH4","down","up","down","down","down",5,4,"down","4/5"
"ADH5","down","up","down","down","up",5,3,"down","3/5"
"ADH6","up","up","down","up","up",5,4,"up","4/5"
"ADH7","up","up","up","down","down",5,3,"up","3/5"
"ADHFE1","down","up","down","down","down",5,4,"down","4/5"
"ADI1","down","up","up","down","up",5,3,"up","3/5"
"ADIG","up","down","up","down","down",5,3,"down","3/5"
"ADIPOQ","up","down","down","down","up",5,3,"down","3/5"
"ADIPOR1","up","down","up","down","down",5,3,"down","3/5"
"ADIPOR2","down","down","up","up","down",5,3,"down","3/5"
"ADIRF","up","up","down","up","up",5,4,"up","4/5"
"ADIRF-AS1",NA,"down","down","down","up",4,3,"down","3/4"
"ADK","up","up","up","up","down",5,4,"up","4/5"
"ADM","down","down","up","down","up",5,3,"down","3/5"
"ADM2",NA,"down","up","down","down",4,3,"down","3/4"
"ADM5","down","down","up","up","down",5,3,"down","3/5"
"ADNP","down","up","down","up","up",5,3,"up","3/5"
"ADNP2","down","up","up","up","down",5,3,"up","3/5"
"ADO","down","up","up","up","down",5,3,"up","3/5"
"ADORA1","up","down","up","down","down",5,3,"down","3/5"
"ADORA2A","down",NA,NA,NA,NA,1,1,"down","1/1"
"ADORA2A-AS1","down","down","down","down","down",5,5,"down","5/5"
"ADORA2B","down","down","up","up","down",5,3,"down","3/5"
"ADORA3","up","up","down","down","down",5,3,"down","3/5"
"ADPGK","down","up","up","up","down",5,3,"up","3/5"
"ADPRH","up","down","up","down","up",5,3,"up","3/5"
"ADPRHL1","up","down","down","up","down",5,3,"down","3/5"
"ADPRHL2","up","down","up","down","down",5,3,"down","3/5"
"ADPRM","down","up","down","up","up",5,3,"up","3/5"
"ADRA1A","up","up","up","up","down",5,4,"up","4/5"
"ADRA1B","up","down","up","down","down",5,3,"down","3/5"
"ADRA1D","up","down","up","down","down",5,3,"down","3/5"
"ADRA2A","up","up","down","down","up",5,3,"up","3/5"
"ADRA2B","up","up","up","up","down",5,4,"up","4/5"
"ADRA2C","down","down","up","down","up",5,3,"down","3/5"
"ADRB1","up","up","up","down","down",5,3,"up","3/5"
"ADRB2","up","up","up","down","down",5,3,"up","3/5"
"ADRB3","up","down","up","down","up",5,3,"up","3/5"
"ADRM1","up","down","down","down","down",5,4,"down","4/5"
"ADSL","up","up","up","up","down",5,4,"up","4/5"
"ADSS","up","up","up","up","up",5,5,"up","5/5"
"ADSSL1","up","up","up","down","down",5,3,"up","3/5"
"ADTRP","down","down","down","down","down",5,5,"down","5/5"
"AEBP1","up","down","down","down","up",5,3,"down","3/5"
"AEBP2","down","up","up","up","down",5,3,"up","3/5"
"AEN","up","down","up","up","up",5,4,"up","4/5"
"AES","down","down","down","down","down",5,5,"down","5/5"
"AFAP1","down","up","up","down","up",5,3,"up","3/5"
"AFAP1-AS1","up","down","up","up","up",5,4,"up","4/5"
"AFAP1L1","up","down","up","down","down",5,3,"down","3/5"
"AFAP1L2","up","down","up","down","up",5,3,"up","3/5"
"AFDN","down","up","up","up","down",5,3,"up","3/5"
"AFDN-AS1","up","up","down","up","down",5,3,"up","3/5"
"AFF1","down","up","up","up","up",5,4,"up","4/5"
"AFF2","up","down","down","up","up",5,3,"up","3/5"
"AFF3","down","up","up","down","down",5,3,"down","3/5"
"AFF4","down","down","down","up","up",5,3,"down","3/5"
"AFG3L1P","up","down","up","up","up",5,4,"up","4/5"
"AFG3L2","down","down","down","up","down",5,4,"down","4/5"
"AFM","up","up","up","down","down",5,3,"up","3/5"
"AFMID","up","up","down","up","down",5,3,"up","3/5"
"AFP","up","up","up","down","up",5,4,"up","4/5"
"AFTPH","up","down","down","up","up",5,3,"up","3/5"
"AGA","down","up","up","up","down",5,3,"up","3/5"
"AGAP1","down","down","up","up","down",5,3,"down","3/5"
"AGAP11",NA,"up","up","down","up",4,3,"up","3/4"
"AGAP2","up","down","down","up","down",5,3,"down","3/5"
"AGAP2-AS1","down","down","up","down","down",5,4,"down","4/5"
"AGAP3","down","down","up","down","down",5,4,"down","4/5"
"AGAP4",NA,"up","down","up","up",4,3,"up","3/4"
"AGAP6",NA,"up","up","up","up",4,4,"up","4/4"
"AGAP9",NA,"up","up","up","up",4,4,"up","4/4"
"AGBL1","up","up","up","down","down",5,3,"up","3/5"
"AGBL2","up","up","up","up","down",5,4,"up","4/5"
"AGBL3","up","up","up","up","down",5,4,"up","4/5"
"AGBL4","up","down","up","down","down",5,3,"down","3/5"
"AGBL5","up","down","up","down","down",5,3,"down","3/5"
"AGER","down","down","up","up","down",5,3,"down","3/5"
"AGFG1","down","up","up","up","down",5,3,"up","3/5"
"AGFG2","down","up","down","up","down",5,3,"down","3/5"
"AGGF1","down","up","down","up","down",5,3,"down","3/5"
"AGK","up","up","down","up","up",5,4,"up","4/5"
"AGL","up","up","up","up","up",5,5,"up","5/5"
"AGMAT","up","down","down","up","down",5,3,"down","3/5"
"AGMO","down",NA,NA,NA,NA,1,1,"down","1/1"
"AGO1","up","up","up","down","down",5,3,"up","3/5"
"AGO2","down","down","up","up","up",5,3,"up","3/5"
"AGO3","down","up","up","down","up",5,3,"up","3/5"
"AGO4","up","up","down","up","up",5,4,"up","4/5"
"AGPAT1","up","down","up","down","down",5,3,"down","3/5"
"AGPAT2","up","down","up","up","down",5,3,"up","3/5"
"AGPAT3","up","down","up","down","down",5,3,"down","3/5"
"AGPAT4","down","down","down","down","up",5,4,"down","4/5"
"AGPAT4-IT1","down","down","down","down","up",5,4,"down","4/5"
"AGPAT5","up","up","up","up","up",5,5,"up","5/5"
"AGPS","down","up","up","up","up",5,4,"up","4/5"
"AGR2","up","down","up","up","down",5,3,"up","3/5"
"AGR3","up","up","up","up","down",5,4,"up","4/5"
"AGRN","up","down","up","down","down",5,3,"down","3/5"
"AGRP","up","up","up","down","down",5,3,"up","3/5"
