"gene_symbol","z","p","fdr","logfc_GSE104645","p_GSE104645","dir_GSE104645","logfc_GSE28702","p_GSE28702","dir_GSE28702","logfc_GSE72970","p_GSE72970","dir_GSE72970","logfc_GSE69657","p_GSE69657","dir_GSE69657","logfc_GSE39582","p_GSE39582","dir_GSE39582","n_observed","dir_up","dir_down","pmax_dir","dir_consensus","meets_4of5"
"LDLRAD4",-4.79454388579109,1.63045369789797e-06,0.0202735917358341,-0.441942435847327,0.0217248136105116,"down",-0.186993812159872,0.0656957312538,"down",-0.0488860039768731,0.511722669090988,"down",-0.276891322495383,0.0401496982543458,"down",-0.169195860198792,0.000130629279115063,"down",5,0,5,5,"5/5",TRUE
"PRDM2",-4.7351873692853,2.18852817700009e-06,0.0202735917358341,-0.466784769911259,0.0265477799256921,"down",-0.224395752836747,0.102353004004136,"down",-0.19745094965948,0.0175101813646276,"down",-0.322850539343844,0.00210897988507898,"down",-0.0759041453682743,0.0456258292604535,"down",5,0,5,5,"5/5",TRUE
"PCGF5",-4.69774134818506,2.63054258931285e-06,0.0202735917358341,-0.36612388087254,0.0837520895133004,"down",-0.332486484380671,0.00116758214492238,"down",-0.272984602376828,0.0103779015618381,"down",0.335144756858732,0.244791154390371,"up",-0.29404920991866,0.00450666683444119,"down",5,1,4,4,"4/5",TRUE
"BAG5",4.51132934895352,6.44226014193373e-06,0.0372378741854124,0.439446214463169,0.150163515620504,"up",0.238796146544991,0.0385161887116215,"up",0.113109734399657,0.081914329902598,"up",0.151175425755315,0.263506704111489,"up",0.195291464422815,0.000871192734237517,"up",5,5,0,5,"5/5",TRUE
"APOL6",-4.42395206419164,9.69115321460309e-06,0.0410047952987332,-0.483645448112502,0.0405169529641623,"down",-0.189974918541495,0.121635868257256,"down",-0.350433348327162,0.097060874433324,"down",-0.493241384060892,0.0322830347001247,"down",-0.394420527086068,0.00754185556564195,"down",5,0,5,5,"5/5",TRUE
"STON2",4.35705813341651,1.3182226478989e-05,0.0410047952987332,0.275178078188635,0.232968669505077,"up",0.293398148235409,0.0985076165537917,"up",0.161061810246175,0.0075539099637273,"up",0.272825024047796,0.0235030018938492,"up",0.277270174391334,0.0240428806088596,"up",5,5,0,5,"5/5",TRUE
"WDFY3",4.34357053249111,1.40185441129676e-05,0.0410047952987332,0.232141576060404,0.217611940523168,"up",0.277588007282075,0.00902594748572171,"up",0.157679924448782,0.0629468327034041,"up",0.146496132597632,0.122042441965258,"up",0.245552833918188,0.0113926293523872,"up",5,5,0,5,"5/5",TRUE
"SLC25A28",-4.32967798760804,1.49327536196665e-05,0.0410047952987332,-0.146948896926565,0.253319691321243,"down",-0.300011441590198,0.0315374028701617,"down",-0.0519289579521718,0.451815559262082,"down",-0.364355633787681,0.0160474158972896,"down",-0.233374271068625,0.000459885238002344,"down",5,0,5,5,"5/5",TRUE
"KIAA1257",-4.31498486386173,1.59613839232126e-05,0.0410047952987332,-0.350794487252681,0.126000068467514,"down",-0.501918178736648,0.000209226649140531,"down",-0.0706648384948081,0.0565367381715737,"down",-0.0831380589198516,0.191295981583973,"down",-0.138169117613168,0.129934618599012,"down",5,0,5,5,"5/5",TRUE
