"Arm","k","C_train","C_test"
"Pathway",10,0.667337040104105,0.576719576719577
"Gene",15,0.788832367206909,0.458553791887125
"Pathway",15,0.697267242399148,0.573192239858907
"Gene",20,0.794984029338696,0.485008818342152
"Pathway",20,0.713356204897669,0.603174603174603
"Gene",30,0.826570448361528,0.472663139329806
"Pathway",30,0.749792972909026,0.506172839506173
"Gene",50,0.851058795693836,0.430335097001764
"Pathway",50,0.77972317520407,0.525573192239859
"Gene",2,0.672381399718178,0.589318600368324
"Pathway",2,0.600399248473462,0.607734806629834
"Gene",3,0.684593705965242,0.537753222836096
"Pathway",3,0.601808360732738,0.604051565377532
"Gene",5,0.722992015030531,0.602209944751381
"Pathway",5,0.627407233442931,0.664825046040516
"Gene",7,0.755049318929075,0.604051565377532
"Pathway",7,0.625410991075622,0.705340699815838
"Gene",10,0.77372005636449,0.543278084714549
"Pathway",10,0.653006106153123,0.646408839779006
"Gene",15,0.809534992954439,0.561694290976059
"Pathway",15,0.660873649600752,0.688766114180479
"Gene",20,0.83419445749178,0.587476979742173
"Pathway",20,0.683889149835604,0.716390423572744
