"gene_symbol","logfc_GSE104645","pval_GSE104645","dir_GSE104645","logfc_GSE28702","pval_GSE28702","dir_GSE28702","logfc_GSE72970","pval_GSE72970","dir_GSE72970","logfc_GSE69657","pval_GSE69657","dir_GSE69657","logfc_GSE39582","pval_GSE39582","dir_GSE39582","n_cohorts","n_up","n_down","direction_consensus","consensus_frac","fisher_p","stouffer_z","stouffer_p","fisher_fdr","stouffer_fdr","mean_logfc"
"PCSK6",0.876503339740218,3.73969177862207e-05,"up",18.2371268790843,0.136700701287764,"up",-0.288807965992912,0.315984171699469,"down",-7.33240120663649,0.501966112764722,"down",0.0707929325000431,0.0433580267282823,"up",5,3,2,"up",0.6,0.000162565366537699,3.01763034468722,0.00254759454894815,0.0329297335283119,0.0811391663706756,5.36112646479079
"POP1",0.726565970873038,0.000368512641898673,"up",6.20687374781354,0.449458903779422,"up",0.32705460600263,0.093189104998973,"up",10.926814479638,0.513233620142108,"up",-0.172006273375169,0.141467551267048,"down",5,4,1,"up",0.8,0.00224781123393451,2.12588937635763,0.0335124716736037,0.0722452259382886,0.232306278712511,3.67186301554048
"XPOT",-0.717194909773778,0.000567909820193521,"down",83.5832047440633,0.0115895976905009,"up",0.341835704115705,0.0702443592055304,"up",156.908086726998,0.31795414566359,"up",0.120400330729254,0.229471655997214,"up",5,4,1,"up",0.8,0.000157389951223308,1.20768540085813,0.227168295671541,0.0329297335283119,0.549997820394677,48.334144483136
"BHMT2",-0.666661181418098,0.000896711115973989,"down",11.1705118647412,0.0348865469159225,"up",-0.344733054157693,0.106131194146807,"down",-44.4281598793363,0.0543684321389176,"down",0.115300251794607,0.268646016701957,"up",5,2,3,"down",0.6,0.000208917907721856,-1.34300755886364,0.179269526265406,0.0348492850327522,0.496013945915514,11.3450732462896
"CDC14B",-0.493800437499969,0.000977460032668691,"down",-0.836088352364159,0.247216480199653,"down",-0.20355131031849,0.043022260291587,"down",98.0487933634991,0.0582178471917224,"up",0.0599721045907255,0.125128052658797,"up",5,2,3,"down",0.6,0.000295180648148689,-1.68086164989478,0.0927897905155521,0.0381650356370984,0.365751296233332,19.9284411136545
"GTF2I",-0.512350341679154,0.00124340717085399,"down",-11.4577087980493,0.543842128694911,"down",-0.171084609550376,0.552520591710401,"down",4.6329834087481,0.742899062723818,"up",-0.0320645698554829,0.768808759563795,"down",5,1,4,"down",0.8,0.0764986449283083,-2.13633054071598,0.0326524812181673,0.268785199987124,0.229925559938081,3.36123834557648
"GPR143",-0.742685193226085,0.0012815420897597,"down",3.78485579946965,0.419527082823671,"up",-0.285372894284939,0.364498593005269,"down",43.3238552036199,0.0307840341079779,"up",-0.121666723894479,0.523155813033278,"down",5,2,3,"down",0.6,0.0047498641932597,-1.46969276049325,0.141644984332696,0.0936876075796324,0.446177448048819,9.65168716289901
"FLCN",-0.605704509705832,0.00166641699436193,"down",9.66583227418385,0.240968419757364,"up",0.237235449136667,0.0635104987774831,"up",-6.68007918552035,0.144077024676665,"down",-0.0683448150795644,0.1370815023024,"down",5,2,3,"down",0.6,0.00124483233681622,-1.28426839570638,0.199048061021237,0.0593883500241735,0.518335736205447,3.45143924672525
"ADSSL1",0.432813172498978,0.00201501471948073,"up",6.02553536228536,0.602947469090129,"up",-0.206338148529147,0.179625403842224,"down",-69.3248740573152,0.0366119721048514,"down",-0.123580314421449,0.00718118182489733,"down",5,2,3,"down",0.6,0.000238096776944214,-1.02564675287817,0.305058121434452,0.0365426812532946,0.619129082744445,15.22262821101
"KLK10",0.650095852949222,0.00208555994627072,"up",-86.5356947784868,0.584166566889472,"down",0.289515498092302,0.204863025975095,"up",440.039266214178,0.28796829466898,"up",0.628270673170695,0.0599568334034842,"up",5,4,1,"up",0.8,0.00592425637127571,3.16514304329609,0.00155006726284653,0.101471299132472,0.067423567731335,105.628568603375
