"gene_symbol","dir_GSE104645","dir_GSE28702","dir_GSE72970","dir_GSE69657","dir_GSE39582"
"ZWINT","down","down","up","up","down"
"EXOC5","down","up","up","up","up"
"RPL7","up","up","down","up","up"
"PLEKHB1","up","down","down","up","down"
"RGP1","down","down","up","down","down"
"SERPINA4","up","up","up","up","down"
"TBL1XR1","down","up","up","up","up"
"GCHFR","up","up","up","up","down"
"UQCC3","up",NA,NA,NA,NA
"FAM71E2","up","up","down","down","down"
"INTS3","down","up","down","down","down"
"RBM10","down","down","up","up","down"
"GRIA3","down","up","up","down","down"
"PRRT3","up","up","down","down","down"
"ERCC6L","down","down","up","up","down"
"VANGL1","down","down","up","up","up"
"POLG2","down","up","up","up","down"
"KCNQ4","up","down","down","down","down"
"MFSD13A","up",NA,NA,NA,NA
"MYBL2","up","down","down","down","down"
"TBR1","up","up","down","down","down"
"COL5A1","up","down","down","down","up"
"COL23A1","up","up","down","down","up"
"FAM45A","up","up","down","down","up"
"TECR","up","down","down","down","down"
"GABPB2","down","up","up","up","up"
"OXCT2","up","down","down","down","down"
"LMAN1","down","up","up","up","up"
"KCNH8","down","down","up","up","down"
"RNF41","up","up","up","up","down"
"PDE4A","up","down","down","up","down"
"RCN1","down","up","up","up","up"
"BRD7P3","down","up","down","down","up"
"ZFP57","up","down","down","up","down"
"DOCK4","down","down","up","down","up"
"CDO1","down","up","down","down","down"
"NPLOC4","down","up","up","down","up"
"APCS","up","up","down","up","down"
"CD177","down","up","down","down","down"
"KCTD9","down","up","up","down","up"
"SSBP1","up","down","down","up","up"
"CHURC1","down","up","up","down","up"
"MED8","up","up","down","down","down"
"KIAA1033","down","up","up","up","up"
"LANCL3","up","up","up","up","up"
"NDUFB3","up","up","down","up","up"
"CLDN19","up","down","down","down","down"
"ZNF12","down","up","down","up","up"
"ZG16","up","up","down","down","down"
"NEIL3","up","down","up","down","down"
"METRNL","up","down","down","down","down"
"CEP95","down","up","up","up","up"
"SLC35F2","down","up","down","up","down"
"CACTIN","down","down","down","down","down"
"PPP4R3B","down",NA,NA,NA,NA
"IL22RA2","up","down","up","down","down"
"MIB1","up","up","up","up","up"
"GPM6B","down","down","down","down","up"
"CEP104","down","up","up","up","up"
"OTUD4","down","down","up","up","up"
"FERMT3","up","up","down","down","down"
"ZER1","down","down","down","down","down"
"PSG6","down","down","down","up","down"
"C17orf78","up","down","up","up","up"
"HIST1H2BA","up","down","down","up","down"
"DHX34","up","down","down","up","down"
"DKFZP434A062","up","down","down","up","down"
"CAMK1","down","down","up","down","up"
"THADA","up","down","down","down","up"
"DECR1","up","down","down","up","down"
"TRNP1","up","down","down","down","up"
"TXLNG","down","up","down","up","up"
"SENP2","down","up","up","up","down"
"BPIFB3","up",NA,NA,NA,NA
"LOC100129406","down","up","up","down","up"
"PKI55","down","up","up","down","down"
"PTBP1","down","down","down","up","down"
"LPCAT3","down","down","down","down","down"
"MKRN3","up","up","down","up","down"
"LRP12","down","up","up","down","up"
"FAAP24","down",NA,NA,NA,NA
"ALDOA","up","down","down","down","down"
"CALB2","up","down","up","down","up"
"C14orf28","down","up","up","down","up"
"OR1C1","down","down","up","down","up"
"B4GALT6","down","down","up","up","down"
"CFAP65","up",NA,NA,NA,NA
"NDUFV1","up","down","down","up","down"
"BNIP3","down","up","down","down","up"
"LRRC7","down","down","up","down","up"
"CCDC134","up","down","up","up","down"
"PLA1A","down","up","up","down","up"
"TFF3","up","down","down","up","down"
"MAEL","up","down","up","up","up"
"GPATCH2L","down","up","up","down","up"
"CDA","up","up","up","down","up"
"USP34","down","up","down","up","up"
"NRGN","up","down","up","up","up"
"SASH3","down","down","up","down","down"
"BTC","down","up","down","up","down"
"FCHSD2","down","down","up","down","up"
"CYP2S1","up","down","down","up","down"
"ATOX1","up","down","down","down","down"
"RAB18","down","down","up","down","up"
"HNRNPH1","down","up","up","up","down"
"CHRD","up","up","down","down","down"
"RSPH4A","down","down","down","up","up"
"ZNF764","up","down","up","up","up"
"CASD1","down","down","up","down","up"
"VDR","up","down","down","up","down"
"MTHFD1L","up","down","up","up","down"
"TCF19","down","down","up","up","down"
"YARS","up","down","up","down","down"
"LIX1L","up","up","down","down","up"
"SLC12A1","up","down","up","down","up"
"MSN","up","up","down","down","up"
"UGT2B4","up","up","down","down","down"
"CDC42BPA","down","down","down","down","up"
"ATMIN","down","down","up","up","down"
"SDSL","up","up","up","up","down"
"PLK1","up","down","down","up","down"
"SEC24C","down","down","up","down","down"
"STRIP2","down","up","up","up","down"
"SOAT1","down","up","up","down","down"
"CCDC149","down","down","up","down","up"
"SNX31","up","up","up","up","down"
"CPSF6","down","up","up","up","down"
"PGC","up","up","down","up","up"
"TUBB1","down","down","up","up","down"
"SLC38A7","down","down","up","down","down"
"GLT8D1","up","down","up","down","up"
"AP1AR","down","up","up","up","down"
"TTL","up","down","up","down","up"
"ZBTB20","down","up","down","down","up"
"TAF2","down","up","down","up","up"
"RPL18","up","down","down","up","down"
"PDIA6","up","up","up","up","down"
"MKI67","down","down","up","up","down"
"NIPBL","down","up","up","up","up"
"TGFBRAP1","down","down","down","up","down"
"KCNE2","up","down","down","up","up"
"LINC01304","up","down","up","down","down"
"ZFYVE26","down","up","up","down","up"
"WLS","down","down","up","down","up"
"ADAMTS4","up","up","down","up","down"
"MMD","down","up","up","down","up"
"C16orf89","up","down","down","down","down"
"C10orf2","up","up","up","up","down"
"RBM4","down","up","up","down","up"
"BMP1","up","down","up","up","down"
"KIF18A","down","down","up","up","up"
"ANKLE2","up","up","up","up","down"
"CYBA","up","down","down","down","down"
"CCDC28A","down","up","down","up","up"
"NEK1","down","up","up","up","up"
"NQO1","down","down","up","up","up"
"LRRK1","up","up","down","up","up"
"NTMT1","up","up","down","down","down"
"GMFG","up","down","up","down","down"
"SCARNA17","up","down","down","up","down"
"NDUFB9","up","up","down","up","down"
"XDH","up","down","up","up","up"
"NOB1","up","down","down","up","down"
"FAM24B","down","up","up","up","down"
"ARHGAP20","up","down","up","down","up"
"RNF32","down","down","up","up","down"
"TTC38","up","down","down","down","down"
"LOC100131581","down","down","up","up","up"
"TMEM185A","down","up","up","down","down"
"SOX10","down","down","down","down","up"
"PPARG","up","up","down","up","down"
"BCAT1","up","down","up","down","up"
"LMTK2","down","down","down","up","down"
"MTFR2","up","down","down","up","down"
"KAZALD1","up","down","down","down","down"
"SLC37A3","down","down","down","up","up"
"FAM131A","down","down","down","down","down"
"TEX15","up","down","up","up","up"
"PADI4","up","up","up","down","down"
"GPR3","down","down","down","down","down"
"PLEKHM1","down","down","down","down","up"
"MRPL24","up","up","down","up","up"
"TDGF1","down",NA,NA,NA,NA
"HMGB1","up","down","down","up","up"
"ALDH1A3","up","down","down","down","down"
"USP46-AS1","down","up","up","up","down"
"USP36","down","up","up","up","up"
"CEBPA-AS1","down","up","down","up","down"
"SLC4A3","up","up","down","down","up"
"TIGIT","down","down","up","down","down"
"C8orf88","up","down","down","down","up"
"AP3M2","down","up","up","up","up"
"FKBP14","down","up","up","down","down"
"QTRT2","down",NA,NA,NA,NA
"DCAF12L1","up","up","up","up","down"
"RSAD2","down","up","down","down","down"
"GALNT11","down","down","down","down","up"
"GPR4","up","up","up","down","up"
"RTN3","up","up","up","up","down"
"FBXO11","down","down","down","down","up"
"FARSB","up","down","down","up","down"
"UCHL5","down","down","down","up","down"
"PHF10","down","up","up","up","up"
"SLC17A6","down","down","up","up","up"
"VPS45","down","up","down","down","up"
"QSOX1","up","down","up","down","up"
"TIA1","down","up","up","down","up"
"SLC17A1","up","up","up","down","down"
"ADAMTSL5","up","up","down","up","down"
"LYSMD4","down","up","up","up","down"
"RPAP3","down","up","up","up","up"
"ZDHHC22","up","down","down","up","up"
"ASAP2","down","up","up","up","up"
"ARID3A","down","up","down","up","down"
"KRT37","down","up","down","down","down"
"C8orf37","down","up","up","up","up"
"CBLC","up","down","down","up","down"
"ITPKB","down","down","down","down","up"
"FBXO30","down","up","up","down","up"
"KIZ","down","down","down","down","up"
"IFT57","down","up","up","down","down"
"LY75","down","up","up","up","down"
"DNAJC25","down",NA,NA,NA,NA
"H2AFZ","up","down","up","up","down"
"RASEF","down","down","up","up","up"
"CD1A","up","down","up","up","down"
"CDKAL1","up","up","down","down","up"
"OMG","down",NA,NA,NA,NA
"FAM21EP","down",NA,NA,NA,NA
"GABRB3","down","down","up","down","down"
"CIAO1","down","up","up","up","down"
"LMAN2","up","down","up","up","down"
"CLSPN","up","down","down","down","down"
"GABARAPL1","down","down","down","down","down"
"ACTR3B","down","down","up","up","down"
"DLG3","up","down","up","up","down"
"RBM17","down","down","up","up","up"
"LPCAT4","up","up","up","up","down"
"SENP5","up","down","up","up","down"
"ZNF778","up","down","up","down","up"
"KLHL7","down","up","up","down","down"
"LHPP","down","down","down","down","down"
"NUDT1","up","down","down","up","down"
"NCBP2","up","up","down","up","down"
"IQCG","up","down","up","down","down"
"CNTLN","up","up","up","down","down"
"TCIRG1","up","down","up","down","up"
"SMC1B","down","down","up","up","down"
"GGNBP2","up","up","up","up","up"
"GCLC","down","up","up","up","up"
"SRSF10","down","up","up","up","up"
"TRIM53AP","up",NA,NA,NA,NA
"NMU","up","up","up","up","up"
"AHR","down","down","up","down","up"
"IL1RN","up","down","up","up","up"
"ATP5A1","up","down","down","up","down"
"C10orf88","down","up","up","up","up"
"ETV5","down","up","up","up","up"
"SLX1A","up",NA,NA,NA,NA
"JAKMIP1","down","down","down","down","down"
"KLHL11","down","down","down","down","up"
"CRTC3","down","up","down","down","up"
"ZNF428","up","up","up","down","down"
"STIP1","up","down","down","up","down"
"MNDA","up","up","up","down","down"
"MIR600HG","down",NA,NA,NA,NA
"SPRED2","down","up","down","up","down"
"CLEC4E","up","up","up","up","down"
"CHI3L2","up","down","up","down","up"
"TRPM7","down","up","up","up","up"
"DCAF1","up",NA,NA,NA,NA
"SVIL","down","down","down","down","down"
"CDC42BPB","up","up","up","down","up"
"MFN1","down","down","down","up","down"
"ANXA4","up","up","down","up","down"
"CTBP1","down","down","up","up","up"
"BEND7","down","down","down","up","down"
"RWDD3","up","up","up","up","up"
"TMEM86A","down","down","down","up","down"
"MPRIP","up","down","up","down","down"
"EGFL7","up","up","down","down","down"
"PRDM9","up","up","down","up","up"
"TCF3","down","down","down","down","down"
"LINC00309","up","down","up","up","down"
"WTAP","down","down","down","up","down"
"PRX","up","down","down","down","down"
"CCRL2","down","down","down","down","down"
"HJURP","down","down","up","up","down"
"GTPBP6","up","down","up","up","up"
"CRMP1","down","up","down","down","up"
"PDIA2","up","up","down","up","down"
"UPRT","down","up","up","up","up"
"USP15","down",NA,NA,NA,NA
"ZNRF2","down","down","down","up","down"
"ZNF248","down","up","up","down","up"
"LOC284912","up",NA,NA,NA,NA
"PLAUR","up","down","up","down","down"
"CLDN1","up","down","down","down","up"
"FER1L6-AS2","up",NA,NA,NA,NA
"CCDC142","up","up","down","down","down"
"ASB2","down","down","down","down","down"
"ADPRHL1","up","down","down","up","down"
"FAM50B","up","down","down","up","up"
"ASPRV1","down","up","up","down","up"
"FXYD6","down","down","down","down","up"
"CYP4A11","up","up","down","down","down"
"SFTA1P","up","down","up","down","down"
"NPIPB5","up",NA,NA,NA,NA
"NOXO1","up","down","down","up","down"
"CCAR1","up","down","up","up","up"
"ARHGAP17","down","down","up","down","down"
"HHLA3","up","down","down","down","down"
"ZC3H8","up","up","down","up","up"
"LINC00269","up","down","down","down","down"
"TEX13A","up","down","down","down","down"
"CRLS1","up","up","up","up","down"
"GREB1","up","down","down","up","down"
"RANBP9","down","up","up","down","up"
"C1orf174","down","up","up","up","down"
"ENTPD7","up","down","up","up","down"
"PPP6C","down","up","up","down","down"
"MOV10L1","down","up","up","up","up"
"WDR26","down","up","up","down","up"
"KLHL17","up","up","up","down","down"
"GLS2","up","down","up","up","down"
"LOC730961","down","down","up","down","up"
"HOXB-AS3","down","down","up","down","up"
"CARD6","down","down","down","down","up"
"MPV17L","up","down","down","up","up"
"MITF","up","down","down","down","up"
"METTL7A","down","down","down","down","down"
"POTEE","down",NA,NA,NA,NA
"LINC00693","up",NA,NA,NA,NA
"POU2F1","down","down","down","up","down"
"OLFM4","up","down","down","up","up"
"IFNA16","down","up","down","down","down"
"METTL17","up","up","up","down","down"
"RNF168","up","down","up","down","up"
"NUAK2","down",NA,NA,NA,NA
"FAM124B","up","down","up","down","up"
"ZNF229","up","up","up","down","down"
"ESR1","up","up","down","down","down"
"CASP2","down","down","up","up","down"
"CNTNAP5","up","down","down","down","down"
"TMEM130","down","down","down","down","down"
"WDR53","up","down","down","down","down"
"ATP10B","down","down","down","down","down"
"ABHD10","down","up","up","up","down"
"SMPD1","down","down","down","down","down"
"PTGIS","down","up","down","down","up"
"ERCC5","down","down","down","up","up"
"ACAD9","up","down","up","down","down"
"ARFRP1","up","down","down","down","down"
"CCDC122","down","up","down","up","up"
"SMIM22","up","down","up","up","down"
"CIB1","up","down","up","up","down"
"WFDC5","up","down","down","up","down"
"ZSCAN21","down","up","up","down","up"
"THBS4","down","down","down","down","down"
"CCAT1","up",NA,NA,NA,NA
"CFI","up","up","up","up","up"
"ALS2CR11","up","down","up","up","down"
"SLTM","up","up","up","up","up"
"GJB1","up","down","down","up","up"
"ANKRD36","down","down","up","up","down"
"MYOT","down","down","down","down","up"
"GPX8","down","down","up","down","up"
"TRIM65","up","up","down","down","down"
"ADCK5","up","down","down","up","down"
"CACNB1","up","down","down","down","down"
"PPIF","up","down","down","up","down"
"TBC1D8","down","up","up","up","down"
"SLC52A3","up","down","down","up","down"
"LDLRAP1","up","down","down","down","down"
"BMPR1A","down","up","up","up","up"
"NT5DC3","up","down","down","down","down"
"SNX15","up","down","up","up","down"
"EDN3","down","down","down","up","down"
"GSTM4","down","down","up","up","down"
"ZNF680","down","up","down","up","down"
"RPS6KB1","up","up","up","up","down"
"SERPINA5","up","up","down","down","down"
"RAB2A","down","up","up","up","up"
"MBOAT4","down",NA,NA,NA,NA
"ANKFN1","up","down","down","down","down"
"LOC158402","down","up","up","up","up"
"PVR","down","down","down","down","down"
"FZD8","down",NA,NA,NA,NA
"MAP3K15","down","down","down","up","down"
"GHR","up","up","up","down","up"
"RNF43","down","up","down","up","up"
"MBD2","down","down","up","down","down"
"QRICH1","up","down","up","down","down"
"POLR3K","up","down","up","up","down"
"SGSM3","up","down","up","down","down"
"MCF2L-AS1","down","down","up","up","down"
"CAPN10","up","down","down","up","down"
"COPE","up","down","down","down","down"
"DCXR","up","down","up","up","down"
"TTYH2","up","up","down","down","down"
"SCRN1","down","down","down","down","up"
"HTR7P1","up","down","down","down","down"
"KLHL35","up","down","down","up","down"
"DIP2B","down","up","up","up","up"
"OSCAR","up","down","down","down","down"
"VPS37A","down","up","up","down","up"
"ACY1","up","down","down","down","down"
"MRPL43","down","up","down","down","down"
"SNIP1","down","up","up","up","down"
"PDE3A","down","up","down","down","down"
"DZANK1","down","up","down","down","up"
"RRAGD","down","up","up","down","up"
"SNORD114-3","up","down","down","down","up"
"BSG","up","down","down","down","down"
"WDR86","up","down","up","down","down"
"NUDT19","down","down","down","up","down"
"PCDHGA5","down",NA,NA,NA,NA
"LINC00578","down",NA,NA,NA,NA
"RUFY2","down","up","up","up","up"
"PHF5A","down","down","up","up","down"
"SPTBN4","down","down","down","up","down"
"KRTCAP2","up","down","up","up","up"
"NEURL2","down","up","down","down","down"
"ZNF528","down","down","up","up","up"
"TAF1L","down","up","up","up","up"
"C11orf58","up","up","down","down","down"
"SDR9C7","down","down","down","down","down"
"MYLK3","up","down","down","up","up"
"SLC35B3","down","up","down","up","down"
"IGF1","up","up","down","down","up"
"SNX17","up","down","down","down","down"
"LINC00690","up","down","up","down","down"
"SRP54-AS1","down",NA,NA,NA,NA
"RBMS3","down","up","down","down","up"
"PPP2R5D","up","down","down","up","down"
"HDHD2","up","up","down","up","up"
"CFAP73","up",NA,NA,NA,NA
"DOK3","up","down","up","up","down"
"LIAS","up","up","up","up","up"
"TMSB4Y","down","up","down","down","down"
"PBX1","down","down","down","down","up"
"JAK3","up","down","down","up","down"
"RIBC1","up","down","down","up","down"
"ZCCHC9","down","up","up","up","down"
"RIPK2","down","down","up","up","up"
"NIFK-AS1","up","up","down","down","up"
"PIP4K2A","up","down","up","down","down"
"MROH1","down","down","down","up","down"
"HSBP1","down","down","down","up","down"
"PDCL2","up","down","up","up","up"
"MICALL1","up","down","up","down","up"
"C3orf14","up","up","down","down","up"
"OXLD1","up","up","down","up","down"
"EGFL6","up","down","up","down","down"
"ATP11B","down","down","up","up","down"
"BAZ1A","down","down","up","up","up"
"SLC39A10","down","up","down","up","up"
"UBL5","up","down","down","down","down"
"ZNF28","down","up","up","down","down"
"LRRN2","down","down","down","down","down"
"PPWD1","down","up","up","up","up"
"ROPN1","up","down","down","up","down"
"TMEM54","up","down","down","up","down"
"SGIP1","down","down","up","down","up"
"CHRM2","down","up","up","down","down"
"AFAP1","down","down","up","down","up"
"CPEB3","up","up","down","up","down"
"C2CD2","up","down","down","down","up"
"COG7","down","down","down","down","down"
"PSMA8","up","down","up","up","down"
"PIGW","up","up","up","up","down"
"ATP23","up",NA,NA,NA,NA
"FAM96B","up","down","down","up","down"
"ACTN2","up","up","down","up","down"
"LINC00158","up","down","up","up","down"
"OLFM1","down","down","down","down","down"
"DHX40","up","up","up","up","down"
"KCNIP4","down","down","down","down","up"
"ATG4D","down","down","down","up","down"
"DNM1L","down","down","up","up","up"
"FAM172A","down","up","up","down","up"
"DAPK1","up","down","up","down","up"
"AP5S1","up","up","down","down","down"
"SEC22C","down","up","up","down","up"
"SIL1","up","down","down","down","up"
"ARC","up","down","down","up","up"
"FARS2","up","down","down","down","down"
"CDH6","down","up","down","down","up"
"TAS2R45","down","up","down","up","down"
"ZBTB32","up","down","up","up","down"
"TBX15","up","up","down","down","up"
"RPP25L","up","down","down","up","down"
"CDH10","up","down","up","up","up"
"FBXL6","up","down","down","up","down"
"FAM86C1","up","down","up","up","down"
"MON1B","down","down","up","up","down"
"AP4E1","down","down","down","up","up"
"ICE2","down","up","up","up","up"
"CASP4","down","up","up","down","up"
"CCDC53","down","down","up","up","up"
"SP140L","up","up","down","down","down"
"HIST1H3F","up","down","up","up","down"
"U2AF1L4","up","up","down","down","down"
"MSL2","down","up","up","up","down"
"ARL6IP6","down","up","up","up","down"
"AKR1C1","up","up","down","down","down"
"LINC00303","up",NA,NA,NA,NA
"B3GALT1","down","down","up","up","down"
"NEMP1","down",NA,NA,NA,NA
"URB1","up","down","up","down","up"
"COL5A3","up","down","up","down","up"
"SLC6A16","up","down","down","down","up"
"HIST1H3E","up","up","up","down","down"
"ATAD2B","up","down","down","up","up"
"MPZL1","down","down","up","up","down"
"IFT46","down","up","down","down","down"
"GPC6","down","down","down","down","up"
"ITPKA","up","down","up","up","down"
"SCOC-AS1","up","down","down","up","down"
"NTN1","down","down","down","down","down"
"SSNA1","up","down","down","down","down"
"TMEM202","up",NA,NA,NA,NA
"MNX1","down","down","up","up","down"
"KRT33B","down","down","up","up","down"
"SIX6","up","down","up","up","down"
"HSPB1","up","down","down","down","up"
"CAMSAP2","up","up","up","down","up"
"PRRC2B","down","down","up","up","up"
"SCYL2","down","up","up","up","down"
"NCEH1","down","up","up","down","down"
"KCNA7","up","down","up","down","down"
"PTGER4P2-CDK2AP2P2","up","down","down","up","down"
"TCTA","up","down","down","down","down"
"TADA2B","down","down","up","down","up"
"DDX60","down","down","down","up","down"
"EMCN","down","down","up","down","up"
"SPP2","up","up","down","down","down"
"LCMT2","down","up","down","up","up"
"EPPIN","up",NA,NA,NA,NA
"APEH","up","down","down","down","down"
"KCTD6","down","down","up","up","down"
"LOC100509780","down",NA,NA,NA,NA
"SHOX2","up","down","down","down","down"
"PRR34","down","down","down","up","down"
"CMTM8","up","down","up","up","down"
"FAM200B","down","up","up","down","up"
"KCNA1","up","down","up","up","up"
"HIST1H4I","up","down","down","up","down"
"ZNF623","down","up","up","up","up"
"RPUSD2","up","down","up","up","down"
"NSMCE2","up","down","down","down","down"
"LOC100129115","down",NA,NA,NA,NA
"PEX12","down","up","up","up","down"
"FADD","up","down","down","up","down"
"TCEB1","up","up","up","down","up"
"GYPC","up","down","down","down","down"
"GTF3C4","down","up","up","up","up"
"LAPTM5","down","down","up","down","down"
"WDFY3","up","up","up","up","up"
"NR2E3","up","down","down","up","up"
"C1QTNF6","up","up","down","down","down"
"RNF135","up","up","down","up","down"
"KCND3","down","down","down","down","up"
"ART3","up","down","up","up","up"
"MRPL2","up","down","down","down","down"
"FAM171B","up","down","up","up","up"
"MARCH1","down","up","down","down","down"
"JAM2","down","down","up","down","up"
"NKTR","down","up","up","up","up"
"NDRG4","down","up","down","down","up"
"GDF11","up","down","up","up","down"
"ROBO4","up","down","up","down","down"
"MRPL49","up","down","down","up","down"
"ZNF256","down","up","up","down","up"
"MYADM","up","down","up","down","up"
"PTGFR","up","up","up","down","down"
"STRADB","down","up","down","up","down"
"CDC20B","up","down","up","down","up"
"RRM1","down","down","up","up","down"
"CRX","up","down","down","down","down"
"NRIP2","down","down","down","down","up"
"C11orf74","down","up","down","up","up"
"TESMIN","up",NA,NA,NA,NA
"RPS6KA5","down","down","up","down","down"
"ETAA1","down","up","up","up","up"
"MTMR3","down","down","up","down","down"
"TAF3","down","down","up","down","up"
"LOC100288675","down","down","up","up","up"
"EIF3D","up","up","up","up","up"
"CTSC","up","down","up","down","up"
"ZNF493","down","down","down","up","up"
"MED20","down","up","down","up","down"
"GPC4","down","down","up","up","up"
"PUM1","down","up","down","up","up"
"SSB","up","up","down","up","up"
"C2orf49","down","up","up","up","up"
"ANKRD19P","down","down","down","down","up"
"ZNF706","down","down","up","up","up"
"WIPF1","down","down","up","down","down"
"VSNL1","up","down","up","up","down"
"MRPL30","down","up","down","up","down"
"LOC100506282","down","up","up","up","down"
"WDR37","down","down","up","up","down"
"ALAD","up","up","up","down","down"
"GUSBP11","down","down","down","up","down"
"VCY","up",NA,NA,NA,NA
"C9orf131","up","up","down","down","down"
"H2AFJ","up","down","up","down","down"
"SDK2","up","down","down","down","down"
"HIST1H3G","up","down","down","up","down"
"C2orf15","down","up","up","up","down"
"RHOC","up","down","up","down","down"
"SRSF8","down","down","up","up","down"
"P2RX2","up","down","down","up","down"
"ZSCAN20","down","down","up","down","down"
"MKNK2","up","down","down","down","down"
"RTFDC1","up","down","down","up","down"
"TYW5","down","up","down","up","up"
"MEP1B","up","down","up","up","down"
"TRABD","up","down","down","up","down"
"PVT1","up",NA,NA,NA,NA
"VAC14","up","down","down","down","down"
"F13B","up","up","down","up","down"
"CABLES1","up","down","up","down","up"
"LOC100127972","down","up","down","down","up"
"KLF8","down","down","down","down","up"
"ENTPD4","down","up","up","up","up"
"GPRASP2","down",NA,NA,NA,NA
"RPGRIP1L","up","up","up","up","up"
"TAF9B","down","up","up","down","up"
"SKA3","down","down","up","up","down"
"LRRC57","down","up","up","up","down"
"ZFYVE19","up","up","up","up","up"
"SLC12A2","down","down","down","up","down"
"ERCC6","down","up","up","up","up"
"FCRL4","down","down","up","down","down"
"LAMB4","up","down","down","down","down"
"WDR41","down","up","up","down","down"
"ASB1","down","up","up","down","down"
"ALDH16A1","up","down","down","down","down"
"CAMTA2","down","up","up","down","up"
"PCDHGA3","down","down","up","down","up"
"UGT3A1","up","up","down","down","down"
"SOX8","up","down","up","up","up"
"STAT1","down","down","down","down","down"
"EHBP1L1","up","down","down","down","up"
"TIFA","down","up","up","up","down"
"MARCH4","up","down","down","down","up"
"FUT3","up","down","down","up","down"
"NEURL4","up","up","down","up","down"
"MEX3C","up","down","up","down","up"
"DCLK3","up","up","up","down","down"
"ANKRD12","down","up","up","down","up"
"DEFA6","up","up","up","up","up"
"FAM207A","up","down","down","up","down"
"FAM127B","up","up","up","down","down"
"TMTC1","up","down","up","down","up"
"EDDM3B","up","down","down","down","up"
"IL3RA","down","down","down","down","down"
"LGALSL","down","down","down","up","up"
"FGF7","down","down","up","down","up"
"TCN2","up","up","down","down","down"
"TMED8","down","up","up","down","up"
"RHPN1-AS1","up","down","down","down","down"
"UNC5D","up","down","down","up","up"
"KIAA1551","down","up","up","up","up"
"ROBO2","down","up","up","down","up"
"MAGOHB","down","up","up","down","down"
"OTUB2","down","down","up","up","up"
"C12orf29","down","up","up","up","down"
"INTS6L","down",NA,NA,NA,NA
"UBR5-AS1","up",NA,NA,NA,NA
"C17orf97","down","up","up","up","down"
"EVA1A","down","up","down","down","down"
"TAS2R5","down","down","up","up","down"
"HSPB3","down","up","down","down","down"
"LGALS7","up",NA,NA,NA,NA
"TRIB3","up","down","up","up","down"
"RNASEH2C","up","up","down","up","down"
"CCDC65","down","down","down","down","up"
"CRNDE","down","down","up","up","down"
"ZNF154","up","up","up","down","down"
"COL2A1","up","down","up","down","down"
"PIFO","down","up","up","down","up"
"CES1","down",NA,NA,NA,NA
"PDGFRA","down","down","up","down","up"
"ZNF233","up","up","down","down","up"
"ALG1","up","down","up","up","down"
"SOCS5","down","up","up","down","up"
"EGLN1","down","down","up","down","down"
"MPV17","up","down","down","down","up"
"OSTF1","up","down","up","up","down"
"B3GNT9","down","down","down","down","down"
"SNHG17","down","down","down","down","down"
"FARP1","down","down","down","up","up"
"EEPD1","down","down","down","up","down"
"PNLIP","up","down","up","up","down"
"SULT2A1","down","up","down","down","up"
"SERPINA13P","up",NA,NA,NA,NA
"AMACR","down","down","up","up","down"
"KMT2C","down","up","up","up","up"
"SMG8","down","up","up","up","down"
"FAM86B3P","up","down","down","up","down"
"RAB7A","up","down","up","down","down"
"LOR","down","down","up","down","up"
"CLIC5","up","up","down","down","down"
"PCGF1","down","down","down","up","down"
"CD79B","up","down","down","down","down"
"CTR9","down","up","up","up","down"
"GSTP1","up","down","up","down","up"
"TTC9","up","up","up","up","up"
"WBSCR27","up","down","up","up","down"
"FAM46C","down","down","up","down","down"
"SYNM","down","down","down","down","up"
"SCAMP1","down","up","up","up","up"
"FAS","down","down","up","down","down"
"UHRF2","down","up","up","up","up"
"ERICH3","up","down","down","down","down"
"GPR137","up","down","down","up","down"
"MAN1C1","down","down","down","down","up"
"TMEM30A","down","up","up","up","up"
"MRPS27","down","up","up","up","down"
"KCNB1","up","down","down","down","up"
"IDE","up","up","up","up","up"
"NDUFB10","up","down","up","up","down"
"ATP13A3","down","up","up","up","up"
"ADARB2","up","down","down","up","down"
"TMEM132B","up","down","down","down","up"
"DLL3","up","down","up","down","down"
"FIGN","down","down","down","down","up"
"C5orf51","down","up","down","up","down"
"TMEM257","up","down","down","down","down"
"AFAP1L1","up","down","up","down","down"
"LRRC17","up","up","down","down","up"
"LY6K","up","down","down","down","down"
"KPTN","up","up","down","up","down"
"ASXL3","up","down","down","down","up"
"GABRB1","up","down","up","up","up"
"SHQ1","down","down","up","up","down"
"PLP1","up","down","down","down","down"
"TEF","down","down","up","down","down"
"HIST1H3D","up",NA,NA,NA,NA
"PAPPA2","down","down","up","up","down"
"DBIL5P","up","down","down","down","down"
"LOC646626","up","down","up","down","down"
"TLR10","down","down","up","down","down"
"LOC400684","down","up","down","up","up"
"S100A11","up","down","down","down","up"
"RGS3","down","down","up","down","up"
"FAM101B","up","down","up","down","up"
"DDHD2","down","up","up","down","up"
"STK4","down","down","down","up","up"
"SSSCA1","up","down","down","down","down"
"CYTL1","up","down","up","down","up"
"CREB5","down","down","down","up","up"
"ZMYM6","up","up","down","down","down"
"MASP1","up","down","down","down","down"
"IL20RA","down","down","down","up","down"
"SLC25A48","up","down","down","up","down"
"BOC","down","down","down","down","up"
"CEP162","down","up","up","up","up"
"MGA","down","up","down","down","up"
"NOX4","up","up","up","down","up"
"FADS2","down","down","down","down","down"
"MRAP2","up","down","up","up","up"
"TMEM55A","down","down","up","down","up"
"RBL2","down","up","up","up","down"
