"gene_symbol","dir_GSE104645","dir_GSE28702","dir_GSE72970","dir_GSE69657","dir_GSE39582"
"CYP3A4","down","up","down","up","down"
"FBXL3","down","down","down","up","up"
"XPA","down","down","up","down","up"
"ZNF343","up","up","up","down","down"
"DCLRE1C","down","up","up","down","up"
"STXBP4","down","up","up","down","up"
"C1QTNF7","down","down","down","down","up"
"FRA10AC1","down","up","up","down","up"
"DAAM1","down","up","down","down","up"
"PCDHB14","down","down","up","down","up"
"NAAA","down","down","down","up","down"
"PRDM2","down","down","down","down","down"
"GJB5","up","up","up","down","down"
"KRT14","up","down","up","down","down"
"TDRD9","up","down","up","down","up"
"SEC24A","down","up","up","up","up"
"SEMA4F","down","up","down","up","up"
"SVEP1","up","down","down","down","up"
"DARS","up","up","down","up","up"
"IFIT3","down","up","down","down","down"
"C2orf57","up","up","down","down","down"
"LOC101928731","down","down","down","down","up"
"LINC01551","up",NA,NA,NA,NA
"OAZ3","up","down","down","down","down"
"GPR132","up","down","down","down","down"
"MIA3","down","up","up","down","down"
"GNL2","up","up","down","down","down"
"LOC101927000","down",NA,NA,NA,NA
"LOC105371226","up",NA,NA,NA,NA
"SLC5A4","down","down","down","up","down"
"ADHFE1","down","up","down","down","down"
"WDR88","down","down","up","down","down"
"KYAT1","down",NA,NA,NA,NA
"ALDH1L1","up","up","down","up","down"
"FBXO9","down","up","up","up","up"
"NDUFA4L2","up","up","up","down","down"
"SSX2IP","down","up","up","down","down"
"METRN","up","down","down","up","down"
"DZIP3","down","up","up","up","up"
"ZNF107","down","up","up","up","up"
"KCNG1","down","down","down","down","down"
"CPLX2","down","down","down","down","up"
"ZMYM5","down","down","up","up","up"
"PYCRL","up","down","down","up","down"
"BMP8B","up","up","down","down","down"
"PRKD3","down","up","down","up","up"
"HBP1","down","up","down","down","up"
"HAVCR2","up","up","up","down","down"
"OR51A7","up",NA,NA,NA,NA
"CLDN14","up","down","up","down","down"
"CRIP1","up","up","up","down","down"
"TBC1D25","down","down","down","down","down"
"CCDC74B","down",NA,NA,NA,NA
"WBP11","down","up","up","up","down"
"LINC00115","down","up","up","up","up"
"C1orf204","up","up","down","down","up"
"LTN1","down","up","down","up","up"
"SFT2D3","down","down","down","up","down"
"BDP1","down","up","down","up","up"
"TREM2","up","down","down","down","down"
"ZNF563","down","up","up","down","up"
"VPS41","down","up","up","up","down"
"SPAG9","down","up","down","up","down"
"SC5D","down","up","up","up","down"
"ABCC2","down","up","down","up","down"
"TLCD1","up","up","up","up","down"
"FAM167A","up","down","up","up","down"
"GPR15","down","down","up","up","down"
"ZNF263","down",NA,NA,NA,NA
"CMAS","down","up","up","up","down"
"CLDN2","up","down","down","up","up"
"SRM","up","down","down","up","down"
"TSPAN14","up","down","up","up","down"
"ZNF235","down","up","up","up","up"
"PCNT","up","up","down","up","down"
"S1PR3","down","down","up","down","up"
"OSTCP1","down","up","down","down","down"
"RGS2","down","down","up","down","up"
"FHDC1","down","up","up","up","down"
"CSNK1A1","down","up","down","up","up"
"CCSER2","down","down","up","up","up"
"HNF1A-AS1","down",NA,NA,NA,NA
"AGO3","down","up","up","down","up"
"SNX29P2","down","up","down","down","down"
"SYT12","up","up","down","up","down"
"RRP1","up","down","down","down","down"
"OLAH","up","down","down","down","down"
"CDKN2B","down","up","down","down","down"
"GDAP1L1","down","down","down","up","down"
"CUL3","down","up","up","up","up"
"KIAA1324L","down","up","up","up","down"
"APLNR","up","down","down","down","up"
"SARS2","up","down","down","up","down"
"HID1","up","down","down","down","down"
"LINC00892","up","down","down","up","up"
"MAGEB4","up","down","up","down","up"
"ANAPC1","up",NA,NA,NA,NA
"CCNG2","down","down","up","up","up"
"PCSK1","down","up","up","down","up"
"FYN","down","down","up","down","up"
"FLJ30064","down","down","down","down","down"
"ZNF746","down","down","up","up","down"
"CABP7","up","up","up","up","down"
"YPEL5","down","down","down","down","up"
"WHSC1","down","up","up","up","down"
"OK/SW-CL.36","down","down","up","down","down"
"C3orf58","down","up","down","down","down"
"FAM3B","down","down","up","up","down"
"PTPRH","up","up","down","up","down"
"KHDRBS3","down","up","down","up","up"
"RTF1","down","down","up","up","up"
"BTNL9","up","down","down","down","up"
"CD276","up","down","down","down","up"
"HBA2","up",NA,NA,NA,NA
"SUN1","down","down","up","down","up"
"PDLIM3","down","up","down","down","up"
"ARHGAP33","down","up","down","up","down"
"PIK3R3","down","down","up","down","up"
"RTKN2","down","up","up","up","up"
"TBL1Y","up","down","up","up","down"
"YAP1","down","up","up","up","up"
"MROH6","up","up","down","down","up"
"NUDT9P1","down","down","down","up","down"
"TRMT13","down","up","up","up","up"
"FUT1","up","down","up","up","down"
"MSLN","up","up","up","up","up"
"KIAA0141","down","up","up","up","down"
"ZNF514","down","up","down","up","up"
"NFATC3","up","down","down","down","down"
"AGRN","up","down","down","down","down"
"SLC25A45","up","up","up","up","down"
"SEC23A","down","up","up","up","up"
"PLEC","up","down","down","up","up"
"MS4A3","up","down","up","up","down"
"IFI27L2","up","down","down","up","up"
"FAM71D","up","down","down","down","down"
"RANBP17","down","up","up","up","up"
"NDRG1","up","up","down","up","down"
"COL3A1","up","down","down","down","up"
"PNISR","down","up","up","up","up"
"F2RL2","down","down","up","down","down"
"HNRNPH2","down",NA,NA,NA,NA
"BICD1","down","up","down","down","up"
"TSPAN4","down","down","down","down","down"
"PCGF3","down","down","up","up","down"
"C5orf42","down","up","down","up","up"
"RBM8A","down","up","up","up","down"
"RHOV","up","down","down","up","down"
"LYPLAL1","down","up","down","down","up"
"NRXN3","down","up","up","down","up"
"RAB39B","up","up","up","down","down"
"PPHLN1","down","up","up","up","up"
"MPC2","down","down","down","up","down"
"NTF4","up",NA,NA,NA,NA
"NIPA1","up","up","up","up","up"
"PTPRZ1","down","up","up","down","up"
"USE1","up","down","down","down","down"
"EPG5","down","up","up","down","up"
"PLCL2","up","down","up","down","down"
"SPATA9","up","up","down","down","down"
"PPP1R12A","down","up","up","down","up"
"SP110","down","down","down","down","down"
"APOL6","down","up","up","down","down"
"ZSWIM1","up","up","down","up","up"
"CDC23","down","up","up","up","up"
"NDUFA10","down","up","down","down","down"
"USP47","down","up","up","up","up"
"SOHLH1","up","down","down","up","up"
"PP12708","down","up","up","down","down"
"TNFAIP8L3","down","up","up","down","up"
"ZNF423","down","down","up","down","up"
"SUSD3","down","down","down","down","down"
"NFE2","up","up","up","down","up"
"ATRX","down","up","up","up","up"
"PTEN","down","up","up","up","up"
"PLK2","up","up","up","down","up"
"ENPP6","up","down","down","up","up"
"CCL20","down","down","up","up","down"
"COA5","down","up","down","up","down"
"RUVBL1","up","down","down","up","down"
"CCND3","up","down","down","down","down"
"SMAD9","down","up","up","up","down"
"GUSBP3///SMA4","down",NA,NA,NA,NA
"SMCO3","down","up","down","up","down"
"BTBD3","down","down","up","up","up"
"ZFP64","down","down","down","up","down"
"RNASE1","up","up","down","down","down"
"FAM107B","down","up","up","up","up"
"C2orf88","down","up","down","down","down"
"TGDS","down","up","up","up","up"
"MAN1A2","down","down","up","up","up"
"TFAP2A","up","down","up","up","down"
"STK36","up","up","down","up","up"
"PTCH1","down","down","down","up","up"
"CA5BP1","up","down","up","up","up"
"ERICH2","down",NA,NA,NA,NA
"TMEM33","down","up","up","up","up"
"TBX18","down","down","down","down","down"
"COL16A1","up","up","down","down","up"
"TUBGCP4","down","down","up","up","down"
"ZNF766","down","up","up","up","up"
"NBN","down","up","down","up","up"
"ADO","down","up","up","up","down"
"ZBED4","down","up","up","up","down"
"PPP2R1B","down","down","up","up","down"
"RHOXF2B","down",NA,NA,NA,NA
"MMP23B","up",NA,NA,NA,NA
"CUL5","down","up","up","up","up"
"BOD1L1","down","up","up","up","up"
"VPS13D","down","up","down","up","up"
"ME1","up","up","up","down","up"
"ADCY5","down","down","down","down","down"
"WDR49","down","down","up","up","up"
"RHOF","up","down","up","up","down"
"FIBP","up","down","up","up","down"
"FLYWCH2","up","down","down","down","down"
"EDC3","up","up","up","down","down"
"CEL","down","down","down","down","up"
"CDC40","down","up","up","up","down"
"ZNF618","down","down","up","down","up"
"ANKRD49","down","up","down","up","up"
"CASC15","down","down","down","down","up"
"C11orf86","up","down","down","up","down"
"MFNG","down","down","down","down","down"
"PTPRE","up","down","up","down","down"
"ZFR","down","up","up","up","up"
"MRPS11","up","up","up","down","down"
"USF3","down",NA,NA,NA,NA
"KIF19","up","down","down","up","down"
"LOC286272","down","up","up","up","up"
"FAM218A","up","down","down","down","up"
"TNXB","down","up","down","up","up"
"HBA1","up",NA,NA,NA,NA
"DNMT3A","down","down","up","down","down"
"STYX","down","up","up","down","up"
"KIAA1524","down","up","up","up","down"
"SLC16A3","up",NA,NA,NA,NA
"GS1-124K5.11","down","up","down","up","down"
"AOC3","down","down","down","down","up"
"CWC22","down","up","down","up","up"
"PGAM1P4","up",NA,NA,NA,NA
"PLSCR4","down","up","down","down","up"
"STK4-AS1","up","up","up","down","down"
"BBIP1","down","up","down","down","up"
"C21orf91","up","down","up","down","up"
"ZNF407","down","down","up","down","up"
"ZNF17","down","up","down","up","down"
"FAM91A1","down","up","up","up","up"
"ACSL3","down","down","up","up","up"
"SHANK2","down","down","down","up","up"
"RNPEP","up","down","down","down","down"
"UPF3A","down","up","up","down","up"
"CDH15","up","up","down","down","down"
"COX5A","up","down","up","up","down"
"RCOR3","down","up","up","down","up"
"CEP70","up","up","up","up","up"
"IL1RAP","down","down","up","down","up"
"MBTPS2","down","up","up","up","up"
"SMURF2","down","up","up","up","up"
"SMG1P1","down",NA,NA,NA,NA
"ARHGAP24","up","up","up","down","up"
"RAD51D","down","up","up","up","down"
"RIPPLY1","up","down","up","up","up"
"EXOSC8","down","down","up","up","up"
"ZNF771","up","down","down","down","down"
"ADH5","down","down","up","down","up"
"KLF10","down","down","down","down","up"
"MTG1","up","down","up","up","down"
"CARS2","down","down","down","up","down"
"L3MBTL4","down","down","down","up","down"
"COL4A1","up","up","up","down","up"
"ZDHHC17","down","up","down","up","up"
"SLC14A1","down","up","down","down","up"
"ECHDC3","up","up","up","down","down"
"PRPF18","down","down","up","up","down"
"DMD","down","up","up","down","up"
"NFASC","down","up","down","down","down"
"OGN","down","down","down","down","up"
"RPS4Y1","down","down","up","up","down"
"REG3G","up","up","up","down","down"
"SAC3D1","up","down","up","up","down"
"SNTG1","up","down","down","up","up"
"TWSG1","down","down","up","down","up"
"TNRC6C","down","up","up","up","up"
"SYTL1","up","up","up","down","up"
"FOXJ2","down","down","down","down","up"
"EPDR1","down","up","down","up","up"
"FNDC5","up","down","down","down","down"
"CDKL2","down","down","up","up","down"
"COLQ","down","up","down","down","up"
"KIAA1217","down","down","down","up","up"
"ASZ1","up","down","down","up","down"
"SLC27A5","up","down","down","down","down"
"C19orf33","up","up","down","up","down"
"PGM5","down","down","down","down","down"
"SDR16C5","up","up","up","up","down"
"OPLAH","up","down","down","up","down"
"GPR18","down","down","up","down","down"
"TPK1","down","up","up","up","down"
"UBFD1","down","down","up","up","down"
"ZSCAN26","down","up","up","down","up"
"LOC100132005","down","up","down","up","up"
"FAM92A1","down","up","up","down","up"
"SORCS3","up","down","up","up","up"
"NPTX1","down","up","down","down","up"
"PODXL2","up","down","down","up","down"
"MRPS28","up","up","down","down","down"
"CD302","down",NA,NA,NA,NA
"LOC727820","down","down","down","down","up"
"HERC2P7","down","down","down","down","down"
"VAT1L","down","down","up","up","up"
"GALNT5","down","down","down","up","down"
"FZD1","up","up","up","down","up"
"RBM25","up","down","up","up","up"
"TUBA3C","up",NA,NA,NA,NA
