"gene_symbol","logfc_GSE104645","pval_GSE104645","dir_GSE104645","logfc_GSE28702","pval_GSE28702","dir_GSE28702","logfc_GSE72970","pval_GSE72970","dir_GSE72970","logfc_GSE69657","pval_GSE69657","dir_GSE69657","logfc_GSE39582","pval_GSE39582","dir_GSE39582","n_cohorts","n_up","n_down","direction_consensus","consensus_frac","fisher_p","stouffer_z","stouffer_p","fisher_fdr","stouffer_fdr","mean_logfc"
"LDLRAD4",-0.441942435847327,0.0217248136105116,"down",-3.50810881526104,0.0745009520078536,"down",-0.266347862292475,0.0392056257956026,"down",-95.1309886877827,0.0471984191440847,"down",-0.169195860198792,0.000130629279115063,"down",5,0,5,"down",1,4.35259988864139e-06,-5.4458121656762,5.15695345366868e-08,0.0134403763174535,0.000903343536479142,19.9033167322765
"WIPI2",-0.0713292221132897,0.467812901256558,"down",-88.3118800409302,0.00684290128413003,"down",-0.251198278224539,0.0177482015423142,"down",-3.86994570135746,0.0572252609095554,"down",-0.1572937516327,0.00277900735540059,"down",5,0,5,"down",1,5.56046561395178e-05,-4.74064286556228,2.13041168003918e-06,0.0264686700440626,0.0118675793937171,18.5323293988516
"BAG5",0.439446214463169,0.150163515620504,"up",9.76253582532219,0.0405093752274343,"up",0.784996051405149,0.0268552487521992,"up",86.4512322775264,0.326113585408644,"up",0.195291464422815,0.000871192734237517,"up",5,5,0,"up",1,0.000201905601586433,4.70285215927236,2.56552190157978e-06,0.0341641708583663,0.0118675793937171,19.5267003666279
"TCF3",-0.14783560211423,0.202828742175065,"down",-30.5969128160726,0.0162856396904946,"down",-0.377567013999301,0.0622267598255657,"down",-46.0639653092006,0.0417406701450668,"down",-0.263078339726222,0.00269191348617939,"down",5,0,5,"down",1,0.000116919307562376,-4.66538888097739,3.0803392171783e-06,0.031867272874476,0.0118675793937171,15.4898718162226
"ZNRF1",-0.539742846730813,0.00434279307004369,"down",-36.2104961149826,0.000342922151756066,"down",-0.161201718642181,0.211062503643611,"down",-11.9012647058824,0.17073510699891,"down",-0.114844574585681,0.120413202180369,"down",5,0,5,"down",1,4.25464801811189e-05,-4.59856827371244,4.25404307503938e-06,0.0256588003553825,0.0118675793937171,9.78550999216473
"DPP9",-0.146925913482655,0.534332940177395,"down",-18.6403516220282,0.0440416727279555,"down",-0.399420428772585,0.0343015270570027,"down",24.4889472096531,0.633046465464661,"up",-0.346929412611276,6.61444913579414e-06,"down",5,1,4,"down",0.8,2.5278505098308e-05,-4.56987197300625,4.88022251802384e-06,0.0202312447977099,0.0118675793937171,8.80451491730956
"PAPOLA",0.116582811048797,0.369765292765941,"up",276.864677463162,0.00832121300622349,"up",0.650553165124874,0.0118446101964593,"up",534.220757918552,0.0808495908529827,"up",0.180908548599236,0.0122279572059888,"up",5,5,0,"up",1,0.000165712070388754,4.55406279069951,5.26196385090626e-06,0.0329297335283119,0.0118675793937171,162.406695981297
"SLC25A28",-0.146948896926565,0.253319691321243,"down",-6.27704133817499,0.0423051681992148,"down",-0.16621030126046,0.187607933585385,"down",-62.0023514328809,0.0283252120064604,"down",-0.233374271068625,0.000459885238002344,"down",5,0,5,"down",1,0.000129065554969764,-4.50726275341041,6.56692927121082e-06,0.0320114624966098,0.0118675793937171,13.7651852480623
"FARP2",-0.366766917868811,0.09153038781008,"down",-35.2854594033276,0.137319739245659,"down",-0.468929254206482,0.00829618590513582,"down",-5.9971681749623,0.0297180664881989,"down",-0.162857934486541,0.022904417590024,"down",5,0,5,"down",1,0.000280748567888031,-4.49506336364175,6.95492336930871e-06,0.0381650356370984,0.0118675793937171,8.45623633697035
"FZD3",0.254229449565101,0.182582084757907,"up",23.0887693270644,0.019492642495921,"up",0.552929624171102,0.0278898282916185,"up",32.0084087481146,0.00917588589322928,"up",0.377763762969933,0.0314285050600293,"up",5,5,0,"up",1,0.000138393134448821,4.48843069813009,7.17497570796561e-06,0.0328110781283382,0.0118675793937171,11.256420182377
"KPNB1",0.135452600149303,0.464030783432462,"up",116.387016302632,0.000659529107155228,"up",0.39238175900206,0.0200376854394051,"up",291.088890648567,0.180362649188052,"up",0.156387216302759,0.0211204383257359,"up",5,5,0,"up",1,0.000117971559323942,4.48034117290095,7.45238187651353e-06,0.031867272874476,0.0118675793937171,81.6320257053306
"LOC441204",-0.129180882474687,0.379013290485173,"down",-1.94414045275177,0.0135140886374377,"down",-0.266431361302217,0.0114788737274088,"down",-3.24817797888386,0.0607436513063642,"down",-0.097186364703457,0.0209887711231857,"down",5,0,5,"down",1,0.000292851884903071,-4.40342941974459,1.0655295996419e-05,0.0381650356370984,0.0142092477106905,1.1370234080232
"FLT1",0.191668351318996,0.413404350041754,"up",19.6602734703973,0.0932947692889525,"up",0.545641924055427,0.0137672569175354,"up",10.2634607843137,0.394682638621195,"up",0.357858911480916,0.000684315723029113,"up",5,5,0,"up",1,0.000482133268568918,4.3915584966858,1.12541047607931e-05,0.0452306364868876,0.0142092477106905,6.20378068831327
"TRIP11",0.0849992363991418,0.735086428198508,"up",29.7842284930663,1.80776284939525e-05,"up",0.331037947270198,0.0416036898465923,"up",9.14049849170436,0.367064989703114,"up",0.192301407015341,0.02492158049575,"up",5,5,0,"up",1,3.49588247284584e-05,4.36692634064434,1.26007198277596e-05,0.0228397654892595,0.0142092477106905,7.90661311509107
"NFIX",-0.107333289000074,0.605040676401633,"down",-55.51635226145,0.0153909112534683,"down",-0.296180529504848,0.0323603809427892,"down",-382.580197586727,0.0244923918458273,"down",-0.119556562317284,0.00622738452141514,"down",5,0,5,"down",1,0.000200378969132265,-4.35585727618196,1.32547125255867e-05,0.0341641708583663,0.0142092477106905,87.7239240457998
"BRD3",-0.389338312627419,0.0193471091284352,"down",-40.5448824555363,0.336776369028472,"down",-0.358419878217905,0.024246372514935,"down",-84.9641757164403,0.533627370172175,"down",-0.105406447523102,0.00434531914480668,"down",5,0,5,"down",1,0.000980974407083606,-4.35061652869841,1.35755286446347e-05,0.0562270031304059,0.0142092477106905,25.272444562069
"CNPPD1",-0.143161998626849,0.303922383891333,"down",-40.8327460951821,0.179537470692731,"down",-0.517416341323045,0.00107368119481633,"down",-116.607806184012,0.411093797858614,"down",-0.171915009279845,0.00737175515541996,"down",5,0,5,"down",1,0.000567387337360554,-4.33988527767335,1.42557120247824e-05,0.0474942751417604,0.0142092477106905,31.6546091256848
"H6PD",-0.246902601648811,0.281564470432085,"down",-12.3979727589802,0.0618260920672191,"down",-0.392947479822795,0.00840895125879527,"down",-4.0827850678733,0.331586565298637,"down",-0.158232677614029,0.00622583152758966,"down",5,0,5,"down",1,0.000848806173853981,-4.32949051452683,1.49454707423347e-05,0.0548356464151311,0.0142092477106905,3.45576811718783
"DBT",0.288606088146023,0.15278193678801,"up",12.3087985161552,0.00351527069224305,"up",0.216613924550266,0.0900853692325133,"up",-484.574374057315,0.319904680396994,"down",0.336015090988245,0.000834361153025943,"up",5,4,1,"up",0.8,7.38636554735692e-05,4.32271307784687,1.54122113662796e-05,0.0303995890248001,0.0142092477106905,99.5448815354309
"ESRRB",-0.155874796952806,0.34484997519614,"down",-1.03935485810839,0.0961340505947579,"down",-0.226941881259451,0.0485213221076771,"down",-6.54508823529411,0.0149671237960931,"down",-0.0680565201530862,0.00404295954101258,"down",5,0,5,"down",1,0.000358195350318073,-4.29218151271501,1.76926221250341e-05,0.0402270983740437,0.0150327072223326,1.60706325835357
"HFE",-0.162353641610055,0.293161560583664,"down",-7.58158373284076,0.0461528131023424,"down",-0.312820771475183,0.00547541723818955,"down",-22.6050904977376,0.133342442740199,"down",-0.127074910251449,0.0248945655150286,"down",5,0,5,"down",1,0.000726518685325955,-4.28808834556508,1.80217418318767e-05,0.0530674517977219,0.0150327072223326,6.15778471078301
"TUBGCP5",0.192667644874955,0.350505419405686,"up",14.4146939847893,0.000406927341686101,"up",0.297256211283909,0.0207278730509603,"up",-10.5216153846154,0.450080933495697,"down",0.149010589947827,0.010103492136206,"up",5,4,1,"up",0.8,7.62574724686737e-05,4.26501007422649,1.99893182246584e-05,0.0303995890248001,0.0159160403336973,5.11504876310228
"TAOK2",-0.234709157209374,0.235555362010017,"down",-10.5064774062102,0.00598227982816778,"down",-0.214364832774513,0.0989529809018089,"down",-5.30100980392157,0.463474702990978,"down",-0.176637070168867,0.00501272469626803,"down",5,0,5,"down",1,0.000894434188846953,-4.23337229664056,2.30212930010154e-05,0.0556119861740575,0.0174467549484787,3.2866396540569
"HELZ2",0.15837421054677,0.512796402376273,"up",-10.8803195044988,0.00265978290732454,"down",-0.415086174165535,0.000623019545771883,"down",-7.48357767722474,0.238233168080592,"down",-0.148831808972631,0.0165175659174809,"down",5,1,4,"down",0.8,2.50598875341962e-05,-4.22001598075917,2.44285001296067e-05,0.0202312447977099,0.0174467549484787,3.8172378750817
"GGNBP2",0.263713589241571,0.201089962919696,"up",81.5338941893706,0.000338009707084657,"up",0.176713794114625,0.103320197135768,"up",83.885431372549,0.177359189298646,"up",0.15969945973259,0.0630538670824966,"up",5,5,0,"up",1,0.000303586836966163,4.21570645786747,2.4899747314721e-05,0.0381650356370984,0.0174467549484787,33.2038904810017
"CACTIN",-0.182602079259138,0.191152717895273,"down",-6.97441351503574,0.160602385919065,"down",-0.181107491938905,0.0960532599968828,"down",-5.08570060331825,0.437442626126379,"down",-0.190587252247822,0.000366629953892533,"down",5,0,5,"down",1,0.00118766053090737,-4.19435510122914,2.73649009470983e-05,0.0587436248008816,0.0184365757650123,2.52288218835997
