"Dataset","Sensitive","Resistant","n_pathways","sig_fdr05","top_pathway","top_delta","top_pval"
"GSE104645",66,47,44,0,"KEGG_HOMOLOGOUS_RECOMBINATION",0.0251,"9.06e-02"
"GSE28702",42,41,44,0,"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.0408,"2.42e-02"
"GSE72970",63,61,44,0,"HALLMARK_MTORC1_SIGNALING",0.0071,"2.9e-02"
"GSE69657",13,17,44,0,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-0.0567,"1.2e-02"
"GSE39582",119,45,44,0,"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0171,"6.11e-03"
