"pathway","dataset","n_sensitive","n_resistant","median_sensitive","median_resistant","delta","p_value","fdr","mean_rank_sensitive","significant"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450","GSE28702",42,41,0.0935985857418729,0.134413236102049,0.0408146503601763,0.0241779870686729,0.673663743761492,48.0487804878049,FALSE
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY","GSE28702",42,41,0.324779199852638,0.312648447589046,-0.0121307522635918,0.0529288784250446,0.673663743761492,36.8048780487805,FALSE
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","GSE28702",42,41,0.136734919432296,0.159335600611839,0.022600681179543,0.0587633711894253,0.673663743761492,47.0731707317073,FALSE
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY","GSE28702",42,41,0.223925146296113,0.211749624471349,-0.0121755218247645,0.061242158523772,0.673663743761492,36.9756097560976,FALSE
"KEGG_MAPK_SIGNALING_PATHWAY","GSE28702",42,41,0.193225719158776,0.186692656966723,-0.00653306219205227,0.120433955345751,0.747527856965041,37.8292682926829,FALSE
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES","GSE28702",42,41,0.203115279006843,0.205134678413018,0.0020193994061759,0.131704696846088,0.747527856965041,46.0487804878049,FALSE
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","GSE28702",42,41,0.451665953701119,0.4458067866376,-0.00585916706351847,0.146289267765776,0.747527856965041,38.0975609756098,FALSE
"HALLMARK_MYC_TARGETS_V2","GSE28702",42,41,0.487575250723406,0.466018674479164,-0.0215565762442423,0.154030235650582,0.747527856965041,38.1707317073171,FALSE
"KEGG_JAK_STAT_SIGNALING_PATHWAY","GSE28702",42,41,0.058427384832138,0.0510559335421771,-0.00737145128996085,0.182086892455567,0.747527856965041,38.4146341463415,FALSE
"KEGG_TGF_BETA_SIGNALING_PATHWAY","GSE28702",42,41,0.314753189785475,0.329737609005436,0.0149844192199616,0.185088664644335,0.747527856965041,45.5609756097561,FALSE
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE28702",42,41,0.479047766753352,0.45356881159961,-0.0254789551537423,0.197462137244515,0.747527856965041,38.5365853658537,FALSE
"HALLMARK_MTORC1_SIGNALING","GSE28702",42,41,0.646392250896669,0.63808115352905,-0.00831109736761892,0.203871233717739,0.747527856965041,38.5853658536585,FALSE
"KEGG_ABC_TRANSPORTERS","GSE28702",42,41,-0.056481899349371,-0.0477699906741182,0.00871190867525286,0.241836544094159,0.764559228225924,45.1463414634146,FALSE
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","GSE28702",42,41,0.295300234299298,0.286850504434483,-0.00844972986481457,0.256804730561962,0.764559228225924,38.9512195121951,FALSE
"HALLMARK_G2M_CHECKPOINT","GSE28702",42,41,0.517298540002685,0.498659374047918,-0.0186391659547669,0.260645191440656,0.764559228225924,38.9756097560976,FALSE
"KEGG_APOPTOSIS","GSE28702",42,41,0.300480140342538,0.294525274711858,-0.00595486563068037,0.309834853584421,0.779478066962916,39.2682926829268,FALSE
"HALLMARK_E2F_TARGETS","GSE28702",42,41,0.574880479566059,0.558100533108647,-0.0167799464574119,0.332032820810366,0.779478066962916,39.390243902439,FALSE
"KEGG_P53_SIGNALING_PATHWAY","GSE28702",42,41,0.436953735272265,0.433842942878355,-0.00311079239391016,0.336592801643077,0.779478066962916,39.4146341463415,FALSE
"HALLMARK_MYC_TARGETS_V1","GSE28702",42,41,0.812750853823266,0.806306644443426,-0.00644420937983958,0.336592801643077,0.779478066962916,39.4146341463415,FALSE
"HALLMARK_P53_PATHWAY","GSE28702",42,41,0.453373500955559,0.446251732172688,-0.00712176878287113,0.359993226267018,0.791985097787441,39.5365853658537,FALSE
"KEGG_COLORECTAL_CANCER","GSE28702",42,41,0.3961082845107,0.395046835904778,-0.00106144860592194,0.463428393490503,0.858356707659176,40.0243902439024,FALSE
"KEGG_NOTCH_SIGNALING_PATHWAY","GSE28702",42,41,0.404340441701127,0.396861669208563,-0.00747877249256468,0.469001286695468,0.858356707659176,40.0487804878049,FALSE
"HALLMARK_APOPTOSIS","GSE28702",42,41,0.4965565830674,0.495531186135691,-0.00102539693170928,0.469001286695468,0.858356707659176,40.0487804878049,FALSE
"KEGG_CELL_CYCLE","GSE28702",42,41,0.482373930832565,0.477865374819171,-0.00450855601339378,0.485940318440142,0.858356707659176,40.1219512195122,FALSE
"KEGG_WNT_SIGNALING_PATHWAY","GSE28702",42,41,0.279975489989271,0.277601437500845,-0.00237405248842543,0.497414294203911,0.858356707659176,40.1707317073171,FALSE
"HALLMARK_TGF_BETA_SIGNALING","GSE28702",42,41,0.550150772309834,0.552969801251707,0.00281902894187225,0.509030976501086,0.858356707659176,43.780487804878,FALSE
"HALLMARK_DNA_REPAIR","GSE28702",42,41,0.521065883017262,0.518749301271828,-0.00231658174543425,0.526718888790858,0.858356707659176,40.2926829268293,FALSE
"HALLMARK_ANGIOGENESIS","GSE28702",42,41,0.45744035139351,0.460990919571252,0.00355056817774185,0.556880438901245,0.8750978325591,43.5853658536585,FALSE
"KEGG_CHEMOKINE_SIGNALING_PATHWAY","GSE28702",42,41,0.207150726778877,0.205751205554363,-0.00139952122451417,0.632520292188468,0.898912078690385,40.7073170731707,FALSE
"KEGG_BASE_EXCISION_REPAIR","GSE28702",42,41,0.440414744823519,0.437644525301181,-0.00277021952233825,0.639016531162898,0.898912078690385,40.7317073170732,FALSE
"KEGG_NUCLEOTIDE_EXCISION_REPAIR","GSE28702",42,41,0.476547472494003,0.477809667253441,0.00126219475943867,0.658670427859408,0.898912078690385,43.1951219512195,FALSE
