"pathway","dataset","n_sensitive","n_resistant","median_sensitive","median_resistant","delta","p_value","fdr","mean_rank_sensitive","significant"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","GSE39582",119,45,0.329519130445316,0.346574486987355,0.0170553565420398,0.00610963980738299,0.162361675333047,99.0444444444445,FALSE
"HALLMARK_TGF_BETA_SIGNALING","GSE39582",119,45,0.509239741313753,0.529913292234576,0.0206735509208222,0.00738007615150216,0.162361675333047,98.6666666666667,FALSE
"KEGG_WNT_SIGNALING_PATHWAY","GSE39582",119,45,0.304721813270897,0.313553199528471,0.00883138625757396,0.014852276102834,0.217833382841566,97.2,FALSE
"KEGG_TGF_BETA_SIGNALING_PATHWAY","GSE39582",119,45,0.306559670794677,0.316462044275501,0.00990237348082346,0.0328616641851229,0.361478306036352,95.3777777777778,FALSE
"KEGG_COLORECTAL_CANCER","GSE39582",119,45,0.388151952991808,0.393253070064038,0.00510111707222916,0.0478173377220477,0.420792571954019,94.4444444444444,FALSE
"KEGG_MTOR_SIGNALING_PATHWAY","GSE39582",119,45,0.373077717237615,0.378572876330526,0.00549515909291098,0.0681207873171947,0.499552440326095,93.5111111111111,FALSE
"HALLMARK_ANGIOGENESIS","GSE39582",119,45,0.422096603013067,0.443692462141431,0.0215958591283643,0.118157759582266,0.695998099369787,91.9333333333333,FALSE
"KEGG_CHEMOKINE_SIGNALING_PATHWAY","GSE39582",119,45,0.280048222515009,0.264891301978404,-0.0151569205366049,0.142447854580658,0.695998099369787,73.6444444444444,FALSE
"KEGG_PATHWAYS_IN_CANCER","GSE39582",119,45,0.277443171230705,0.280213653712459,0.00277048248175416,0.148563383118286,0.695998099369787,91.2222222222222,FALSE
"KEGG_FOCAL_ADHESION","GSE39582",119,45,0.329402301791068,0.344378155491247,0.014975853700179,0.160293068789284,0.695998099369787,90.9777777777778,FALSE
"KEGG_BASE_EXCISION_REPAIR","GSE39582",119,45,0.608804558726246,0.59822269717909,-0.0105818615471553,0.19838790817657,0.695998099369787,74.7333333333333,FALSE
"HALLMARK_HYPOXIA","GSE39582",119,45,0.458179316384916,0.464990292147584,0.00681097576266798,0.214260600413556,0.695998099369787,90,FALSE
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GSE39582",119,45,0.414066023912932,0.427472587173816,0.0134065632608843,0.239754735002552,0.695998099369787,89.6,FALSE
"KEGG_ECM_RECEPTOR_INTERACTION","GSE39582",119,45,0.254475506381675,0.277529164693421,0.0230536583117454,0.253274225474032,0.695998099369787,89.4,FALSE
"HALLMARK_P53_PATHWAY","GSE39582",119,45,0.508794528930292,0.511094713618055,0.00230018468776338,0.254808532603929,0.695998099369787,89.3777777777778,FALSE
"HALLMARK_MYC_TARGETS_V2","GSE39582",119,45,0.591754798023759,0.579660901919795,-0.0120938961039632,0.256349292110505,0.695998099369787,75.6444444444444,FALSE
"KEGG_GLUTATHIONE_METABOLISM","GSE39582",119,45,0.598150928949836,0.598319535579318,0.000168606629482149,0.26890835657469,0.695998099369787,89.1777777777778,FALSE
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","GSE39582",119,45,0.281602127114789,0.270657487167498,-0.0109446399472912,0.291889211026933,0.713506960288059,76.1333333333333,FALSE
"KEGG_HOMOLOGOUS_RECOMBINATION","GSE39582",119,45,0.347424722914799,0.32749430777195,-0.0199304151428489,0.317936525760327,0.736274059655493,76.4666666666667,FALSE
"KEGG_P53_SIGNALING_PATHWAY","GSE39582",119,45,0.41066402330488,0.416203245106698,0.00553922180181809,0.362684957503352,0.772741691440148,88,FALSE
"HALLMARK_INFLAMMATORY_RESPONSE","GSE39582",119,45,0.265807364004383,0.261560403550062,-0.00424696045432088,0.388493631926484,0.772741691440148,77.2888888888889,FALSE
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450","GSE39582",119,45,0.0988264348853496,0.106357744308459,0.00753130942310917,0.404917906384148,0.772741691440148,87.5333333333333,FALSE
"HALLMARK_DNA_REPAIR","GSE39582",119,45,0.617249431319492,0.614330624035357,-0.00291880728413474,0.404917906384148,0.772741691440148,77.4666666666667,FALSE
"HALLMARK_MYC_TARGETS_V1","GSE39582",119,45,0.843617359032579,0.841140032115753,-0.00247732691682523,0.430318319765151,0.772741691440148,77.7333333333333,FALSE
"HALLMARK_E2F_TARGETS","GSE39582",119,45,0.641073247946333,0.63049892322649,-0.0105743247198428,0.441168973046239,0.772741691440148,77.8444444444444,FALSE
"HALLMARK_APOPTOSIS","GSE39582",119,45,0.518517622570468,0.529016647652713,0.0104990250822453,0.456620090396451,0.772741691440148,87,FALSE
"KEGG_JAK_STAT_SIGNALING_PATHWAY","GSE39582",119,45,0.0716846793348053,0.0672304269201571,-0.00445425241464813,0.502399859499645,0.818725696962384,78.4444444444444,FALSE
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","GSE39582",119,45,0.138105404652254,0.152848495116968,0.0147430904647136,0.565357852821184,0.830994710932782,85.9777777777778,FALSE
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE39582",119,45,0.480414867680011,0.498026213419254,0.0176113457392422,0.577886002887982,0.830994710932782,85.8666666666667,FALSE
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY","GSE39582",119,45,0.257778665679686,0.257257638197658,-0.000521027482027925,0.595641661386049,0.830994710932782,79.2888888888889,FALSE
"KEGG_NUCLEOTIDE_EXCISION_REPAIR","GSE39582",119,45,0.579365832996083,0.57672067775396,-0.00264515524212261,0.613642049762684,0.830994710932782,79.4444444444444,FALSE
"KEGG_CELL_CYCLE","GSE39582",119,45,0.501062514734853,0.499152849512703,-0.00190966522215003,0.618828752387506,0.830994710932782,79.4888888888889,FALSE
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES","GSE39582",119,45,0.23047035174702,0.222260619400633,-0.00820973234638767,0.642401595519997,0.830994710932782,79.6888888888889,FALSE
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","GSE39582",119,45,0.493849370443614,0.493141695720894,-0.000707674722720764,0.650341520843729,0.830994710932782,79.7555555555556,FALSE
"KEGG_MISMATCH_REPAIR","GSE39582",119,45,0.577549441332928,0.569673622759967,-0.00787581857296127,0.669021791595338,0.830994710932782,79.9111111111111,FALSE
"HALLMARK_G2M_CHECKPOINT","GSE39582",119,45,0.530784511036575,0.528690721112456,-0.00209378992411891,0.685198703673495,0.830994710932782,80.0444444444445,FALSE
"KEGG_MAPK_SIGNALING_PATHWAY","GSE39582",119,45,0.228186065494174,0.228162137100745,-2.39283934281853e-05,0.698791006920748,0.830994710932782,84.8444444444444,FALSE
"HALLMARK_MTORC1_SIGNALING","GSE39582",119,45,0.666503999507979,0.667744941932008,0.00124094242402895,0.729030807094656,0.844140934530654,80.4,FALSE
"KEGG_NOTCH_SIGNALING_PATHWAY","GSE39582",119,45,0.444864591649421,0.440324042354521,-0.00454054929490089,0.765316542497785,0.848041985701158,80.6888888888889,FALSE
"KEGG_ABC_TRANSPORTERS","GSE39582",119,45,-0.0226272174047752,-0.0290421955940922,-0.00641497818931692,0.770947259728325,0.848041985701158,84.2666666666667,FALSE
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY","GSE39582",119,45,0.355036617108367,0.359805914175993,0.00476929706762524,0.856698774941441,0.90355917579202,81.4,FALSE
"HALLMARK_GLYCOLYSIS","GSE39582",119,45,0.5026708722217,0.504118952605002,0.00144808038330191,0.86248830416511,0.90355917579202,83.5555555555556,FALSE
"KEGG_APOPTOSIS","GSE39582",119,45,0.358227932418588,0.361398577350298,0.00317064493170943,0.970602480996136,0.993174631716976,82.2666666666667,FALSE
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","GSE39582",119,45,0.754149158642325,0.75424162117929,9.24625369653764e-05,0.994119218570193,0.994119218570193,82.4444444444444,FALSE
