"pathway","n_cohorts","direction_consensus","direction_sign","n_sig_consistent","mean_delta","mean_rank","delta_GSE104645","delta_GSE28702","delta_GSE72970","delta_GSE69657","delta_GSE39582","pval_GSE104645","fdr_GSE104645","pval_GSE28702","fdr_GSE28702","pval_GSE72970","fdr_GSE72970","pval_GSE69657","fdr_GSE69657","pval_GSE39582","fdr_GSE39582"
"HALLMARK_INFLAMMATORY_RESPONSE",5,"3/5","Up_in_Resistant",0,-0.006,3,0.0101,0.0109,0.0043,-0.0513,-0.0042,"8.04e-01","8.04e-01","8.38e-01","8.38e-01","8.22e-01","8.22e-01","1.12e-01","1.12e-01","3.88e-01","3.88e-01"
"KEGG_APOPTOSIS",5,"3/5","Up_in_Resistant",0,0.0028,3,0.0125,-0.006,0.0045,-1e-04,0.0032,"8.09e-01","8.09e-01","3.1e-01","3.1e-01","8.73e-01","8.73e-01","4.27e-01","4.27e-01","9.71e-01","9.71e-01"
"KEGG_NOTCH_SIGNALING_PATHWAY",5,"3/5","Down_in_Resistant",0,-0.0063,3,0.0064,-0.0075,0.0018,-0.0277,-0.0045,"8.36e-01","8.36e-01","4.69e-01","4.69e-01","8.26e-01","8.26e-01","3.15e-01","3.15e-01","7.65e-01","7.65e-01"
"KEGG_MTOR_SIGNALING_PATHWAY",5,"3/5","Up_in_Resistant",0,0.0024,3,0.0243,0.0023,-0.003,-0.0171,0.0055,"8.41e-01","8.41e-01","6.85e-01","6.85e-01","6.86e-01","6.86e-01","5.97e-02","5.97e-02","6.81e-02","6.81e-02"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",5,"3/5","Down_in_Resistant",1,-0.0165,3,-0.0073,-0.0255,0.0117,-0.0792,0.0176,"8.54e-01","8.54e-01","1.97e-01","1.97e-01","7.3e-01","7.3e-01","2.38e-02","2.38e-02","5.78e-01","5.78e-01"
"KEGG_PATHWAYS_IN_CANCER",5,"4/5","Down_in_Resistant",0,-0.0041,3,-0.002,-0.0061,-0.0015,-0.0134,0.0028,"8.64e-01","8.64e-01","7.67e-01","7.67e-01","8.97e-01","8.97e-01","1.55e-01","1.55e-01","1.49e-01","1.49e-01"
"HALLMARK_E2F_TARGETS",5,"3/5","Up_in_Resistant",0,0.0133,3,0.0065,-0.0168,0.015,0.0723,-0.0106,"8.73e-01","8.73e-01","3.32e-01","3.32e-01","1.19e-01","1.19e-01","1.8e-01","1.8e-01","4.41e-01","4.41e-01"
"HALLMARK_MTORC1_SIGNALING",5,"4/5","Up_in_Resistant",1,0.0091,3,0.0134,-0.0083,0.0071,0.0319,0.0012,"8.77e-01","8.77e-01","2.04e-01","2.04e-01","2.9e-02","2.9e-02","3.79e-01","3.79e-01","7.29e-01","7.29e-01"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",5,"4/5","Up_in_Resistant",0,0.0103,3,-0.002,0.0226,0.0014,0.0149,0.0147,"8.82e-01","8.82e-01","5.88e-02","5.88e-02","6.21e-01","6.21e-01","6.76e-01","6.76e-01","5.65e-01","5.65e-01"
"HALLMARK_MYC_TARGETS_V1",5,"3/5","Up_in_Resistant",0,0.0102,3,0.0157,-0.0064,0.004,0.0399,-0.0025,"8.87e-01","8.87e-01","3.37e-01","3.37e-01","4.39e-01","4.39e-01","1.21e-01","1.21e-01","4.3e-01","4.3e-01"
"HALLMARK_G2M_CHECKPOINT",5,"3/5","Down_in_Resistant",0,0.0096,3,-0.0081,-0.0186,0.0143,0.0623,-0.0021,"9.14e-01","9.14e-01","2.61e-01","2.61e-01","1.05e-01","1.05e-01","2.95e-01","2.95e-01","6.85e-01","6.85e-01"
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",5,"3/5","Down_in_Resistant",0,-0.0013,3,0.009,-0.0121,-0.0041,-0.0039,0.0048,"9.19e-01","9.19e-01","5.29e-02","5.29e-02","5.65e-01","5.65e-01","3.15e-01","3.15e-01","8.57e-01","8.57e-01"
"KEGG_GLUTATHIONE_METABOLISM",5,"3/5","Up_in_Resistant",0,0.0018,3,0.016,0.0053,-0.0022,-0.0102,2e-04,"9.33e-01","9.33e-01","9.46e-01","9.46e-01","3.93e-01","3.93e-01","9.33e-01","9.33e-01","2.69e-01","2.69e-01"
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",5,"3/5","Down_in_Resistant",0,8e-04,3,-0.0062,0.0013,-4e-04,0.0117,-0.0026,"9.93e-01","9.93e-01","6.59e-01","6.59e-01","4.63e-01","4.63e-01","3.57e-01","3.57e-01","6.14e-01","6.14e-01"
"KEGG_COLORECTAL_CANCER",5,"3/5","Down_in_Resistant",0,0.0052,3,0.0531,-0.0011,-0.0089,-0.0221,0.0051,"9.93e-01","9.93e-01","4.63e-01","4.63e-01","4.1e-01","4.1e-01","2.77e-01","2.77e-01","4.78e-02","4.78e-02"
"HALLMARK_APOPTOSIS",5,"3/5","Down_in_Resistant",1,0.002,3,0.0256,-0.001,-8e-04,-0.0246,0.0105,"1e+00","1e+00","4.69e-01","4.69e-01","7.57e-01","7.57e-01","2.38e-02","2.38e-02","4.57e-01","4.57e-01"
