"pathway","dataset","n_sensitive","n_resistant","median_sensitive","median_resistant","delta","p_value","fdr","mean_rank_sensitive","significant"
"KEGG_HOMOLOGOUS_RECOMBINATION","GSE104645",66,47,0.0725107580604102,0.0975738679420932,0.025063109881683,0.0905991228637093,1,63.1914893617021,FALSE
"KEGG_ECM_RECEPTOR_INTERACTION","GSE104645",66,47,0.101115478107448,0.134900430686422,0.0337849525789739,0.192932943352676,1,61.7659574468085,FALSE
"HALLMARK_MYC_TARGETS_V2","GSE104645",66,47,0.0854095490260573,0.100235514086085,0.014825965060028,0.433332935074779,1,59.8723404255319,FALSE
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GSE104645",66,47,0.140785334155788,0.126463242978408,-0.0143220911773801,0.43676018157595,1,59.8510638297872,FALSE
"KEGG_MISMATCH_REPAIR","GSE104645",66,47,0.0898370905735927,0.0862893397108182,-0.00354775086277445,0.447135100419711,1,59.7872340425532,FALSE
"HALLMARK_P53_PATHWAY","GSE104645",66,47,0.126316646034307,0.152665656868448,0.0263490108341408,0.450624306590239,1,59.7659574468085,FALSE
"KEGG_FOCAL_ADHESION","GSE104645",66,47,0.139630479747477,0.143065994915579,0.00343551516810212,0.546563794493782,1,59.2127659574468,FALSE
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450","GSE104645",66,47,0.08561769812789,0.0819284504132043,-0.00368924771468568,0.550446038100046,1,54.8085106382979,FALSE
"KEGG_BASE_EXCISION_REPAIR","GSE104645",66,47,0.0691151908685537,0.0884114783615662,0.0192962874930124,0.570058429725683,1,59.0851063829787,FALSE
"HALLMARK_GLYCOLYSIS","GSE104645",66,47,0.156595934472858,0.156685765228138,8.98307552804622e-05,0.589997940522893,1,58.9787234042553,FALSE
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES","GSE104645",66,47,0.0773531580043651,0.0835800794441196,0.00622692143975449,0.598062734530285,1,58.936170212766,FALSE
"KEGG_ABC_TRANSPORTERS","GSE104645",66,47,0.0755947925831622,0.0498965714151545,-0.0256982211680077,0.622552007665456,1,55.1914893617021,FALSE
