"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Direction","Significance","Dataset"
0.876503339740218,0.0760766379726682,4.28349955706454,3.73969177862207e-05,0.999892187031336,-2.9697161026948,"A_23_P390006","up","nominal","GSE104645"
0.726565970873038,-0.0902383502700368,3.66627678067445,0.000368512641898673,0.999892187031336,-3.39412962963854,"A_23_P94133","up","nominal","GSE104645"
-0.659854978947118,-0.0825567419784478,-3.63612006339832,0.000409544374651659,0.999892187031336,-3.41384016636493,"A_32_P212343","down","nominal","GSE104645"
-0.717194909773778,0.0220131710697157,-3.54161827962645,0.000567909820193521,0.999892187031336,-3.47492450013318,"A_32_P37733","down","nominal","GSE104645"
-0.568875620402756,0.0459952357369332,-3.47334610510631,0.000716529294851906,0.999892187031336,-3.51839522694333,"A_23_P42684","down","nominal","GSE104645"
-0.666661181418098,0.0457201804309813,-3.40656751232784,0.000896711115973989,0.999892187031336,-3.56036498503756,"A_24_P231829","down","nominal","GSE104645"
-0.493800437499969,-0.0859045481028232,-3.38065441287829,0.000977460032668691,0.999892187031336,-3.57650187635641,"A_23_P216679","down","nominal","GSE104645"
-0.512350341679154,-0.0346889444720886,-3.307581512714,0.00124340717085399,0.999892187031336,-3.62154851800269,"A_24_P803801","down","nominal","GSE104645"
-0.742685193226085,-0.0771547887263764,-3.29832874478432,0.0012815420897597,0.999892187031336,-3.62720365735306,"A_23_P45560","down","nominal","GSE104645"
-0.605704509705832,-0.0723761959727935,-3.2171074540628,0.00166641699436193,0.999892187031336,-3.67636504332815,"A_24_P173124","down","nominal","GSE104645"
-0.906022846332878,0.0928550213671783,-3.18237835284518,0.00186181668254897,0.999892187031336,-3.69711929061412,"A_32_P102383","down","nominal","GSE104645"
0.432813172498978,0.0435887773917848,3.15744628039041,0.00201501471948073,0.999892187031336,-3.71191886930638,"A_23_P76823","up","nominal","GSE104645"
0.650095852949222,-0.118326707426094,3.14655292617692,0.00208555994627072,0.999892187031336,-3.71835870887287,"A_24_P399490","up","nominal","GSE104645"
0.549199202375401,-0.195879406628788,3.11523172613243,0.0023013781540374,0.999892187031336,-3.73678479415096,"A_23_P41629","up","nominal","GSE104645"
-0.680885888059034,0.0924941601770147,-3.09712955831511,0.00243537598553903,0.999892187031336,-3.74737284191344,"A_23_P99397","down","nominal","GSE104645"
-0.495119961171902,-0.118592834429102,-3.06412064012145,0.00269849653562535,0.999892187031336,-3.76656324159032,"A_23_P397417","down","nominal","GSE104645"
-0.454968754860811,-0.0911190531227191,-3.05884662834893,0.00274289638575953,0.999892187031336,-3.76961535098951,"A_23_P79145","down","nominal","GSE104645"
-0.660869857913433,0.109809647312836,-3.04203384108445,0.00288898699326582,0.999892187031336,-3.77931906227423,"A_23_P76658","down","nominal","GSE104645"
