"Gene","Module","ModuleLabel","GS_resistant","GS_pval","MM_ME1","MM_ME1_pval","MM_ME3","MM_ME3_pval","MM_ME2","MM_ME2_pval","MM_ME4","MM_ME4_pval","MM_ME0","MM_ME0_pval"
"224588_at","grey",0,0.0913203460172846,0.159332839868667,-0.0753571261524091,0.245830637839315,-0.0164670047783175,0.800070223213885,-0.00454950686741482,0.944221287472635,0.0356464186835789,0.583441029422081,0.00426583172285297,0.947694134659597
"1554436_a_at","grey",0,-0.0590682319690181,0.36325549407944,-0.226330854618441,0.000421062837254685,-0.162374323209948,0.011944156600752,-0.010218953668331,0.87512108746444,0.275194478383319,1.59083992258361e-05,-0.321444732071082,3.79843547285325e-07
"210107_at","grey",0,-0.0544515141925059,0.402025903129247,-0.331203767157611,1.58720412656544e-07,-0.0961701506011167,0.138234475792253,-0.0826890703934721,0.202726320925977,0.286391840733412,6.83089716752951e-06,-0.0872785907139953,0.178693753833839
"230784_at","grey",0,0.0476337278822286,0.463585888399083,-0.211459540685755,0.00100465428600825,-0.147515470133933,0.022544239481205,-0.127639460652438,0.0487259461905625,-0.00862042553698127,0.894531630017772,0.0837699520613016,0.196866051370244
"227671_at","grey",0,0.0962753371220606,0.13780182083632,-0.0908120689362893,0.161677079002119,-0.0307775483074132,0.635908585535403,-0.0295704241079303,0.649216841156047,0.0139016530696965,0.830704639484056,0.0759077992189305,0.242387065207247
"206143_at","grey",0,-0.0174793982863194,0.788061462537472,-0.260995831624166,4.41212948527191e-05,-0.0842879908546828,0.194101480090715,-0.242138641033052,0.000156731447529307,0.0447149824389785,0.491454749573306,0.323911855768474,3.05527334485922e-07
"212768_s_at","grey",0,0.147833923158904,0.0222513218725579,-0.276724735802057,1.42031647024862e-05,-0.19718548480472,0.00219454973652737,-0.203796238639568,0.00153807248775532,0.149512495003355,0.0207610981768625,0.215358975578493,0.000804258437428917
"209752_at","grey",0,0.0728293274239353,0.262074601581168,-0.104780118665394,0.106133323093464,-0.101223757318661,0.118597328223423,-0.0581760671970314,0.370560698907377,0.0690917643547023,0.287417239470397,-0.240726615534346,0.000171662963449012
"205815_at","grey",0,0.10795412352012,0.0959027983741261,-0.180799844026387,0.00505378269642784,-0.11455317243261,0.0771466650195972,-0.168217771823897,0.009172880627957,0.0113596118659186,0.861315158627731,-0.0690260453697592,0.287877070070565
"223447_at","grey",0,-0.0459630271230809,0.479429970771468,-0.229279471410247,0.000351950810999902,-0.168698214558797,0.00897269355736806,-0.0187855158829111,0.772642643131996,0.272240363885081,1.9763174959256e-05,-0.310135912587716,1.00544351628419e-06
