"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Direction","Significance","Dataset","gene_symbol"
"A_24_P358619",-0.114731535202484,-0.21536735776349,-0.612198579395038,0.541569105466833,0.999892187031336,-4.67546615954507,"A_24_P358619","down","NS","GSE104645","ZNF99"
"A_23_P126899",-0.142497086631016,-0.104104300760326,-0.61216153168981,0.541593531990629,0.999892187031336,-4.67547104016328,"A_23_P126899","down","NS","GSE104645","PEX11B"
"A_32_P152195",0.142767361187184,0.108877579957796,0.612149392620648,0.541601535718454,0.999892187031336,-4.67547263928548,"A_32_P152195","up","NS","GSE104645","STAC2"
"A_24_P169258",0.114701463091464,-0.126620266095975,0.61212262821966,0.541619182668321,0.999892187031336,-4.67547616494325,"A_24_P169258","up","NS","GSE104645","TBCD"
"A_24_P370626",0.0731630683579991,-0.0854972790428381,0.61201631929185,0.541689279702264,0.999892187031336,-4.67549016744643,"A_24_P370626","up","NS","GSE104645","DFFB"
"A_23_P77682",0.11575656894699,-0.0912889808737646,0.611997168785079,0.541701907480188,0.999892187031336,-4.67549268960391,"A_23_P77682","up","NS","GSE104645","PHKG2"
"A_23_P426196",0.0830124232916299,0.0409657132312867,0.61198544967932,0.541709635091366,0.999892187031336,-4.6754942329935,"A_23_P426196","up","NS","GSE104645","MAST3"
"A_23_P252636",0.117315412389506,-0.10564310129227,0.611951859400007,0.541731784924365,0.999892187031336,-4.6754986566237,"A_23_P252636","up","NS","GSE104645","CSNK1G1"
"A_23_P14673",0.112227575826332,-0.134331273784086,0.611700688465815,0.541897424555748,0.999892187031336,-4.67553172665845,"A_23_P14673","up","NS","GSE104645","IGDCC4"
"A_24_P916585",0.133112500462797,-0.0441424015205419,0.611623969696439,0.541948023363832,0.999892187031336,-4.67554182504074,"A_24_P916585","up","NS","GSE104645","ENTPD6"
"A_24_P94101",0.171331710745484,0.0716261758945415,0.611562191032835,0.541988770365638,0.999892187031336,-4.6755499559678,"A_24_P94101","up","NS","GSE104645","PRO2949"
"A_24_P410196",0.183595370357154,-0.0911184165068525,0.611511296509159,0.542022339739773,0.999892187031336,-4.67555665378127,"A_24_P410196","up","NS","GSE104645","NDOR1"
"A_24_P124624",-0.202083237899905,0.212791642088026,-0.61148223640918,0.542041507879516,0.999892187031336,-4.67556047789697,"A_24_P124624","down","NS","GSE104645","OLR1"
"A_24_P933565",-0.123114879443255,-0.126470715934028,-0.611467966104451,0.542050920745891,0.999892187031336,-4.67556235570829,"A_24_P933565","down","NS","GSE104645","PGAP1"
"A_23_P115563",0.0978607146949219,-0.155571119027669,0.611393306334866,0.542100168582913,0.999892187031336,-4.67557217938628,"A_23_P115563","up","NS","GSE104645","OR2C3"
"A_23_P71415",0.0897053083453581,0.0154384268018639,0.611267232853119,0.542183335585766,0.999892187031336,-4.67558876535029,"A_23_P71415","up","NS","GSE104645","WDYHV1"
"A_23_P212945",0.122909226798188,-0.103418110791636,0.611177357347198,0.542242627772307,0.999892187031336,-4.67560058711907,"A_23_P212945","up","NS","GSE104645","HTN3"
"A_24_P76911",-0.080687201334071,-0.0725085045686898,-0.611078953721278,0.542307549839161,0.999892187031336,-4.67561352866219,"A_24_P76911","down","NS","GSE104645","RNF167"
"A_23_P16817",-0.184631006050276,0.510914825814527,-0.611058546208062,0.542321014244306,0.999892187031336,-4.67561621229629,"A_23_P16817","down","NS","GSE104645","CLK1"
"A_23_P406135",0.163389543528905,0.177368827884643,0.61099457486139,0.542363222152807,0.999892187031336,-4.67562462409854,"A_23_P406135","up","NS","GSE104645","IFT172"
"A_24_P48162",0.124070659191538,0.126489644211203,0.610962076107561,0.54238466526973,0.999892187031336,-4.67562889713272,"A_24_P48162","up","NS","GSE104645","MPG"
"A_24_P195037",-0.116746112472816,0.108872235569888,-0.610894213181865,0.542429443525088,0.999892187031336,-4.67563781923017,"A_24_P195037","down","NS","GSE104645","C1orf52"
"A_23_P103276",-0.118193191145918,0.0771798913040175,-0.610890874174288,0.542431646763473,0.999892187031336,-4.67563825819201,"A_23_P103276","down","NS","GSE104645","KTI12"
"A_24_P303625",0.137230097049314,-0.100091806228483,0.610870502847421,0.542445088846191,0.999892187031336,-4.67564093625224,"A_24_P303625","up","NS","GSE104645","C7orf43"
"A_23_P33816",0.121936819778438,-0.137883640764586,0.610854121653234,0.542455898149555,0.999892187031336,-4.67564308969663,"A_23_P33816","up","NS","GSE104645","WDR87"
"A_23_P132956",0.195547382179691,0.31278709454276,0.610835599054742,0.542468120612063,0.999892187031336,-4.67564552457765,"A_23_P132956","up","NS","GSE104645","UCHL1"
"A_32_P184518",0.146943991451513,-0.00854043711845094,0.610752571290379,0.542522909651298,0.999892187031336,-4.67565643806318,"A_32_P184518","up","NS","GSE104645","RPL21"
"A_23_P118234",0.113775614015291,-0.0829133871840395,0.610699656406821,0.542557829014016,0.999892187031336,-4.67566339263157,"A_23_P118234","up","NS","GSE104645","CES5A"
"A_23_P113111",0.0888870064251829,0.0371724657965698,0.610589669175097,0.542630414944911,0.999892187031336,-4.6756778462747,"A_23_P113111","up","NS","GSE104645","AR"
"A_23_P94301",0.119677163794309,0.110212489144804,0.610580760814957,0.542636294220159,0.999892187031336,-4.6756790168275,"A_23_P94301","up","NS","GSE104645","TSTA3"
"A_24_P50934",-0.148368497847003,-0.0188150805941812,-0.610564361926567,0.54264711712425,0.999892187031336,-4.67568117158676,"A_24_P50934","down","NS","GSE104645","NCKAP5"
"A_24_P22488",0.0917372084971931,-0.0420399092112773,0.610511959861038,0.542681702060143,0.999892187031336,-4.67568805665979,"A_24_P22488","up","NS","GSE104645","AXIN1"
"A_23_P432110",0.118857029803174,-0.0645567354420158,0.610467727229757,0.542710896101728,0.999892187031336,-4.6756938679014,"A_23_P432110","up","NS","GSE104645","RIMS1"
"A_24_P757255",-0.155278073032995,-0.0934012270726134,-0.61041131208341,0.542748131892211,0.999892187031336,-4.67570127906622,"A_24_P757255","down","NS","GSE104645","GPR157"
"A_23_P150343",0.126776333078961,-0.236936000254554,0.610380498947442,0.542768470086035,0.999892187031336,-4.67570532665111,"A_23_P150343","up","NS","GSE104645","SLN"
"A_23_P5550",-0.121679985954366,0.094730087696374,-0.61035861391981,0.542782915520295,0.999892187031336,-4.67570820132528,"A_23_P5550","down","NS","GSE104645","PUM2"
"A_23_P148446",-0.172495009024908,0.302656002555877,-0.610300073272944,0.542821556820833,0.999892187031336,-4.67571589034101,"A_23_P148446","down","NS","GSE104645","UBE2A"
"A_23_P365418",0.160759671175236,-0.0784103566152479,0.610271650194533,0.542840318725133,0.999892187031336,-4.67571962330452,"A_23_P365418","up","NS","GSE104645","ZNF783"
"A_23_P41664",-0.113628203567411,0.163720640081267,-0.610269671531768,0.542841624840786,0.999892187031336,-4.67571988316708,"A_23_P41664","down","NS","GSE104645","LRRC70"
"A_23_P343366",-0.141553484651452,-0.0566490495633957,-0.610212676231824,0.542879248129262,0.999892187031336,-4.67572736813989,"A_23_P343366","down","NS","GSE104645","MAB21L3"
"A_24_P406034",-0.1860287112168,0.0472885782994753,-0.610202877010798,0.542885716846383,0.999892187031336,-4.67572865496413,"A_24_P406034","down","NS","GSE104645","SLC35A1"
"A_32_P107797",-0.116907958658322,0.0345136120849401,-0.610049049643947,0.542987267332185,0.999892187031336,-4.67574885274698,"A_32_P107797","down","NS","GSE104645","FAM133CP"
"A_23_P398515",0.135623048905713,-0.133279693121544,0.610046018727397,0.542989268314581,0.999892187031336,-4.67574925066065,"A_23_P398515","up","NS","GSE104645","PKMYT1"
"A_32_P43409",-0.105346403711667,-0.205306726470045,-0.610018510523099,0.543007429140541,0.999892187031336,-4.67575286198396,"A_32_P43409","down","NS","GSE104645","SRP14-AS1"
