"Gene","Module","ModuleLabel","GS_resistant","GS_pval","MM_ME1","MM_ME1_pval","MM_ME3","MM_ME3_pval","MM_ME2","MM_ME2_pval","MM_ME4","MM_ME4_pval","MM_ME0","MM_ME0_pval","HubScore"
"239978_at","grey",0,0.197400661980779,0.00216968075395419,-0.0264621441684138,0.68399232418666,-0.107774339461123,0.0964605141883137,-0.153086733377193,0.0178733347659491,-0.250378820819587,9.11650728628672e-05,0.637962047302202,1.03292651871925e-28,0.125934130456068
"243184_at","grey",0,0.22866957876368,0.000365316560825407,0.000322451740818964,0.996043427969294,0.0481455776373492,0.458790415475409,-0.164828219637407,0.0107013119030866,-0.208566128946063,0.0011819939432335,0.529447613600667,1.1406015792849e-18,0.1210685627795
"208861_s_at","grey",0,0.211879134121322,0.000981073099240398,0.149948611445312,0.0203883649599488,0.0795135486028567,0.220671289143161,-0.0378925629385256,0.559931681264369,-0.131466884312536,0.0422961071066794,0.563473333935363,1.99714993478283e-21,0.119388242094679
"228959_at","grey",0,0.156271687284575,0.0156013375964229,-0.100597407827305,0.120906093342506,-0.0361835147376431,0.577778083361485,-0.369958121001184,3.63289651937049e-09,-0.33069530403375,1.66228934148639e-07,0.637202275835272,1.25483961866681e-28,0.099576674786349
"229531_at","grey",0,0.169029781649153,0.00883680921925313,0.111061790045877,0.0866617537649145,0.268793922771342,2.53757198242641e-05,-0.0920729338674234,0.1559088633124,-0.14133333325914,0.0289268481662157,0.587267872325239,1.49839999651177e-23,0.0992657602286979
"217627_at","grey",0,0.173842764940319,0.00706007149123561,0.00976543442942901,0.880620999317515,0.0291185080676922,0.654228168580623,-0.122980663682659,0.0576328892328975,-0.128200965040087,0.0477344781762543,0.565257757347106,1.40272103183513e-21,0.0982659714411847
"203884_s_at","grey",0,0.231656162138633,0.00030408362482102,0.257597205880444,5.58499012120763e-05,0.199454193999851,0.0019449402748902,0.0275804482624311,0.671399048160495,-0.124906565965856,0.0537999567536639,0.418486973114917,1.49916079222312e-11,0.0969450860968151
"232333_at","grey",0,0.171907154901932,0.00773221840640523,0.0591415744009593,0.362658963049883,0.05433291118266,0.403053342761906,-0.0953270548523476,0.141739975576444,-0.113491197665962,0.0799468780603368,0.559775660604472,4.12512274601559e-21,0.0962294411978646
"242110_at","grey",0,0.15161922789744,0.0190137032514208,-0.0746976286750287,0.249999400926192,0.00594825613505706,0.927113974480281,-0.188731730862139,0.00340283153678803,-0.125674651207527,0.0523314724649274,0.625743778109012,2.21378528691372e-27,0.0948747884985152
"1559391_s_at","grey",0,0.124626421996196,0.0543439947389558,-0.0300871741178978,0.643505849275952,-0.0427268492350422,0.510937707732281,-0.202536892334438,0.00164722355005889,-0.216744062655904,0.000742447800541347,0.756749432188627,1.20034656449044e-45,0.0943109740813219
"238988_at","grey",0,0.142583345739661,0.027524241800629,0.130043779710749,0.0445982090595743,0.000925370469433401,0.988645783006627,-0.084228156716502,0.194419337493935,-0.167003944594329,0.00969639957869598,0.653030281836867,1.93905895283858e-30,0.0931112424536144
"230624_at","grey",0,0.147505341955887,0.0225536099092279,-0.0834125791849654,0.198789839024935,0.00516262786912286,0.936718936817384,-0.372767573724106,2.70756188666343e-09,-0.320816668875414,4.0136701677809e-07,0.631168350730709,5.77438255191157e-28,0.0931007034062664
"239847_at","grey",0,0.168190792776584,0.00918423860409031,-0.012558246548791,0.846852821478842,0.233668419794468,0.000268367381400457,-0.339766014701925,7.19610110564024e-08,-0.257278851594817,5.70873895228278e-05,0.549233273291034,3.1072607197548e-20,0.0923759796540972
"228920_at","grey",0,0.16660575101556,0.00987381322271844,0.0607134930463397,0.350020579095365,-0.0369639328789162,0.569595755063326,-0.106758898377849,0.0996591240638388,-0.082580219554717,0.203323408358602,0.552452079245105,1.6901015133577e-20,0.0920416935627386
"222186_at","grey",0,0.147508198683849,0.0225509665697779,0.0577077319872416,0.374431533991871,0.119407968229351,0.0653402081086567,-0.0745529224993464,0.250920632051821,-0.168954382024851,0.00886754833620494,0.607715743015746,1.60272613359233e-25,0.0896430545640692
"232522_at","grey",0,0.17927699626769,0.0054429317319758,-0.225110718995786,0.000453185850474319,-0.103749184997,0.109635255583609,-0.272871864126619,1.88714236519759e-05,-0.092467906935211,0.154134237143561,0.499441147343994,1.75141173918399e-16,0.0895383087083197
"228623_at","grey",0,0.120271730741823,0.0634034361370981,0.00241093197883059,0.970423810905392,0.0420915321561798,0.517247052609797,-0.180989815197051,0.0050070334839141,-0.221968604489029,0.000546664291210655,0.74167201245406,5.48599347804741e-43,0.0892021765806209
"1560271_at","grey",0,0.149658982863063,0.0206352471828589,0.114374478272165,0.0776122082846226,0.137524436740807,0.0335835318596657,-0.068963337770068,0.288316289694351,-0.168032593517486,0.00925109064395526,0.595602792240068,2.45052292712286e-24,0.0891373080770486
"232087_at","grey",0,0.168125219046157,0.0092118966664971,-0.266699369827764,2.94902009037483e-05,-0.150708121780453,0.019753074537626,-0.244790068985075,0.000131920576615498,-0.131686313113688,0.0419501926179238,0.523362562365274,3.29684242703323e-18,0.0879904454382196
"242405_at","grey",0,0.187896625773994,0.00355010722929423,0.127068108343225,0.0497523787585336,0.116371754405232,0.0725362619380201,0.0057603660453441,0.929410180646077,-0.0584376426358537,0.368409539161079,0.468240341783524,1.99584587066881e-14,0.0879807802723856
"226282_at","turquoise",1,0.189282616430415,0.00330872874385725,0.783706851781787,6.35652538534554e-51,0.547813866925888,4.05599526777234e-20,0.49924040098317,1.80843129389206e-16,0.0709577534569454,0.274566445069791,-0.182823515009753,0.00457536858786437,0.1483420834197
"244741_s_at","turquoise",1,0.180353957085288,0.0051650528603616,0.795095553240226,2.19206577588654e-53,0.765261249478763,3.0916055469129e-47,0.535090081854742,4.18148132881342e-19,0.224952533384613,0.000457512979204409,-0.27917880051199,1.18250401062732e-05,0.143398629287791
"232935_at","turquoise",1,0.225149262248739,0.000452137274672351,0.632264692866586,4.38674763780069e-28,0.588537349540955,1.14108900075753e-23,0.289039387598287,5.56332340015246e-06,0.0741166777875479,0.253712097482823,0.063022985546595,0.331962540490848,0.142353929144837
"235570_at","turquoise",1,0.176115661467158,0.00633771575498361,0.741634295451132,5.56770158874497e-43,0.73651835615251,4.03951485380699e-42,0.465253539666283,3.06382060057355e-14,0.299466353126286,2.42904196705601e-06,-0.0146473321232068,0.821771442696135,0.130613414510106
"221933_at","turquoise",1,0.171141245061631,0.00801353967991764,0.752866218740797,6.06313092498023e-45,0.63763799457862,1.12239771872204e-28,0.583564905758215,3.29439612767677e-23,0.32213157329554,3.57573577867214e-07,-0.302567649655791,1.8864490124574e-06,0.128846462040143
"213652_at","turquoise",1,0.203727319146715,0.00154387035041692,0.62322136610003,4.09859928939879e-27,0.493127403377679,4.74955418042611e-16,0.491396526975071,6.22124899364542e-16,0.261268941376471,4.32873109832163e-05,-0.119823886665625,0.0644016474396214,0.126967218150512
"238447_at","turquoise",1,0.16348712391964,0.011365602576889,0.768822817427103,6.38418080782612e-48,0.709880007037073,6.06781158855626e-38,0.42793902331853,4.62354545380964e-12,0.211188588846412,0.00102015766199344,-0.0158802369946832,0.807052075059062,0.125692631224952
"213891_s_at","turquoise",1,0.138478715583441,0.0323607690528322,0.877647732648072,1.18999381670495e-77,0.612366477756067,5.45131409056392e-26,0.532731800554585,6.3747956112767e-19,0.188472244547025,0.00344799048859222,-0.023965338467115,0.712421663477623,0.121535530751824
"205880_at","turquoise",1,0.14088687164556,0.0294424164990259,0.860079608733915,3.2012413703567e-71,0.705650927938218,2.52879912353752e-37,0.505462227164761,6.63423477237856e-17,0.139412602454279,0.0312010367597492,-0.202731630822502,0.00162989474080392,0.121173925440658
"206953_s_at","turquoise",1,0.161610309164692,0.0123562480619133,0.748505147658029,3.60766319685803e-44,0.559957149983135,3.98167958022842e-21,0.45585106532125,1.14954897169171e-13,0.178912651916515,0.00553993245898749,-0.141979367927913,0.028194498143395,0.120966148324377
"226225_at","turquoise",1,0.134154171036568,0.0382209510042545,0.87506142928782,1.2089018400609e-76,0.61896467869851,1.14438598541318e-26,0.624079709409409,3.32569497895121e-27,0.297998109772094,2.73508662122874e-06,-0.192054211768428,0.0028700613095542,0.117393140652182
"212265_at","turquoise",1,0.152482210756828,0.0183356773278999,0.769710134052772,4.29051757633866e-48,0.512303097320748,2.15076282362773e-17,0.53910064703506,2.02569569371979e-19,0.194107309065,0.00257988979565353,-0.108581794598121,0.0939757560211792,0.117367102882301
