"Gene","Priority"
"ARFRP1","Tier4_MultiDataset_DEG"
"ARHGAP1","Tier4_MultiDataset_DEG"
"ARHGAP28","Tier4_MultiDataset_DEG"
"ARHGAP32","Tier4_MultiDataset_DEG"
"ARHGAP33","Tier4_MultiDataset_DEG"
"ARHGAP5","Tier4_MultiDataset_DEG"
"ARHGDIA","Tier4_MultiDataset_DEG"
"ARHGEF12","Tier4_MultiDataset_DEG"
"ARHGEF28","Tier4_MultiDataset_DEG"
"ARHGEF3","Tier4_MultiDataset_DEG"
"ARHGEF39","Tier4_MultiDataset_DEG"
"ARID2","Tier4_MultiDataset_DEG"
"ARIH2","Tier4_MultiDataset_DEG"
"ARL17A /// ARL17B","Tier4_MultiDataset_DEG"
"ARL17A /// ARL17B /// LOC100294341","Tier4_MultiDataset_DEG"
"ARL3","Tier4_MultiDataset_DEG"
"ARMCX4","Tier4_MultiDataset_DEG"
"ARMCX5-GPRASP2 /// GPRASP2","Tier4_MultiDataset_DEG"
"ARNT","Tier4_MultiDataset_DEG"
"ARRB1","Tier4_MultiDataset_DEG"
"ARRDC3-AS1","Tier4_MultiDataset_DEG"
"ASB16-AS1","Tier4_MultiDataset_DEG"
"ASB7","Tier4_MultiDataset_DEG"
"ASF1B","Tier4_MultiDataset_DEG"
"ASNA1","Tier4_MultiDataset_DEG"
"ATF7IP2","Tier4_MultiDataset_DEG"
"ATG2B","Tier4_MultiDataset_DEG"
"ATG4D","Tier4_MultiDataset_DEG"
"ATG7","Tier4_MultiDataset_DEG"
"ATP1B1","Tier4_MultiDataset_DEG"
"ATP2A2","Tier4_MultiDataset_DEG"
"ATP2B1","Tier4_MultiDataset_DEG"
"ATP5D","Tier4_MultiDataset_DEG"
"ATP5J2","Tier4_MultiDataset_DEG"
"ATP6AP1L","Tier4_MultiDataset_DEG"
"ATP6AP2","Tier4_MultiDataset_DEG"
"ATP6V0A2","Tier4_MultiDataset_DEG"
"ATP6V0E1","Tier4_MultiDataset_DEG"
"ATP6V1G1","Tier4_MultiDataset_DEG"
"ATP8A2","Tier4_MultiDataset_DEG"
"ATRX","Tier4_MultiDataset_DEG"
"ATXN3","Tier4_MultiDataset_DEG"
"AVL9","Tier4_MultiDataset_DEG"
"AX747140 /// TMEM198B","Tier4_MultiDataset_DEG"
"B3GNT1","Tier4_MultiDataset_DEG"
"B4GALT6","Tier4_MultiDataset_DEG"
"BACE1","Tier4_MultiDataset_DEG"
"BAG5","Tier4_MultiDataset_DEG"
"BAIAP2-AS1","Tier4_MultiDataset_DEG"
"BANP","Tier4_MultiDataset_DEG"
"BARHL1","Tier4_MultiDataset_DEG"
"BBS10","Tier4_MultiDataset_DEG"
"BC039122","Tier4_MultiDataset_DEG"
"BC052775 /// FNTB","Tier4_MultiDataset_DEG"
"BCAN","Tier4_MultiDataset_DEG"
"BCL2L11","Tier4_MultiDataset_DEG"
"BCL3 /// MIR8085","Tier4_MultiDataset_DEG"
"BCLAF1","Tier4_MultiDataset_DEG"
"BDP1","Tier4_MultiDataset_DEG"
"BEND3","Tier4_MultiDataset_DEG"
"BEND6","Tier4_MultiDataset_DEG"
"BEX2","Tier4_MultiDataset_DEG"
"BHMT","Tier4_MultiDataset_DEG"
"BHMT2","Tier4_MultiDataset_DEG"
"BICD1","Tier4_MultiDataset_DEG"
"BMP2K","Tier4_MultiDataset_DEG"
"BOD1L1","Tier4_MultiDataset_DEG"
"BRAP","Tier4_MultiDataset_DEG"
"BRD3","Tier4_MultiDataset_DEG"
"BRI3BP","Tier4_MultiDataset_DEG"
"BRIP1","Tier4_MultiDataset_DEG"
"BRMS1L","Tier4_MultiDataset_DEG"
"BRWD1","Tier4_MultiDataset_DEG"
"BRWD3","Tier4_MultiDataset_DEG"
"BTBD7","Tier4_MultiDataset_DEG"
"BTF3","Tier4_MultiDataset_DEG"
"BTN3A1","Tier4_MultiDataset_DEG"
"BTN3A3","Tier4_MultiDataset_DEG"
"BTNL9","Tier4_MultiDataset_DEG"
"BVES","Tier4_MultiDataset_DEG"
"BVES-AS1","Tier4_MultiDataset_DEG"
"BZRAP1-AS1","Tier4_MultiDataset_DEG"
"C10ORF88","Tier4_MultiDataset_DEG"
"C11ORF1","Tier4_MultiDataset_DEG"
"C11ORF53","Tier4_MultiDataset_DEG"
"C11ORF57","Tier4_MultiDataset_DEG"
"C11ORF97","Tier4_MultiDataset_DEG"
"C14ORF105","Tier4_MultiDataset_DEG"
"C14ORF180","Tier4_MultiDataset_DEG"
"C14ORF183","Tier4_MultiDataset_DEG"
"C15ORF52","Tier4_MultiDataset_DEG"
"C16ORF13","Tier4_MultiDataset_DEG"
"C16ORF45","Tier4_MultiDataset_DEG"
"C16ORF52 /// LOC101930115 /// VWA3A","Tier4_MultiDataset_DEG"
"C16ORF95","Tier4_MultiDataset_DEG"
"C17ORF51","Tier4_MultiDataset_DEG"
"C17ORF85","Tier4_MultiDataset_DEG"
"C19ORF25","Tier4_MultiDataset_DEG"
"C19ORF26","Tier4_MultiDataset_DEG"
"C1ORF192","Tier4_MultiDataset_DEG"
"C1ORF204","Tier4_MultiDataset_DEG"
"C1ORF95","Tier4_MultiDataset_DEG"
"C1QL1","Tier4_MultiDataset_DEG"
"C20ORF202","Tier4_MultiDataset_DEG"
"C20ORF27","Tier4_MultiDataset_DEG"
"C21ORF58","Tier4_MultiDataset_DEG"
"C21ORF67","Tier4_MultiDataset_DEG"
"C21ORF91","Tier4_MultiDataset_DEG"
"C2CD4B","Tier4_MultiDataset_DEG"
"C2ORF40","Tier4_MultiDataset_DEG"
"C2ORF74 /// KIAA1841","Tier4_MultiDataset_DEG"
"C4A /// C4B /// C4B_2","Tier4_MultiDataset_DEG"
"C5ORF15","Tier4_MultiDataset_DEG"
"C5ORF24","Tier4_MultiDataset_DEG"
"C5ORF42","Tier4_MultiDataset_DEG"
"C5ORF51","Tier4_MultiDataset_DEG"
"C6ORF132","Tier4_MultiDataset_DEG"
"C7ORF50","Tier4_MultiDataset_DEG"
"C8ORF44","Tier4_MultiDataset_DEG"
"C8ORF46","Tier4_MultiDataset_DEG"
"C8ORF88","Tier4_MultiDataset_DEG"
"C9ORF135","Tier4_MultiDataset_DEG"
"C9ORF16","Tier4_MultiDataset_DEG"
"C9ORF3","Tier4_MultiDataset_DEG"
"C9ORF85","Tier4_MultiDataset_DEG"
"CA5B","Tier4_MultiDataset_DEG"
"CABP4","Tier4_MultiDataset_DEG"
"CACNA1G","Tier4_MultiDataset_DEG"
"CACNA1I","Tier4_MultiDataset_DEG"
"CACNB3","Tier4_MultiDataset_DEG"
"CACUL1","Tier4_MultiDataset_DEG"
"CACYBP","Tier4_MultiDataset_DEG"
"CADM1","Tier4_MultiDataset_DEG"
"CADM3","Tier4_MultiDataset_DEG"
"CALCOCO2","Tier4_MultiDataset_DEG"
"CALM1 /// CALM2 /// CALM3","Tier4_MultiDataset_DEG"
"CALY","Tier4_MultiDataset_DEG"
"CAMK2A","Tier4_MultiDataset_DEG"
"CAMSAP3","Tier4_MultiDataset_DEG"
"CAND1","Tier4_MultiDataset_DEG"
"CANT1","Tier4_MultiDataset_DEG"
"CANX","Tier4_MultiDataset_DEG"
"CAPZB","Tier4_MultiDataset_DEG"
"CARHSP1","Tier4_MultiDataset_DEG"
"CASC4","Tier4_MultiDataset_DEG"
"CASC6","Tier4_MultiDataset_DEG"
"CASR","Tier4_MultiDataset_DEG"
"CBX1","Tier4_MultiDataset_DEG"
"CBX2","Tier4_MultiDataset_DEG"
"CBX5","Tier4_MultiDataset_DEG"
"CBX6","Tier4_MultiDataset_DEG"
"CC2D1A","Tier4_MultiDataset_DEG"
"CC2D2A","Tier4_MultiDataset_DEG"
"CCAR1","Tier4_MultiDataset_DEG"
"CCAR2","Tier4_MultiDataset_DEG"
"CCDC108","Tier4_MultiDataset_DEG"
"CCDC124","Tier4_MultiDataset_DEG"
"CCDC127","Tier4_MultiDataset_DEG"
"CCDC136","Tier4_MultiDataset_DEG"
"CCDC28B","Tier4_MultiDataset_DEG"
"CCDC43","Tier4_MultiDataset_DEG"
"CCDC67","Tier4_MultiDataset_DEG"
"CCDC7","Tier4_MultiDataset_DEG"
"CCDC9","Tier4_MultiDataset_DEG"
"CCDC97","Tier4_MultiDataset_DEG"
"CCL15 /// CCL15-CCL14","Tier4_MultiDataset_DEG"
"CCL22","Tier4_MultiDataset_DEG"
"CCNG2","Tier4_MultiDataset_DEG"
"CCNY","Tier4_MultiDataset_DEG"
"CCSER2","Tier4_MultiDataset_DEG"
"CD151","Tier4_MultiDataset_DEG"
"CD2AP","Tier4_MultiDataset_DEG"
"CD300LG","Tier4_MultiDataset_DEG"
"CD47","Tier4_MultiDataset_DEG"
"CD6","Tier4_MultiDataset_DEG"
"CD9","Tier4_MultiDataset_DEG"
"CDC14B","Tier4_MultiDataset_DEG"
"CDC27","Tier4_MultiDataset_DEG"
"CDC37","Tier4_MultiDataset_DEG"
"CDC40","Tier4_MultiDataset_DEG"
"CDC42","Tier4_MultiDataset_DEG"
"CDC42BPG","Tier4_MultiDataset_DEG"
"CDC42EP4","Tier4_MultiDataset_DEG"
"CDC42EP5","Tier4_MultiDataset_DEG"
"CDCA2","Tier4_MultiDataset_DEG"
"CDH4","Tier4_MultiDataset_DEG"
"CDH7","Tier4_MultiDataset_DEG"
"CDH8","Tier4_MultiDataset_DEG"
"CDK19","Tier4_MultiDataset_DEG"
"CDO1","Tier4_MultiDataset_DEG"
"CEBPA","Tier4_MultiDataset_DEG"
"CEBPG","Tier4_MultiDataset_DEG"
"CENPV","Tier4_MultiDataset_DEG"
"CEP128","Tier4_MultiDataset_DEG"
"CEP164","Tier4_MultiDataset_DEG"
"CEP290","Tier4_MultiDataset_DEG"
"CEP44","Tier4_MultiDataset_DEG"
"CEP57L1","Tier4_MultiDataset_DEG"
"CEP68","Tier4_MultiDataset_DEG"
"CEP95","Tier4_MultiDataset_DEG"
"CES4A","Tier4_MultiDataset_DEG"
"CETN1","Tier4_MultiDataset_DEG"
"CFC1","Tier4_MultiDataset_DEG"
"CFLAR","Tier4_MultiDataset_DEG"
"CGRRF1","Tier4_MultiDataset_DEG"
"CHD5","Tier4_MultiDataset_DEG"
"CHDH","Tier4_MultiDataset_DEG"
"CHMP1A","Tier4_MultiDataset_DEG"
"CHMP4A /// TM9SF1","Tier4_MultiDataset_DEG"
"CHPT1","Tier4_MultiDataset_DEG"
"CHRNA4","Tier4_MultiDataset_DEG"
"CHRNE","Tier4_MultiDataset_DEG"
"CHST13","Tier4_MultiDataset_DEG"
"CHST8","Tier4_MultiDataset_DEG"
"CHURC1","Tier4_MultiDataset_DEG"
"CIITA","Tier4_MultiDataset_DEG"
"CIRBP","Tier4_MultiDataset_DEG"
"CISH","Tier4_MultiDataset_DEG"
"CKMT2","Tier4_MultiDataset_DEG"
"CLCN3","Tier4_MultiDataset_DEG"
"CLCN4","Tier4_MultiDataset_DEG"
"CLCN7","Tier4_MultiDataset_DEG"
"CLDN22 /// WWC2","Tier4_MultiDataset_DEG"
"CLEC12A","Tier4_MultiDataset_DEG"
"CLN6","Tier4_MultiDataset_DEG"
"CLN8","Tier4_MultiDataset_DEG"
"CLPTM1","Tier4_MultiDataset_DEG"
"CLUHP3","Tier4_MultiDataset_DEG"
"CMAS","Tier4_MultiDataset_DEG"
"CMIP","Tier4_MultiDataset_DEG"
"CMKLR1","Tier4_MultiDataset_DEG"
"CNKSR3","Tier4_MultiDataset_DEG"
"CNOT2","Tier4_MultiDataset_DEG"
"CNOT7","Tier4_MultiDataset_DEG"
"CNPPD1","Tier4_MultiDataset_DEG"
"CNTLN","Tier4_MultiDataset_DEG"
"CNTN1","Tier4_MultiDataset_DEG"
"COBL","Tier4_MultiDataset_DEG"
"COCH","Tier4_MultiDataset_DEG"
"COG7","Tier4_MultiDataset_DEG"
"COG8 /// PDF","Tier4_MultiDataset_DEG"
"COIL","Tier4_MultiDataset_DEG"
"COL28A1","Tier4_MultiDataset_DEG"
"COL4A3BP","Tier4_MultiDataset_DEG"
"COL4A6","Tier4_MultiDataset_DEG"
"COLCA2","Tier4_MultiDataset_DEG"
"COLGALT1","Tier4_MultiDataset_DEG"
"COPE","Tier4_MultiDataset_DEG"
"COPS2","Tier4_MultiDataset_DEG"
"COQ7","Tier4_MultiDataset_DEG"
"COX11","Tier4_MultiDataset_DEG"
"COX19","Tier4_MultiDataset_DEG"
"COX20","Tier4_MultiDataset_DEG"
"COX4I1","Tier4_MultiDataset_DEG"
"COX5B","Tier4_MultiDataset_DEG"
"CPB2","Tier4_MultiDataset_DEG"
"CPD","Tier4_MultiDataset_DEG"
"CPEB3","Tier4_MultiDataset_DEG"
"CPM","Tier4_MultiDataset_DEG"
"CPNE6","Tier4_MultiDataset_DEG"
"CREB1","Tier4_MultiDataset_DEG"
"CREBRF","Tier4_MultiDataset_DEG"
"CREBZF","Tier4_MultiDataset_DEG"
"CRTAP","Tier4_MultiDataset_DEG"
"CRYZ","Tier4_MultiDataset_DEG"
"CSDE1","Tier4_MultiDataset_DEG"
"CSE1L","Tier4_MultiDataset_DEG"
"CSNK1A1","Tier4_MultiDataset_DEG"
"CSNK1G2","Tier4_MultiDataset_DEG"
"CSPG4","Tier4_MultiDataset_DEG"
"CSPG4P5","Tier4_MultiDataset_DEG"
"CSRNP1","Tier4_MultiDataset_DEG"
"CSTF2T","Tier4_MultiDataset_DEG"
"CTAGE5","Tier4_MultiDataset_DEG"
"CTBP2","Tier4_MultiDataset_DEG"
"CTC-436K13.5","Tier4_MultiDataset_DEG"
"CTD-2292M16.8","Tier4_MultiDataset_DEG"
"CTD-2377D24.6","Tier4_MultiDataset_DEG"
"CTD-3025N20.3","Tier4_MultiDataset_DEG"
"CTDSPL","Tier4_MultiDataset_DEG"
"CTPS2","Tier4_MultiDataset_DEG"
"CTSZ","Tier4_MultiDataset_DEG"
"CTU2","Tier4_MultiDataset_DEG"
"CUBN","Tier4_MultiDataset_DEG"
"CUL3","Tier4_MultiDataset_DEG"
"CUL4B","Tier4_MultiDataset_DEG"
"CUL5","Tier4_MultiDataset_DEG"
"CUL7","Tier4_MultiDataset_DEG"
"CXCL9","Tier4_MultiDataset_DEG"
"CXORF36","Tier4_MultiDataset_DEG"
"CXORF57","Tier4_MultiDataset_DEG"
"CYHR1","Tier4_MultiDataset_DEG"
"CYP2B6","Tier4_MultiDataset_DEG"
"CYP2S1","Tier4_MultiDataset_DEG"
"CYP3A4","Tier4_MultiDataset_DEG"
"CYTH2","Tier4_MultiDataset_DEG"
"DAAM1","Tier4_MultiDataset_DEG"
"DACT3","Tier4_MultiDataset_DEG"
"DAGLB","Tier4_MultiDataset_DEG"
"DAK","Tier4_MultiDataset_DEG"
"DARS","Tier4_MultiDataset_DEG"
"DBI","Tier4_MultiDataset_DEG"
"DBT","Tier4_MultiDataset_DEG"
"DCAF15","Tier4_MultiDataset_DEG"
"DCAF5","Tier4_MultiDataset_DEG"
"DCAF7","Tier4_MultiDataset_DEG"
"DCAF8","Tier4_MultiDataset_DEG"
"DCAKD","Tier4_MultiDataset_DEG"
"DCDC1 /// DCDC5","Tier4_MultiDataset_DEG"
"DCDC2","Tier4_MultiDataset_DEG"
"DCLRE1C","Tier4_MultiDataset_DEG"
"DCP2","Tier4_MultiDataset_DEG"
"DDC","Tier4_MultiDataset_DEG"
"DDHD1","Tier4_MultiDataset_DEG"
"DDIT4L","Tier4_MultiDataset_DEG"
"DDO","Tier4_MultiDataset_DEG"
"DDX19A /// DDX19B","Tier4_MultiDataset_DEG"
"DDX24","Tier4_MultiDataset_DEG"
"DDX28","Tier4_MultiDataset_DEG"
"DDX3X","Tier4_MultiDataset_DEG"
"DDX49","Tier4_MultiDataset_DEG"
"DDX5","Tier4_MultiDataset_DEG"
"DDX52","Tier4_MultiDataset_DEG"
"DDX55","Tier4_MultiDataset_DEG"
"DDX6","Tier4_MultiDataset_DEG"
"DEFB122","Tier4_MultiDataset_DEG"
"DENND2D","Tier4_MultiDataset_DEG"
"DENR","Tier4_MultiDataset_DEG"
"DFFA","Tier4_MultiDataset_DEG"
"DGKE","Tier4_MultiDataset_DEG"
"DGKZ","Tier4_MultiDataset_DEG"
"DHCR7","Tier4_MultiDataset_DEG"
"DHX15","Tier4_MultiDataset_DEG"
"DIAPH3","Tier4_MultiDataset_DEG"
"DICER1","Tier4_MultiDataset_DEG"
"DKFZP434L192","Tier4_MultiDataset_DEG"
"DKK1","Tier4_MultiDataset_DEG"
"DKK2","Tier4_MultiDataset_DEG"
"DLEU2L","Tier4_MultiDataset_DEG"
"DLGAP1-AS3","Tier4_MultiDataset_DEG"
"DLGAP4","Tier4_MultiDataset_DEG"
"DMD","Tier4_MultiDataset_DEG"
"DMRTC2","Tier4_MultiDataset_DEG"
"DNAAF1","Tier4_MultiDataset_DEG"
"DNAH3","Tier4_MultiDataset_DEG"
"DNAJC12","Tier4_MultiDataset_DEG"
"DNAJC16","Tier4_MultiDataset_DEG"
"DNAJC18","Tier4_MultiDataset_DEG"
"DNAJC5","Tier4_MultiDataset_DEG"
"DNAJC5G","Tier4_MultiDataset_DEG"
"DNASE2","Tier4_MultiDataset_DEG"
"DNM2","Tier4_MultiDataset_DEG"
"DNMT3A","Tier4_MultiDataset_DEG"
"DNPEP","Tier4_MultiDataset_DEG"
"DNTT","Tier4_MultiDataset_DEG"
"DOCK9","Tier4_MultiDataset_DEG"
"DOCK9-AS2","Tier4_MultiDataset_DEG"
"DOK1","Tier4_MultiDataset_DEG"
"DOPEY1","Tier4_MultiDataset_DEG"
"DOT1L","Tier4_MultiDataset_DEG"
"DPP8","Tier4_MultiDataset_DEG"
"DPP9","Tier4_MultiDataset_DEG"
"DPYSL2","Tier4_MultiDataset_DEG"
"DPYSL4","Tier4_MultiDataset_DEG"
"DQ570835","Tier4_MultiDataset_DEG"
"DR1","Tier4_MultiDataset_DEG"
"DRAM1","Tier4_MultiDataset_DEG"
"DSCAM","Tier4_MultiDataset_DEG"
"DST","Tier4_MultiDataset_DEG"
"DTWD1","Tier4_MultiDataset_DEG"
"DTX2 /// LOC102725292","Tier4_MultiDataset_DEG"
"DTX3","Tier4_MultiDataset_DEG"
"DUSP18","Tier4_MultiDataset_DEG"
"DYNC1H1","Tier4_MultiDataset_DEG"
"DYNC1I1","Tier4_MultiDataset_DEG"
"DYNC2LI1","Tier4_MultiDataset_DEG"
"DYRK1A","Tier4_MultiDataset_DEG"
"DYRK1B","Tier4_MultiDataset_DEG"
"DYRK2","Tier4_MultiDataset_DEG"
"DZIP1","Tier4_MultiDataset_DEG"
"E2F4","Tier4_MultiDataset_DEG"
"E2F7","Tier4_MultiDataset_DEG"
"EAF2","Tier4_MultiDataset_DEG"
"EARS2","Tier4_MultiDataset_DEG"
"EBF3","Tier4_MultiDataset_DEG"
"ECE2","Tier4_MultiDataset_DEG"
"ECHDC3","Tier4_MultiDataset_DEG"
"EDRF1","Tier4_MultiDataset_DEG"
"EFCAB3 /// LOC102724660","Tier4_MultiDataset_DEG"
"EFCAB4A","Tier4_MultiDataset_DEG"
"EFHC1","Tier4_MultiDataset_DEG"
"EGFR","Tier4_MultiDataset_DEG"
"EGR1","Tier4_MultiDataset_DEG"
"EGR4","Tier4_MultiDataset_DEG"
"EHD1","Tier4_MultiDataset_DEG"
"EHD2","Tier4_MultiDataset_DEG"
"EHD4","Tier4_MultiDataset_DEG"
"EHMT1","Tier4_MultiDataset_DEG"
"EI24","Tier4_MultiDataset_DEG"
"EIF2B5","Tier4_MultiDataset_DEG"
"EIF3K","Tier4_MultiDataset_DEG"
"EIF4B","Tier4_MultiDataset_DEG"
"EIF5B","Tier4_MultiDataset_DEG"
"ELAVL1","Tier4_MultiDataset_DEG"
"ELAVL3","Tier4_MultiDataset_DEG"
"ELF2","Tier4_MultiDataset_DEG"
"ELK1","Tier4_MultiDataset_DEG"
"ELK4","Tier4_MultiDataset_DEG"
"ELMOD1 /// LOC643923","Tier4_MultiDataset_DEG"
"ELOF1","Tier4_MultiDataset_DEG"
"ELP3","Tier4_MultiDataset_DEG"
"EME2","Tier4_MultiDataset_DEG"
"EML4","Tier4_MultiDataset_DEG"
"EML6","Tier4_MultiDataset_DEG"
"ENKUR","Tier4_MultiDataset_DEG"
"ENPP5","Tier4_MultiDataset_DEG"
"ENTPD4","Tier4_MultiDataset_DEG"
"EPB41L5","Tier4_MultiDataset_DEG"
"EPG5","Tier4_MultiDataset_DEG"
"EPHA8","Tier4_MultiDataset_DEG"
"EPM2A","Tier4_MultiDataset_DEG"
"EPOR","Tier4_MultiDataset_DEG"
"EPPK1","Tier4_MultiDataset_DEG"
"EPS15","Tier4_MultiDataset_DEG"
"EPS15L1","Tier4_MultiDataset_DEG"
"EPS8L2","Tier4_MultiDataset_DEG"
"ERBB2","Tier4_MultiDataset_DEG"
"ERBB3","Tier4_MultiDataset_DEG"
"ERGIC3","Tier4_MultiDataset_DEG"
"ERN1","Tier4_MultiDataset_DEG"
"ESM1","Tier4_MultiDataset_DEG"
"ESPN","Tier4_MultiDataset_DEG"
"ESRP2 /// MIR6773","Tier4_MultiDataset_DEG"
"ESRRB","Tier4_MultiDataset_DEG"
"ETV7","Tier4_MultiDataset_DEG"
"EU250746","Tier4_MultiDataset_DEG"
"EVI5","Tier4_MultiDataset_DEG"
"EWSR1","Tier4_MultiDataset_DEG"
"EXOC3L1","Tier4_MultiDataset_DEG"
"EXOC5","Tier4_MultiDataset_DEG"
"EZH1","Tier4_MultiDataset_DEG"
"F5","Tier4_MultiDataset_DEG"
"FA2H","Tier4_MultiDataset_DEG"
"FABP1","Tier4_MultiDataset_DEG"
"FABP6","Tier4_MultiDataset_DEG"
"FAM102B","Tier4_MultiDataset_DEG"
"FAM114A2","Tier4_MultiDataset_DEG"
"FAM118A","Tier4_MultiDataset_DEG"
"FAM120A","Tier4_MultiDataset_DEG"
"FAM122A","Tier4_MultiDataset_DEG"
"FAM122C","Tier4_MultiDataset_DEG"
"FAM135A","Tier4_MultiDataset_DEG"
"FAM160B1","Tier4_MultiDataset_DEG"
"FAM161B","Tier4_MultiDataset_DEG"
"FAM169A","Tier4_MultiDataset_DEG"
"FAM178A","Tier4_MultiDataset_DEG"
"FAM179B","Tier4_MultiDataset_DEG"
"FAM199X","Tier4_MultiDataset_DEG"
"FAM201B /// LOC648761","Tier4_MultiDataset_DEG"
"FAM222B","Tier4_MultiDataset_DEG"
"FAM228B","Tier4_MultiDataset_DEG"
"FAM26E","Tier4_MultiDataset_DEG"
"FAM3C","Tier4_MultiDataset_DEG"
"FAM65A","Tier4_MultiDataset_DEG"
"FAM71E2","Tier4_MultiDataset_DEG"
"FAM83H","Tier4_MultiDataset_DEG"
"FANCB","Tier4_MultiDataset_DEG"
"FANCC","Tier4_MultiDataset_DEG"
"FANCM","Tier4_MultiDataset_DEG"
"FARP1","Tier4_MultiDataset_DEG"
"FARP2","Tier4_MultiDataset_DEG"
"FARSA","Tier4_MultiDataset_DEG"
"FARSB","Tier4_MultiDataset_DEG"
"FASTK","Tier4_MultiDataset_DEG"
"FASTKD1","Tier4_MultiDataset_DEG"
"FAXDC2","Tier4_MultiDataset_DEG"
"FBXL18","Tier4_MultiDataset_DEG"
"FBXL4","Tier4_MultiDataset_DEG"
"FBXO16","Tier4_MultiDataset_DEG"
"FBXO21","Tier4_MultiDataset_DEG"
"FBXO9","Tier4_MultiDataset_DEG"
"FBXW12","Tier4_MultiDataset_DEG"
"FBXW2","Tier4_MultiDataset_DEG"
"FCHSD2","Tier4_MultiDataset_DEG"
"FCN2","Tier4_MultiDataset_DEG"
"FEM1B","Tier4_MultiDataset_DEG"
"FEN1","Tier4_MultiDataset_DEG"
"FER","Tier4_MultiDataset_DEG"
"FGB","Tier4_MultiDataset_DEG"
"FGD2","Tier4_MultiDataset_DEG"
"FGD3","Tier4_MultiDataset_DEG"
"FGFR1OP2","Tier4_MultiDataset_DEG"
"FHAD1","Tier4_MultiDataset_DEG"
"FHDC1","Tier4_MultiDataset_DEG"
"FIGN","Tier4_MultiDataset_DEG"
"FKBP15","Tier4_MultiDataset_DEG"
"FKBP8","Tier4_MultiDataset_DEG"
"FLJ30064","Tier4_MultiDataset_DEG"
"FLRT2 /// LOC100506718 /// LOC102724348","Tier4_MultiDataset_DEG"
"FLT1","Tier4_MultiDataset_DEG"
"FLT3LG","Tier4_MultiDataset_DEG"
"FNTA","Tier4_MultiDataset_DEG"
"FOSL2","Tier4_MultiDataset_DEG"
"FOXD3","Tier4_MultiDataset_DEG"
"FOXK1","Tier4_MultiDataset_DEG"
"FOXN3","Tier4_MultiDataset_DEG"
"FOXN3-AS1","Tier4_MultiDataset_DEG"
"FOXP3","Tier4_MultiDataset_DEG"
"FRA10AC1","Tier4_MultiDataset_DEG"
"FRY","Tier4_MultiDataset_DEG"
"FTCD","Tier4_MultiDataset_DEG"
"FUT6","Tier4_MultiDataset_DEG"
"FXR1","Tier4_MultiDataset_DEG"
"FXR2","Tier4_MultiDataset_DEG"
"FZD3","Tier4_MultiDataset_DEG"
"FZD8 /// MIR4683","Tier4_MultiDataset_DEG"
"FZR1","Tier4_MultiDataset_DEG"
"GAB1","Tier4_MultiDataset_DEG"
"GABPB1-AS1","Tier4_MultiDataset_DEG"
"GALK2","Tier4_MultiDataset_DEG"
"GALNT1","Tier4_MultiDataset_DEG"
"GALNT8 /// KCNA6","Tier4_MultiDataset_DEG"
"GAPVD1","Tier4_MultiDataset_DEG"
"GAS2L1","Tier4_MultiDataset_DEG"
"GATA3","Tier4_MultiDataset_DEG"
"GATA4","Tier4_MultiDataset_DEG"
"GATM","Tier4_MultiDataset_DEG"
"GCC1","Tier4_MultiDataset_DEG"
"GCDH","Tier4_MultiDataset_DEG"
"GDPD1","Tier4_MultiDataset_DEG"
"GEMIN6","Tier4_MultiDataset_DEG"
"GFM2","Tier4_MultiDataset_DEG"
"GFOD2","Tier4_MultiDataset_DEG"
"GFRA3","Tier4_MultiDataset_DEG"
"GGA2","Tier4_MultiDataset_DEG"
"GGA3","Tier4_MultiDataset_DEG"
"GGCX","Tier4_MultiDataset_DEG"
"GGT1 /// GGT2 /// GGTLC1 /// GGTLC2","Tier4_MultiDataset_DEG"
"GIGYF1","Tier4_MultiDataset_DEG"
"GIGYF2","Tier4_MultiDataset_DEG"
"GINS4","Tier4_MultiDataset_DEG"
"GIPC1","Tier4_MultiDataset_DEG"
"GLCCI1","Tier4_MultiDataset_DEG"
"GLE1","Tier4_MultiDataset_DEG"
"GLG1","Tier4_MultiDataset_DEG"
"GLRB","Tier4_MultiDataset_DEG"
"GLS","Tier4_MultiDataset_DEG"
"GLUD2","Tier4_MultiDataset_DEG"
"GLYR1","Tier4_MultiDataset_DEG"
"GM2A","Tier4_MultiDataset_DEG"
"GMDS","Tier4_MultiDataset_DEG"
"GMIP","Tier4_MultiDataset_DEG"
"GMPS","Tier4_MultiDataset_DEG"
"GNA11","Tier4_MultiDataset_DEG"
"GNA13","Tier4_MultiDataset_DEG"
"GNAL","Tier4_MultiDataset_DEG"
"GNAO1","Tier4_MultiDataset_DEG"
"GNAT1","Tier4_MultiDataset_DEG"
"GOPC","Tier4_MultiDataset_DEG"
"GOSR1","Tier4_MultiDataset_DEG"
"GOSR2","Tier4_MultiDataset_DEG"
"GP5","Tier4_MultiDataset_DEG"
"GPATCH2L","Tier4_MultiDataset_DEG"
"GPATCH8","Tier4_MultiDataset_DEG"
"GPLD1","Tier4_MultiDataset_DEG"
"GPR123","Tier4_MultiDataset_DEG"
"GPR126","Tier4_MultiDataset_DEG"
"GPR137","Tier4_MultiDataset_DEG"
"GPR143","Tier4_MultiDataset_DEG"
"GPRC5B","Tier4_MultiDataset_DEG"
"GRAPL","Tier4_MultiDataset_DEG"
"GREB1","Tier4_MultiDataset_DEG"
