"Gene","Priority"
"FILIP1","Tier2_DEG_WGCNA"
"NID1","Tier2_DEG_WGCNA"
"CRISPLD1","Tier2_DEG_WGCNA"
"HSPB7","Tier2_DEG_WGCNA"
"IL6ST","Tier2_DEG_WGCNA"
"CD8A","Tier2_DEG_WGCNA"
"LST1","Tier2_DEG_WGCNA"
"MIR100HG","Tier2_DEG_WGCNA"
"SLIT2","Tier2_DEG_WGCNA"
"CD300A","Tier2_DEG_WGCNA"
"JAM3","Tier2_DEG_WGCNA"
"SYNE1","Tier2_DEG_WGCNA"
"NEGR1","Tier2_DEG_WGCNA"
"LATS2","Tier2_DEG_WGCNA"
"CLEC4A","Tier2_DEG_WGCNA"
"CDK14","Tier2_DEG_WGCNA"
"IGFBP7","Tier2_DEG_WGCNA"
"SASH3","Tier2_DEG_WGCNA"
"RASSF8","Tier2_DEG_WGCNA"
"IGHM","Tier2_DEG_WGCNA"
"EBF1","Tier2_DEG_WGCNA"
"CD38","Tier2_DEG_WGCNA"
"SRGAP2C","Tier2_DEG_WGCNA"
"EDNRA","Tier2_DEG_WGCNA"
"LMO3","Tier2_DEG_WGCNA"
"SERPINE1","Tier2_DEG_WGCNA"
"IGLC1","Tier2_DEG_WGCNA"
"FIBIN","Tier2_DEG_WGCNA"
"CSF2RA","Tier2_DEG_WGCNA"
"BASP1","Tier2_DEG_WGCNA"
"CCL5","Tier2_DEG_WGCNA"
"CERCAM","Tier2_DEG_WGCNA"
"HLA-DRB6","Tier2_DEG_WGCNA"
"GJA1","Tier2_DEG_WGCNA"
"EGR2","Tier2_DEG_WGCNA"
"ARHGAP9","Tier2_DEG_WGCNA"
"CYR61","Tier2_DEG_WGCNA"
"ACKR3","Tier2_DEG_WGCNA"
"CD3D","Tier2_DEG_WGCNA"
"NPL","Tier2_DEG_WGCNA"
"ETV1","Tier2_DEG_WGCNA"
"KLHL5","Tier2_DEG_WGCNA"
"CD2","Tier2_DEG_WGCNA"
"BNC2","Tier2_DEG_WGCNA"
"RPS6KA2","Tier2_DEG_WGCNA"
"PTPRC","Tier2_DEG_WGCNA"
"SLAMF7","Tier2_DEG_WGCNA"
"FZD1","Tier2_DEG_WGCNA"
"IGKC","Tier2_DEG_WGCNA"
"AHNAK2","Tier2_DEG_WGCNA"
"CALD1","Tier2_DEG_WGCNA"
"PEG3","Tier2_DEG_WGCNA"
"SVIL","Tier2_DEG_WGCNA"
"CSGALNACT2","Tier2_DEG_WGCNA"
"AKAP12","Tier2_DEG_WGCNA"
"CYP1B1","Tier2_DEG_WGCNA"
"GLIS2","Tier2_DEG_WGCNA"
"TCEAL7","Tier2_DEG_WGCNA"
"HIP1","Tier2_DEG_WGCNA"
"YME1L1","Tier2_DEG_WGCNA"
"ZFPM2","Tier2_DEG_WGCNA"
"PKD2","Tier2_DEG_WGCNA"
"GPR161","Tier2_DEG_WGCNA"
"CTSB","Tier2_DEG_WGCNA"
"PRKG1","Tier2_DEG_WGCNA"
"CACNA2D1","Tier2_DEG_WGCNA"
"WWTR1","Tier2_DEG_WGCNA"
"COL12A1","Tier2_DEG_WGCNA"
"LDB3","Tier2_DEG_WGCNA"
"CLDN11","Tier2_DEG_WGCNA"
"EFS","Tier2_DEG_WGCNA"
"PTGIS","Tier2_DEG_WGCNA"
"GEM","Tier2_DEG_WGCNA"
"CSRP2","Tier2_DEG_WGCNA"
"AXL","Tier2_DEG_WGCNA"
"MOXD1","Tier2_DEG_WGCNA"
"STOM","Tier2_DEG_WGCNA"
"C1S","Tier2_DEG_WGCNA"
"CAV2","Tier2_DEG_WGCNA"
"TNC","Tier2_DEG_WGCNA"
"MFAP5","Tier2_DEG_WGCNA"
"DCLK1","Tier2_DEG_WGCNA"
"TSPYL5","Tier2_DEG_WGCNA"
"GNB5","Tier2_DEG_WGCNA"
"KCNMA1","Tier2_DEG_WGCNA"
"GNG11","Tier2_DEG_WGCNA"
"FERMT2","Tier2_DEG_WGCNA"
"DDR2","Tier2_DEG_WGCNA"
"TSHZ3","Tier2_DEG_WGCNA"
"ACTA2","Tier2_DEG_WGCNA"
"EFEMP1","Tier2_DEG_WGCNA"
"TIMP2","Tier2_DEG_WGCNA"
"TUBB6","Tier2_DEG_WGCNA"
"TMEM47","Tier2_DEG_WGCNA"
"CPQ","Tier2_DEG_WGCNA"
"MYLK","Tier2_DEG_WGCNA"
"CHRDL1","Tier2_DEG_WGCNA"
"DCN","Tier2_DEG_WGCNA"
"TUBA1A","Tier2_DEG_WGCNA"
"CAV1","Tier2_DEG_WGCNA"
"CFL2","Tier2_DEG_WGCNA"
"PLN","Tier2_DEG_WGCNA"
"GBP2","Tier2_DEG_WGCNA"
"FHL1","Tier2_DEG_WGCNA"
"CNRIP1","Tier2_DEG_WGCNA"
"SLC24A3","Tier2_DEG_WGCNA"
"C1R","Tier2_DEG_WGCNA"
"ZCCHC24","Tier2_DEG_WGCNA"
"GBP1","Tier2_DEG_WGCNA"
"CCDC50","Tier2_DEG_WGCNA"
"GUCY1B3","Tier2_DEG_WGCNA"
"ITPR1","Tier2_DEG_WGCNA"
"GPC6","Tier2_DEG_WGCNA"
"SERPING1","Tier2_DEG_WGCNA"
"NRP2","Tier2_DEG_WGCNA"
"RFTN1","Tier2_DEG_WGCNA"
"FRMD6","Tier2_DEG_WGCNA"
"RECK","Tier2_DEG_WGCNA"
"ANGPTL2","Tier2_DEG_WGCNA"
"FEZ1","Tier2_DEG_WGCNA"
"CLMP","Tier2_DEG_WGCNA"
"LHFP","Tier2_DEG_WGCNA"
"MXRA7","Tier2_DEG_WGCNA"
"MASP1","Tier2_DEG_WGCNA"
"BOC","Tier2_DEG_WGCNA"
"MYH11","Tier2_DEG_WGCNA"
"CLIC4","Tier2_DEG_WGCNA"
"MSRB3","Tier2_DEG_WGCNA"
"MFGE8","Tier2_DEG_WGCNA"
"SGCE","Tier2_DEG_WGCNA"
"ATP8B2","Tier2_DEG_WGCNA"
"MBNL1-AS1","Tier2_DEG_WGCNA"
"PDGFRL","Tier2_DEG_WGCNA"
"KCTD12","Tier2_DEG_WGCNA"
"PTRF","Tier2_DEG_WGCNA"
"CYBRD1","Tier2_DEG_WGCNA"
"FAM129A","Tier2_DEG_WGCNA"
"TNS1","Tier2_DEG_WGCNA"
"HSD17B6","Tier2_DEG_WGCNA"
"TAGLN","Tier2_DEG_WGCNA"
"NEXN","Tier2_DEG_WGCNA"
"HTR2B","Tier2_DEG_WGCNA"
"COL8A2","Tier2_DEG_WGCNA"
"ANK2","Tier2_DEG_WGCNA"
"MITF","Tier2_DEG_WGCNA"
"ACTG2","Tier2_DEG_WGCNA"
"PNMA1","Tier2_DEG_WGCNA"
"CLEC2B","Tier2_DEG_WGCNA"
"VCAM1","Tier2_DEG_WGCNA"
"CCDC69","Tier2_DEG_WGCNA"
"PRICKLE1","Tier2_DEG_WGCNA"
"TWIST2","Tier2_DEG_WGCNA"
"KANK2","Tier2_DEG_WGCNA"
"HSPB6","Tier2_DEG_WGCNA"
"CCDC80","Tier2_DEG_WGCNA"
"PHLDB2","Tier2_DEG_WGCNA"
"RGS10","Tier2_DEG_WGCNA"
"ALDH1A3","Tier2_DEG_WGCNA"
"UBE2QL1","Tier2_DEG_WGCNA"
"FXYD6","Tier2_DEG_WGCNA"
"PLXDC1","Tier2_DEG_WGCNA"
"NR3C1","Tier2_DEG_WGCNA"
"ZEB2","Tier2_DEG_WGCNA"
"MEIS1","Tier2_DEG_WGCNA"
"CNN1","Tier2_DEG_WGCNA"
"DOK5","Tier2_DEG_WGCNA"
"MRGPRF","Tier2_DEG_WGCNA"
"PALMD","Tier2_DEG_WGCNA"
"SYNM","Tier2_DEG_WGCNA"
"GAP43","Tier2_DEG_WGCNA"
"APOL3","Tier2_DEG_WGCNA"
"RGMA","Tier2_DEG_WGCNA"
"DPYSL3","Tier2_DEG_WGCNA"
"CRYAB","Tier2_DEG_WGCNA"
"GLT8D2","Tier2_DEG_WGCNA"
"UBE2E2","Tier2_DEG_WGCNA"
"MRVI1","Tier2_DEG_WGCNA"
"HOPX","Tier2_DEG_WGCNA"
"TCEAL2","Tier2_DEG_WGCNA"
"MEF2C","Tier2_DEG_WGCNA"
"LINC01279","Tier2_DEG_WGCNA"
"KCNJ8","Tier2_DEG_WGCNA"
"SDPR","Tier2_DEG_WGCNA"
"GUCY1A3","Tier2_DEG_WGCNA"
"SYNPO2","Tier2_DEG_WGCNA"
"ANGPTL1","Tier2_DEG_WGCNA"
"MYL9","Tier2_DEG_WGCNA"
"CAP2","Tier2_DEG_WGCNA"
"ANTXR1","Tier2_DEG_WGCNA"
"MEIS2","Tier2_DEG_WGCNA"
"COL6A2","Tier2_DEG_WGCNA"
"CPXM2","Tier2_DEG_WGCNA"
"F2R","Tier2_DEG_WGCNA"
"GNG2","Tier2_DEG_WGCNA"
"PDE1A","Tier2_DEG_WGCNA"
"PTPRM","Tier2_DEG_WGCNA"
"CSRP1","Tier2_DEG_WGCNA"
