"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
25.1222207237543,-21.95836607477,3.09748182169639,-7.08910248349548,1.34984541154153e-12,3.08507168807817e-08,"ENSG00000281181.1"
22.8517660540245,5.10990401890752,0.794735549107446,6.4296910143838,1.27863589664776e-10,1.46116117089423e-06,"ENSG00000160224.17"
9.08409214803314,4.10962810500553,0.709374327324702,5.79331383545323,6.90109748839485e-09,4.54362730869564e-05,"ENSG00000242759.8"
45.338322820721,2.86249553925768,0.496145265364441,5.76947063508719,7.95209329896414e-09,4.54362730869564e-05,"ENSG00000281344.1"
10.7787828953203,4.43491871072536,0.791139685259588,5.60573409899187,2.07374121706501e-08,9.47907110320415e-05,"ENSG00000166473.17"
7.96705518767674,3.54674067234139,0.679623419717642,5.21868518570907,1.8019775057513e-07,0.000686403264899099,"ENSG00000260139.6"
8.81137101990528,3.88972132732892,0.75184950219047,5.17353714539471,2.29703431332486e-07,0.000749981703300566,"ENSG00000116147.17"
6.78623295688876,3.05465125012919,0.620588137708088,4.92218762255175,8.5582103870055e-07,0.00244497372993763,"ENSG00000278920.1"
10.9279549831007,3.638910697073,0.751984589221931,4.83907615824698,1.30444057692197e-06,0.00323680789181204,"ENSG00000006071.15"
12.4964602321207,2.64210533496849,0.547847063473005,4.82270602715146,1.41623622481384e-06,0.00323680789181204,"ENSG00000129204.17"
24.0262435770339,2.70782170024947,0.566157135422168,4.78280945488803,1.7286197285877e-06,0.00359160035426107,"ENSG00000091536.19"
10.7600361521752,3.06975983938657,0.645191729327892,4.75790327099263,1.95614189249088e-06,0.00372563524607326,"ENSG00000206113.11"
16.7865089607286,2.88267570355732,0.616241339815061,4.67783564215674,2.89918775253789e-06,0.00461459962841288,"ENSG00000140538.16"
7.72070105914084,3.74319623658924,0.804021663844486,4.65559126689558,3.2305226013829e-06,0.00461459962841288,"ENSG00000183454.18"
7.4247650814851,3.72172305028317,0.793779114464997,4.68861296859844,2.75063055022202e-06,0.00461459962841288,"ENSG00000267287.1"
7.07558443518277,3.44163056362338,0.738302296104409,4.66154660737595,3.13841974989038e-06,0.00461459962841288,"ENSG00000279982.1"
