"Gene","MeanAbsSHAP"
"CSNK1G2",0.931642633965012
"GGT1 /// GGT2 /// GGTLC1 /// GGTLC2",0.734476369782919
"ZNF451",0.584942096123108
"KLK6",0.426293519143833
"C5ORF42",0.336767006921014
"SOX11",0.321027273266781
"KAZN",0.279868758505029
"MID2",0.279246283802999
"MGA",0.270217451721248
"TAS2R40",0.227563943941055
