Gene,logFC,p_value,mean_resistant,mean_sensitive,direction,HALLMARK,KEGG,Shared,Category,BH_FDR
RPS6KB1,-0.07849417050219998,0.07308277722536889,6.881193310026071,6.959687480528271,Up_in_Sensitive,False,True,False,KEGG-only,0.19715353856146026
IFNGR2,0.05789781051122311,0.07528384849151788,9.787092519944135,9.729194709432912,Up_in_Resistant,True,False,False,HALLMARK-only,0.19847560056854716
BCAR3,0.09509306381285665,0.07845596982195009,6.8184175747318445,6.723324510918988,Up_in_Resistant,True,False,False,HALLMARK-only,0.2022420555410269
UBE2D3,-0.04703363298825902,0.08230933771899906,7.561230077837058,7.608263710825317,Up_in_Sensitive,True,False,False,HALLMARK-only,0.20756267772617154
PPP2CA,-0.058652890191707385,0.08832497285858419,6.743784116007449,6.802437006199156,Up_in_Sensitive,False,True,False,KEGG-only,0.21517371184919484
AMHR2,0.03420916637796356,0.08903739800656338,4.722467045413407,4.688257879035444,Up_in_Resistant,False,True,False,KEGG-only,0.21517371184919484
SMAD7,0.09012831406173571,0.09447575701805065,6.953064006821229,6.8629356927594936,Up_in_Resistant,True,True,True,Shared,0.22365689416518114
SPTBN1,-0.032574914409289946,0.11166520804823929,5.707028601957338,5.739603516366628,Up_in_Sensitive,True,False,False,HALLMARK-only,0.25398361046266194
RAB31,0.16074361974624551,0.11166520804823929,8.647401384750466,8.486657765004221,Up_in_Resistant,True,False,False,HALLMARK-only,0.25398361046266194
KLF10,0.06243102334219586,0.11525703503641006,8.941767877139664,8.879336853797469,Up_in_Resistant,True,False,False,HALLMARK-only,0.25711184738891474
INHBC,-0.03591599485405528,0.12100970721062995,5.548001966206704,5.583917961060759,Up_in_Sensitive,False,True,False,KEGG-only,0.26485143464968064
SMAD2,-0.049184761284628564,0.14826292343873654,6.361244086587523,6.410428847872152,Up_in_Sensitive,False,True,False,KEGG-only,0.3184907244239526
RBX1,-0.035612776369958965,0.1646091852856284,9.380037594888268,9.415650371258227,Up_in_Sensitive,False,True,False,KEGG-only,0.3471757362387799
TGFB3,0.048625215328343074,0.1855038734790988,4.608012712329608,4.559387497001265,Up_in_Resistant,False,True,False,KEGG-only,0.37827714307953997
CHRD,0.026530239427317248,0.18749651248982946,4.718052786575418,4.691522547148101,Up_in_Resistant,False,True,False,KEGG-only,0.37827714307953997
SMURF1,0.02010205599088799,0.18913857153976998,5.352819011567598,5.33271695557671,Up_in_Resistant,True,True,True,Shared,0.37827714307953997
ROCK2,-0.06338748715524467,0.19731919821197874,7.702507444815643,7.765894931970887,Up_in_Sensitive,False,True,False,KEGG-only,0.38794961004389045
CDKN2B,0.05642939292668814,0.20188907214346807,5.302378235284916,5.245948842358228,Up_in_Resistant,False,True,False,KEGG-only,0.39031887281070493
PITX2,-0.10165330640509129,0.21145784201105422,5.381141452324023,5.482794758729114,Up_in_Sensitive,False,True,False,KEGG-only,0.40211655202102115
TRIM33,-0.04019288523239961,0.23072338170287343,6.321946544877094,6.362139430109494,Up_in_Sensitive,True,False,False,HALLMARK-only,0.42912061470502577
SKI,0.03598966664140146,0.2330568855725571,6.322512110072625,6.286522443431224,Up_in_Resistant,True,False,False,HALLMARK-only,0.42912061470502577
NODAL,0.016947101618422167,0.2498606051512643,4.41420040962011,4.397253308001688,Up_in_Resistant,False,True,False,KEGG-only,0.45287234683666655
TGFB1,0.047269846331935206,0.2575435647171952,6.096041561178771,6.048771714846835,Up_in_Resistant,True,True,True,Shared,0.45961620780299456
LEFTY1,0.13526657608259018,0.27866637747643086,6.211303926435755,6.076037350353165,Up_in_Resistant,False,True,False,KEGG-only,0.48977726950403
THBS1,0.06192671629604796,0.29288706928680575,5.810078351639267,5.748151635343219,Up_in_Resistant,True,True,True,Shared,0.5013340069435592
PPP1R15A,0.04353613341938356,0.2938854523462243,7.215053088963687,7.171516955544304,Up_in_Resistant,True,False,False,HALLMARK-only,0.5013340069435592
RPS6KB2,-0.038739735847025614,0.3014460287902566,6.659955145687151,6.698694881534177,Up_in_Sensitive,False,True,False,KEGG-only,0.5067788310097068
MAPK3,0.03101037465226142,0.30732942702523347,8.808763212368717,8.777752837716456,Up_in_Resistant,False,True,False,KEGG-only,0.5092887647846727
APC,-0.025515649586852263,0.32489857384225107,4.868543609394414,4.894059258981266,Up_in_Sensitive,True,False,False,HALLMARK-only,0.5281936470971517
CDH1,-0.06818412831787768,0.32784433268099067,9.461503016782123,9.5296871451,Up_in_Sensitive,True,False,False,HALLMARK-only,0.5281936470971517
BMP2,-0.11423536383313149,0.35768260760981674,6.362986529011173,6.477221892844304,Up_in_Sensitive,True,True,True,Shared,0.568372362777243
SMAD3,0.02295387223344214,0.37673255487630164,5.895400052924581,5.8724461806911386,Up_in_Resistant,True,True,True,Shared,0.5793406904124414
RBL2,0.031570946141326495,0.37820079641984505,7.584863361103351,7.553292414962025,Up_in_Resistant,False,True,False,KEGG-only,0.5793406904124414
BMPR1A,-0.02180427566539933,0.3861900431458767,5.8876837331396645,5.909488008805064,Up_in_Sensitive,True,True,True,Shared,0.5793406904124414
SP1,-0.018831724076872725,0.3888758578787286,6.962615894571228,6.981447618648101,Up_in_Sensitive,False,True,False,KEGG-only,0.5793406904124414
E2F5,-0.03647401383280613,0.39669851602781525,4.939400081284916,4.975874095117722,Up_in_Sensitive,False,True,False,KEGG-only,0.5793406904124414
EP300,0.024447162612601936,0.4018642981021371,5.927643826648045,5.903196664035443,Up_in_Resistant,False,True,False,KEGG-only,0.5793406904124414
MAPK1,-0.019958645615841597,0.4030856161798536,6.729051287309656,6.749009932925498,Up_in_Sensitive,False,True,False,KEGG-only,0.5793406904124414
FURIN,0.016652323364514388,0.40707023090585104,7.064292944486033,7.047640621121519,Up_in_Resistant,True,False,False,HALLMARK-only,0.5793406904124414
FNTA,0.030765768179005448,0.4095339363260362,7.61078803014525,7.580022261966245,Up_in_Resistant,True,False,False,HALLMARK-only,0.5793406904124414
ID1,-0.0690932967140796,0.44107149589869343,10.528072820782123,10.597166117496203,Up_in_Sensitive,True,True,True,Shared,0.6164372713764872
BMP5,0.012225211255413537,0.45833534553982747,3.839701665240223,3.8274764539848096,Up_in_Resistant,False,True,False,KEGG-only,0.6329392866978569
BMP8A,0.019989633270625973,0.4902079076629343,5.082743267970205,5.062753634699579,Up_in_Resistant,False,True,False,KEGG-only,0.6649029403866326
SKP1,0.020440649939846622,0.4929452833900897,9.582646104824024,9.562205454884177,Up_in_Resistant,False,True,False,KEGG-only,0.6649029403866326
SMURF2,0.061830506898765236,0.5071019532661212,6.168147420635474,6.106316913736709,Up_in_Resistant,True,True,True,Shared,0.6761359376881616
SMAD9,0.028265021052874317,0.5175942253274932,5.476176903821229,5.447911882768355,Up_in_Resistant,False,True,False,KEGG-only,0.6817043525694745
TGFBR1,0.04335441334893453,0.5267775650981458,6.291875379968343,6.248520966619409,Up_in_Resistant,True,True,True,Shared,0.6817043525694745
ID3,0.03813928497981678,0.5289085494073509,8.667061401189944,8.628922116210127,Up_in_Resistant,True,True,True,Shared,0.6817043525694745
PPP2R1A,0.01837495164228997,0.6129950197729734,9.180076276586593,9.161701324944303,Up_in_Resistant,False,True,False,KEGG-only,0.7743501675252255
SMAD6,-0.009339694616689265,0.6141397880372478,5.117816768423184,5.127156463039873,Up_in_Sensitive,True,True,True,Shared,0.7743501675252255
